,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Центр,Батуми,desc_en
34,34,31-07-2020 19:59:39,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0105,8811,3343,293,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
35,35,31-07-2020 19:59:39,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,1,нет,Тбилиси,2 гр,0.0174,14685,5572,488,200.0,,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
36,36,31-07-2020 20:00:55,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0087,8077,3065,268,110.0,,,,True,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
37,37,31-07-2020 20:00:55,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers,,1,нет,Тбилиси,3 гр,0.0104,8811,3343,293,120.0,,True,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers
38,38,31-07-2020 20:00:55,Tbilisi,c47f675e02,3 gram + skunk auto шишки,True,1,нет,Тбилиси,3 гр,0.0113,9913,3761,329,135.0,,,,,,,,,,,,3 gram + skunk auto shishki
39,39,31-07-2020 20:00:55,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0071,6608,2507,219,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
40,40,31-07-2020 20:00:55,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.087,73426,27860,2439,1000.0,,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
41,41,31-07-2020 20:00:55,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,3,Тбилиси,1 гр,0.0323,27060,10233,888,,,,,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
42,42,31-07-2020 20:00:55,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0217,18357,6965,610,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,43,31-07-2020 20:00:55,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0235,19825,7522,658,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
44,44,31-07-2020 20:00:55,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0239,20192,7662,671,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,45,31-07-2020 20:00:55,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0209,17622,6686,585,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,46,31-07-2020 20:00:55,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0243,20559,7801,683,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,31-07-2020 20:00:55,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0235,19825,7522,658,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,31-07-2020 20:00:55,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0173,16080,6101,534,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,31-07-2020 20:00:55,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,1,2,Тбилиси,5 гр,0.019,17622,6686,585,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
50,50,31-07-2020 20:00:55,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.019,17622,6686,585,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
51,51,31-07-2020 20:00:55,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0204,17255,6547,573,235.0,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
52,52,31-07-2020 20:00:55,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0235,19825,7522,658,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,53,31-07-2020 20:00:55,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2045,190000,87429,6313,,,,,,,,,,,,,reagent 25i nbome. 5gr
54,54,31-07-2020 20:00:55,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2371,220278,83580,7316,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,31-07-2020 20:00:55,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0478,40384,15323,1341,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
56,56,31-07-2020 20:00:55,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0609,51398,19502,1707,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,57,31-07-2020 20:00:55,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0365,30839,11701,1024,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,58,31-07-2020 20:00:55,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0696,58741,22288,1951,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,31-07-2020 20:00:55,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.0365,30839,11701,1024,420.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
60,60,31-07-2020 20:00:55,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1935,163373,61989,5426,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
61,61,31-07-2020 20:00:55,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0459,38407,14524,1261,,,,,,440.0,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
62,62,31-07-2020 20:00:55,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 11pc🍬🍬🍬,True,нет,1,Тбилиси,11 гр,0.0504,42587,16159,1414,580.0,,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 11pc🍬🍬🍬
63,63,31-07-2020 20:00:55,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0407,34043,12874,1118,,,,,,390.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
64,64,31-07-2020 20:00:55,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0514,47727,18109,1585,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
65,65,31-07-2020 20:00:55,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2087,176223,66864,5853,2400.0,,,,,,,,,,,,100 gr marijuana buds
66,66,31-07-2020 20:00:55,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,2,Тбилиси,100 гр,0.013000000000000001,11014,4179,366,150.0,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
67,67,31-07-2020 20:00:55,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2174,183565,69650,6097,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,31-07-2020 20:00:55,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.513,433214,164374,14388,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
69,69,31-07-2020 20:00:55,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0213,18000,8283,598,,True,,,,,,,,,,,GABAGAMA 250 shtuk
70,70,31-07-2020 20:02:22,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7429,624122,236810,20728,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
