,Unnamed: 0,time_stamp,region,sell_code,description,Vake,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Gldani,Nadzaladevi,€,Авлобари,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
12,12,01-05-2020 14:48:33,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,,,1,нет,Тбилиси,5 гр,0.0189,12727,4760,423,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
13,13,01-05-2020 14:48:33,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,True,13,нет,Тбилиси,10 гр,0.0224,15200,5685,505,209.0,True,,,True,,,,,,,10 gr marijuana buds. -indica-
14,14,01-05-2020 14:48:33,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,,,1,нет,Тбилиси,10 гр,0.0321,21818,8160,724,300.0,True,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
15,15,01-05-2020 14:48:33,Tbilisi,c225d2f67d,гашиш евро 10г,,,2,нет,Тбилиси,10 гр,0.0411,29091,10880,966,400.0,True,,,,,,,,,,gashish evro 10g
16,16,01-05-2020 14:48:33,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,True,3,нет,Тбилиси,20 гр,0.0434,29454,11016,978,405.0,,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
17,17,01-05-2020 14:48:33,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,,1,нет,Тбилиси,20 гр,0.0798,56508,21134,1876,777.0,True,,,,,,,,,,Gashish Evro 20gr
18,18,01-05-2020 14:48:33,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.1947,145453,54400,4829,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,19,01-05-2020 14:48:33,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",,,нет,18,Тбилиси,0.2 гр,0.0042,2836,1061,94,39.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
20,20,01-05-2020 14:48:33,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,,нет,2,Тбилиси,1 гр,0.0145,9818,3672,326,135.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
21,21,01-05-2020 14:48:33,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,,нет,1,Тбилиси,1 гр,0.0349,26109,9801,867,,True,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
22,22,01-05-2020 14:48:33,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",,,нет,46,Тбилиси,2 гр,0.0037,2545,952,85,35.0,True,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
23,23,01-05-2020 14:48:33,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,,нет,6,Тбилиси,2 гр,0.0227,15273,5712,507,210.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
24,24,01-05-2020 14:48:33,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,,нет,8,Тбилиси,2 гр,0.0399,26836,10037,891,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
25,25,01-05-2020 14:48:33,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,10,Тбилиси,3 гр,0.0626,42109,15749,1398,579.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
26,26,01-05-2020 14:48:33,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,7,Тбилиси,4 гр,0.0428,29091,10880,966,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
27,27,01-05-2020 14:48:33,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,,,нет,8,Тбилиси,4 гр,0.0064,4364,1632,145,60.0,True,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
28,28,01-05-2020 14:48:33,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0589,39999,14960,1328,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,29,01-05-2020 14:48:33,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,,нет,4,Тбилиси,5 гр,0.0182,12363,4624,410,170.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
30,30,01-05-2020 14:48:33,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,,,нет,3,Тбилиси,5 гр,0.0233,15854,5930,526,218.0,True,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
31,31,01-05-2020 14:48:33,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,9,Тбилиси,5 гр,0.0213,14473,5413,480,199.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,32,01-05-2020 14:48:33,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,6,Тбилиси,5 гр,0.0213,14473,5413,480,199.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,33,01-05-2020 14:48:33,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0213,15927,5957,529,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,01-05-2020 14:49:06,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0213,14473,5413,480,199.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,01-05-2020 14:49:06,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.2543,190000,87429,6306,,True,,,,,,,,,,reagent 25i nbome. 5gr
36,36,01-05-2020 14:49:06,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.292,218179,81600,7243,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,01-05-2020 14:49:06,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,,нет,9,Тбилиси,5 гр,0.1037,69745,26085,2315,959.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
38,38,01-05-2020 14:49:06,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,,нет,5,Тбилиси,5 гр,0.0204,13745,5141,456,189.0,True,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
39,39,01-05-2020 14:49:06,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,,нет,5,Тбилиси,5 гр,0.0205,13818,5168,459,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,40,01-05-2020 14:49:06,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,,нет,5,Тбилиси,5 гр,0.0529,35563,13301,1181,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
41,41,01-05-2020 14:49:06,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,,нет,4,Тбилиси,5 гр,0.0204,13745,5141,456,189.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
42,42,01-05-2020 14:49:06,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,,нет,10,Тбилиси,10 гр,0.0118,8000,2992,266,110.0,True,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
43,43,01-05-2020 14:49:06,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.0964,65454,24480,2173,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,44,01-05-2020 14:49:06,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,3,Тбилиси,10 гр,0.075,50908,19040,1690,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,45,01-05-2020 14:49:06,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,5,Тбилиси,10 гр,0.0343,23272,8704,773,320.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,46,01-05-2020 14:49:06,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,4,Тбилиси,10 гр,0.0857,58181,21760,1931,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,47,01-05-2020 14:49:06,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.2383,161816,60520,5372,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
48,48,01-05-2020 14:49:06,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,,нет,6,Тбилиси,10 гр,0.1686,113380,42405,3764,1559.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
49,49,01-05-2020 14:49:06,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,,нет,10,Тбилиси,10 гр,0.0399,26836,10037,891,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,50,01-05-2020 14:49:06,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,,нет,1,Тбилиси,10 гр,0.0341,22909,8568,761,315.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
51,51,01-05-2020 14:49:06,Tbilisi,f8a875c191,METADON - 20 G.,,,нет,1,Тбилиси,20 гр,0.5408,363632,136000,12072,5000.0,True,,,,,,,,,,METADON - 20 G.
52,52,01-05-2020 14:49:06,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,,нет,9,Тбилиси,20 гр,0.0648,43563,16293,1446,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,01-05-2020 14:49:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,,нет,1,Тбилиси,50 гр,0.1178,79999,29920,2656,1100.0,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
54,54,01-05-2020 14:49:06,Tbilisi,cb721d4bca,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.257,174543,65280,5794,2400.0,True,,,,,,,,,,100 gr marijuana buds
55,55,01-05-2020 14:49:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,,нет,1,Тбилиси,100 гр,0.2142,145453,54400,4829,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,01-05-2020 14:49:06,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2677,181816,68000,6036,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,01-05-2020 14:49:06,Tbilisi,69672fee0d,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.6318,429085,160480,14244,5900.0,True,,,,,,,,,,180 gr marihuana persoalno
58,58,01-05-2020 14:49:06,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 200g TOP VHQ,,,нет,3,Тбилиси,200 гр,0.5354,363632,136000,12072,5000.0,True,,,,,,,,,,AKA-47 ONLY BUDS 200g TOP VHQ
59,59,01-05-2020 14:49:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,,нет,1,Тбилиси,250 гр,0.4926,334541,125120,11106,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,01-05-2020 14:49:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,,нет,1,Тбилиси,500 гр,0.8031,545447,204000,18107,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,01-05-2020 14:49:06,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.9102,618174,231200,20522,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,01-05-2020 14:49:06,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0195,14545,5440,483,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
63,63,01-05-2020 14:49:06,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,2,Тбилиси,1 гр,0.0214,14545,5440,483,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,64,01-05-2020 14:49:06,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,нет,1,Тбилиси,1 гр,0.0268,18182,6800,604,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,65,01-05-2020 14:49:06,Tbilisi,54915c4374,Работа на марки (курьер),,,нет,1,Тбилиси,25 гр,0.0214,14545,5440,483,200.0,True,,,,,,,,,,Rabota na marki (kur'er)
66,66,01-05-2020 14:49:06,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.6208,1090895,408000,36215,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
67,67,01-05-2020 14:50:43,Batumi,3ee37c89bb,[100g] SPAIN HASH,,,1,нет,Батуми,105 гр,0.2367,159998,59840,5311,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
68,68,01-05-2020 14:50:43,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,,нет,10,Батуми,4 гр,0.0066,4431,1663,147,,,,,,56.0,,,True,,,Marki N-VoooooM!!!! 4 shtuki
69,69,01-05-2020 14:50:43,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,,нет,9,Батуми,10 гр,0.0118,8000,2992,266,110.0,,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
70,70,01-05-2020 14:50:43,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0098,7273,2720,241,100.0,,,,,,,,True,,,kur'er v Batumi
71,71,01-05-2020 14:50:43,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0245,18182,6800,604,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
72,72,01-05-2020 14:50:43,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0245,18182,6800,604,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
73,73,01-05-2020 14:50:43,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.6287,1090895,408000,36215,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
74,74,01-05-2020 14:50:43,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0538,36363,13600,1207,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
75,75,01-05-2020 14:52:09,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,2,нет,Кутаиси,1.5 гр,0.0232,16000,5984,531,220.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,76,01-05-2020 14:52:09,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,7,нет,Кутаиси,2 гр,0.055999999999999994,37818,14144,1255,520.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,01-05-2020 14:52:09,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,9,нет,Кутаиси,3 гр,0.0411,28363,10608,942,390.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,01-05-2020 14:52:09,Kutaisi,54915c4374,Работа на марки (курьер),,,нет,1,Кутаиси,25 гр,0.0215,14545,5440,483,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
