,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
38,38,31-05-2020 19:44:58,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15495,5924,528,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,31-05-2020 19:44:58,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0267,17688,6763,603,250.0,,,,,,,,,,MARIXYANA - INDICA - 5 G.
40,40,31-05-2020 19:44:58,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,16627,6357,566,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
41,41,31-05-2020 19:44:58,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2582,190000,87429,6478,,,,,,,,,,,reagent 25i nbome. 5gr
42,42,31-05-2020 19:44:58,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2884,212256,81150,7230,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,43,31-05-2020 19:44:58,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1024,67851,25941,2311,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,44,31-05-2020 19:44:58,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0203,13443,5140,458,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
45,45,31-05-2020 19:44:58,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0522,34598,13227,1178,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
46,46,31-05-2020 19:44:58,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,5 гр,0.0197,13089,5004,446,185.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
47,47,31-05-2020 19:44:58,Tbilisi,be97026d1d,!! Гашиш !! Hash 6g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,6 гр,0.0486,33183,12686,1130,469.0,,,,,,,,,,!! Gashish !! Hash 6g !!! BTC SALE 5%!!!!
48,48,31-05-2020 19:44:58,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0952,63677,24345,2169,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,49,31-05-2020 19:44:58,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0423,28301,10820,964,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
50,50,31-05-2020 19:44:58,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.07400000000000001,49526,18935,1687,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,51,31-05-2020 19:44:58,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0444,29716,11361,1012,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,52,31-05-2020 19:44:58,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0846,56602,21640,1928,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,53,31-05-2020 19:44:58,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2353,157423,60186,5362,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,31-05-2020 19:44:58,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.1665,110302,42171,3757,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
55,55,31-05-2020 19:44:58,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0394,26107,9981,889,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
56,56,31-05-2020 19:44:58,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0335,22287,8521,759,315.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
57,57,31-05-2020 19:44:58,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.534,353760,135250,12050,5000.0,,,,,,,,,,METADON - 20 G.
58,58,31-05-2020 19:44:58,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.064,42380,16203,1444,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,31-05-2020 19:44:58,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1374,91907,35138,3131,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
60,60,31-05-2020 19:44:58,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2643,176809,67598,6023,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
61,61,31-05-2020 19:44:58,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2538,169805,64920,5784,2400.0,,,,,,,,,,100 gr marijuana buds
