,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Didube,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
15,15,22-02-2020 02:59:08,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,2,нет,Тбилиси,0.8 гр,0.015,9645,3677,332,150.0,,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
16,16,22-02-2020 02:59:08,Tbilisi,4a91350669,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,10,нет,Тбилиси,1 гр,0.012,7716,2941,265,120.0,,,,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
17,17,22-02-2020 02:59:08,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,7,нет,Тбилиси,1 гр,0.012,7716,2941,265,120.0,,,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
18,18,22-02-2020 02:59:08,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,5,нет,Тбилиси,1 гр,0.0035,2251,858,77,35.0,,,,,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
19,19,22-02-2020 02:59:08,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,6,нет,Тбилиси,1 гр,0.0045,2894,1103,100,45.0,True,,True,,,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
20,20,22-02-2020 02:59:08,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,10,нет,Тбилиси,1 гр,0.013000000000000001,8359,3186,288,130.0,,,,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
21,21,22-02-2020 02:59:08,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,1,нет,Тбилиси,1 гр,0.0085,5466,2083,188,85.0,,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
22,22,22-02-2020 02:59:08,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,20,нет,Тбилиси,1 гр,0.0036,2379,907,82,37.0,,,,True,,,,,,,,,1G -- AK-47 -> Sativa
23,23,22-02-2020 02:59:08,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.005,3215,1226,111,50.0,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
24,24,22-02-2020 02:59:08,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale,True,1,нет,Тбилиси,1 гр,0.0036,2508,956,86,39.0,,,,,,,,,,,,,1g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale
25,25,22-02-2020 02:59:08,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,4,нет,Тбилиси,1 гр,0.0085,5466,2083,188,85.0,,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
26,26,22-02-2020 02:59:08,Tbilisi,7c395c455d,2 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,3,нет,Тбилиси,1 гр,0.008,5144,1961,177,80.0,,,,,,,,,,,,,2 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
27,27,22-02-2020 02:59:08,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0173,12217,4657,420,190.0,,,,,,,,,,,,,Cocaine Pure VHQ 1g
28,28,22-02-2020 02:59:08,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,1,нет,Тбилиси,1 гр,0.0222,14146,5392,487,220.0,,,,,,,,,,,,,"Cocaine, 1g"
29,29,22-02-2020 02:59:08,Tbilisi,ae784bef73,Gorilla Glue! 1G ! NEW !,True,3,нет,Тбилиси,1 гр,0.004,2572,980,88,40.0,,,,,,,,,,,,,Gorilla Glue! 1G ! NEW !
30,30,22-02-2020 02:59:08,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,5,нет,Тбилиси,1 гр,0.0064,4512,1724,155,,,,,,65.0,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
31,31,22-02-2020 03:00:09,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g,True,9,нет,Тбилиси,1 гр,0.0076,4887,1863,168,76.0,,,,,,,,,,,,,Hashish Ice-o-lator 1g
32,32,22-02-2020 03:00:09,Tbilisi,8219f5e7b8,Ketamine 1g,True,6,нет,Тбилиси,1 гр,0.0102,6430,2451,221,100.0,,,,,,,,,,,,,Ketamine 1g
33,33,22-02-2020 03:00:09,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,5,нет,Тбилиси,1 гр,0.0041,2572,980,88,40.0,,,,,,,,,,,,,"LSD - 250 ug, 1piece"
34,34,22-02-2020 03:00:09,Tbilisi,ae784bef73,Maserati (ecstasy) 1шт,True,2,нет,Тбилиси,1 гр,0.0045,2894,1103,100,45.0,,,,,,,,,,,,,Maserati (ecstasy) 1sht
35,35,22-02-2020 03:00:09,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0457,32150,12255,1106,500.0,,,,,,,,,,,,,Metadon VHQ 1 24/7
36,36,22-02-2020 03:00:09,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0192,12153,4632,418,189.0,,,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
37,37,22-02-2020 03:00:09,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,7,нет,Тбилиси,1 гр,0.0047,3022,1152,104,47.0,,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
38,38,22-02-2020 03:00:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0192,12796,4877,440,199.0,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
39,39,22-02-2020 03:00:09,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0164,10931,4167,376,170.0,,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
40,40,22-02-2020 03:00:09,Tbilisi,ae784bef73,Гашиш Double-Twesla ! 1g ! VHQ ! TOP ! NEW !,True,2,нет,Тбилиси,1 гр,0.0075,4823,1838,166,75.0,,,,,,,,,,,,,Gashish Double-Twesla ! 1g ! VHQ ! TOP ! NEW !
41,41,22-02-2020 03:00:09,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0188,12153,4632,418,189.0,,,,,,,,,,,,,Kokain HQ 1g.
42,42,22-02-2020 03:00:09,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.018000000000000002,11510,4387,396,179.0,,,,,,True,,,,,,,Kokain KOLUMBIA 1g
43,43,22-02-2020 03:00:09,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0412,28935,11030,995,450.0,,,,,,,,,,,,,Metadon 1gr
44,44,22-02-2020 03:00:09,Tbilisi,e8a987a33c,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0402,25720,9804,885,400.0,,,,,,,,,,,,,"Metadon, 1gr"
45,45,22-02-2020 03:00:09,Tbilisi,dd631c4acf,❄1g. New COCAINE!!❄,True,2,нет,Тбилиси,1 гр,0.0183,11574,4412,398,180.0,,,,,,,,,,,,,❄1g. New COCAINE!!❄
46,46,22-02-2020 03:00:09,Tbilisi,dd631c4acf,💩1g. New Hush Gorilla Glue Premium💩,True,1,нет,Тбилиси,1 гр,0.006999999999999999,4437,1691,153,69.0,,,,,,,,,,,,,💩1g. New Hush Gorilla Glue Premium💩
47,47,22-02-2020 03:00:09,Tbilisi,ae784bef73,MDMA 0.8g + ketamine 0.3g ! VHQ,True,1,нет,Тбилиси,1.1 гр,0.013999999999999999,8938,3407,307,139.0,,,,,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ
48,48,22-02-2020 03:00:09,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0121,7716,2941,265,120.0,,,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
49,49,22-02-2020 03:00:09,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0236,15111,5760,520,235.0,,,,,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
50,50,22-02-2020 03:00:09,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,2 гр,0.0083,5273,2010,181,82.0,,,,True,,,True,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
51,51,22-02-2020 03:00:09,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0068,4437,1691,153,69.0,,,,True,,,,,,,,,2G -- AK-47 -> Sativa
52,52,22-02-2020 03:00:09,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.008,5080,1936,175,79.0,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
53,53,22-02-2020 03:00:09,Tbilisi,cb721d4bca,"2gr mexica sativa марихуана шишки ,Оплата BITCOIN -10% Скидка.",True,5,нет,Тбилиси,2 гр,0.006999999999999999,4501,1716,155,70.0,,,,,,,,,,,,,"2gr mexica sativa marihuana shishki ,Oplata BITCOIN -10% Skidka."
54,54,22-02-2020 03:00:09,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,2 гр,0.0366,23148,8824,796,360.0,,,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
55,55,22-02-2020 03:00:09,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.035,22827,8701,785,355.0,,,,True,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
56,56,22-02-2020 03:00:09,Tbilisi,3c4662c591,KALI MIST 2G,,3,нет,Тбилиси,2 гр,0.0101,6430,2451,221,100.0,,,,True,,,,,,,,,KALI MIST 2G
57,57,22-02-2020 03:00:09,Tbilisi,8219f5e7b8,Ketamine 2 g,True,6,нет,Тбилиси,2 гр,0.0183,11574,4412,398,180.0,,,,,,,,,,,,,Ketamine 2 g
58,58,22-02-2020 03:00:09,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,7,нет,Тбилиси,2 гр,0.0071,4501,1716,155,70.0,,,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
59,59,22-02-2020 03:00:09,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0084,5466,2083,188,85.0,,,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
60,60,22-02-2020 03:00:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,5,нет,Тбилиси,2 гр,0.0357,25077,9559,863,390.0,,,,,,,,,,,,,VHQ BEST Cocaine 2g.
61,61,22-02-2020 03:00:09,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0351,22441,8554,772,349.0,,,,,,True,,,,,,,Kokain KOLUMBIA 2g
62,62,22-02-2020 03:00:09,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,3,нет,Тбилиси,2 гр,0.0106,7073,2696,243,110.0,,,,,,,,,,,,,🍃 2gr GAShISh 🍃
63,63,22-02-2020 03:00:09,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0247,15754,6005,542,245.0,,,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
64,64,22-02-2020 03:00:09,Tbilisi,ae784bef73,White Widow ! 3G ! grainded,True,9,нет,Тбилиси,3 гр,0.0072,4630,1765,159,72.0,,,,,,,,,,,,,White Widow ! 3G ! grainded
65,65,22-02-2020 03:00:09,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0101,6366,2426,219,99.0,,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
66,66,22-02-2020 03:00:09,Tbilisi,4be7861731,metadon sirop 4ml,True,2,нет,Тбилиси,4 гр,0.0067,4308,1642,148,67.0,,,,,,,,,,,,,metadon sirop 4ml
67,67,22-02-2020 03:00:42,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0162,10224,3897,352,159.0,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
68,68,22-02-2020 03:00:42,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0158,9967,3799,343,155.0,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
69,69,22-02-2020 03:00:42,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0864,54656,20834,1880,850.0,,,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
70,70,22-02-2020 03:00:42,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0178,11253,4289,387,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
71,71,22-02-2020 03:00:42,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0156,10931,4167,376,170.0,,,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
72,72,22-02-2020 03:00:42,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.0152,9645,3677,332,150.0,,,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
73,73,22-02-2020 03:00:42,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,4,нет,Тбилиси,5 гр,0.0162,10224,3897,352,159.0,,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
74,74,22-02-2020 03:00:42,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,3,нет,Тбилиси,5 гр,0.0157,9902,3775,341,154.0,,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
75,75,22-02-2020 03:00:42,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0203,13503,5147,465,210.0,,,,,,,,,,,,,gashish evro 5g
76,76,22-02-2020 03:00:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,16,нет,Тбилиси,10 гр,0.0269,17168,6544,591,267.0,,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
77,77,22-02-2020 03:00:42,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0305,19290,7353,664,300.0,,,,,,,,,,,,,"LSD - 250 ug, 10 pieces"
78,78,22-02-2020 03:00:42,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.032,22505,8579,774,350.0,,,,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
79,79,22-02-2020 03:00:42,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0386,25720,9804,885,400.0,,,,,,,,,,,,,gashish evro 10g
80,80,22-02-2020 03:00:42,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,7,нет,Тбилиси,10 гр,0.0087,6109,2328,210,95.0,,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
81,81,22-02-2020 03:00:42,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size",True,3,нет,Тбилиси,20 гр,0.0676,45011,17157,1548,700.0,,,,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size"
82,82,22-02-2020 03:00:42,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.075,49962,19044,1719,777.0,,,,,,,,,,,,,Gashish Evro 20gr
83,83,22-02-2020 03:00:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,6,5,Тбилиси,0.27 гр,0.0203,12860,4902,442,200.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
84,84,22-02-2020 03:00:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0254,16075,6128,553,250.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
85,85,22-02-2020 03:00:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.061,38580,14706,1327,600.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
86,86,22-02-2020 03:00:42,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0402,25720,9804,885,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
87,87,22-02-2020 03:00:42,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0553,35365,13481,1217,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
88,88,22-02-2020 03:00:42,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0241,15432,5882,531,240.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
89,89,22-02-2020 03:00:42,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0252,16075,6128,553,250.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
90,90,22-02-2020 03:00:42,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1372,96451,36765,3318,1500.0,,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
91,91,22-02-2020 03:00:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0252,16075,6128,553,250.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
92,92,22-02-2020 03:00:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0252,16075,6128,553,250.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
93,93,22-02-2020 03:00:42,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.02,12796,4877,440,199.0,,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
94,94,22-02-2020 03:00:42,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0252,16075,6128,553,250.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
95,95,22-02-2020 03:00:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.02,14082,5368,484,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
96,96,22-02-2020 03:00:42,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0191,13439,5123,462,209.0,,,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
97,97,22-02-2020 03:00:42,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0191,13439,5123,462,209.0,,,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
98,98,22-02-2020 03:00:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0252,16075,6128,553,250.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
99,99,22-02-2020 03:00:42,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0183,12860,4902,442,200.0,,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
100,100,22-02-2020 03:00:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2703,190000,87429,6536,,,,,,,,,,,,,,reagent 25i nbome. 5gr
101,101,22-02-2020 03:01:33,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2744,192902,73530,6636,3000.0,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
102,102,22-02-2020 03:01:33,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0497,31443,11985,1082,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
103,103,22-02-2020 03:01:33,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0814,52000,23928,1789,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
