,time_stamp,region,sell_code,sell_name,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
45,17-06-2020 12:34:48,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0717,48827,18830,1663,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,17-06-2020 12:34:48,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.043,29296,11298,998,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,17-06-2020 12:34:48,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0819,55802,21520,1901,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,17-06-2020 12:34:48,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2278,155199,59853,5287,2225,,,,,,,,,Amfetamin [White] [Import] 10G
49,17-06-2020 12:34:48,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,,нет,9,Тбилиси,10 гр,0.1612,108744,41937,3705,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,17-06-2020 12:34:48,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,,нет,5,Тбилиси,10 гр,0.0816,55035,21224,1875,789,,,,,,,,,💘✨10gram MDMA ✨💘
51,17-06-2020 12:34:48,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,,нет,8,Тбилиси,10 гр,0.0382,25739,9926,877,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,17-06-2020 12:34:48,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,,нет,1,Тбилиси,11 гр,0.0456,30827,11856,1050,,,,,,,390,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
53,17-06-2020 12:34:48,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,True,,нет,3,Тбилиси,20 гр,0.1396,104629,40350,3564,1500,,,,,,,,,✨💘20g MDMA💘✨
54,17-06-2020 12:34:48,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,,нет,9,Тбилиси,20 гр,0.0619,41782,16113,1423,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,17-06-2020 12:34:48,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,,нет,5,Тбилиси,50 гр,0.133,90608,34943,3087,1299,,,,,,,,,50 gr georgian weed. Package on magnet
56,17-06-2020 12:34:48,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,,нет,4,Тбилиси,100 гр,0.2559,174311,67223,5938,2499,,,,,,,,,100 gr georgian weed. Package on magnet
57,17-06-2020 12:34:48,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,,нет,1,Тбилиси,100 гр,0.2457,167406,64560,5703,2400,,,,,,,,,100 gr marijuana buds
58,17-06-2020 12:34:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,,нет,1,Тбилиси,100 гр,0.2048,139505,53800,4753,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,17-06-2020 12:34:48,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,,1,1,Тбилиси,100 гр,0.256,174381,67250,5941,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,17-06-2020 12:34:48,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,,нет,1,Тбилиси,180 гр,0.6041,411539,158710,14020,5900,,,,,,,,,180 gr marihuana persoalno
61,17-06-2020 12:34:48,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,,нет,4,Тбилиси,200 гр,0.4391,296448,114325,10099,4250,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
62,17-06-2020 12:34:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,,нет,1,Тбилиси,250 гр,0.471,320861,123740,10931,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,17-06-2020 12:34:48,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,,нет,1,Тбилиси,500 гр,0.768,523143,201750,17822,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,17-06-2020 12:34:48,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,,нет,3,Тбилиси,10000 гр,0.8704,592895,228650,20199,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,17-06-2020 12:34:48,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,,1,нет,Тбилиси,1 гр,0.0186,13950,5380,475,200,,,,,,,,,KURYER..500RUB.+BONUS
66,17-06-2020 12:34:48,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,,нет,1,Тбилиси,1 гр,0.0205,13950,5380,475,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,17-06-2020 12:34:48,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,,нет,1,Тбилиси,400 гр,1.5499,1046286,403500,35645,15000,,,,,,,,,Vakansija optovogo kur'era na mef
68,17-06-2020 12:35:56,Batumi,XH0NP,XX-PABLO-XX,METADON - 025,,,нет,5,Батуми,0.25 гр,0.0362,24413,9415,832,350,,,,,,,True,,METADON - 025
69,17-06-2020 12:35:56,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,,нет,3,Батуми,5 гр,0.0233,16043,6187,547,230,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
70,17-06-2020 12:35:56,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,,нет,3,Батуми,10 гр,0.043,29296,11298,998,420,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
71,17-06-2020 12:35:56,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1657,112990,51992,3849,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
72,17-06-2020 12:35:56,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2624,178900,82321,6094,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
73,17-06-2020 12:35:56,Batumi,42AF,Leningrad6,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0093,6975,2690,238,100,,,,,,,True,,kur'er v Batumi
74,17-06-2020 12:35:56,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0233,17438,6725,594,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
75,17-06-2020 12:35:56,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0233,17438,6725,594,250,,,,,,,True,,Ischu kur'era v Gruzii!
76,17-06-2020 12:35:56,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,,нет,2,Батуми,5 гр,0.0205,13950,5380,475,200,,,,,,,True,,Kur'er Batumi na marihuanu
77,17-06-2020 12:35:56,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5485,1046286,403500,35645,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
78,17-06-2020 12:35:56,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0512,34876,13450,1188,500,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
