,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
25,24-03-2020 13:04:01,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.051,29522,10330,963,365,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
26,24-03-2020 13:04:01,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0373,21595,7556,705,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
27,24-03-2020 13:04:01,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.0126,8007,2802,261,99,,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
28,24-03-2020 13:04:01,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0537,32353,11320,1056,400,,,,,,,,,,,gashish evro 10g
29,24-03-2020 13:04:01,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2541,161763,56600,5279,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,24-03-2020 13:04:01,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - 0.27 G - (SALE),True,23,5,Тбилиси,0.27 гр,0.0353,20220,7075,660,250,,,,,,,,,,,Metadon - 0.27 G - (SALE)
31,24-03-2020 13:04:01,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,нет,5,Тбилиси,0.35 гр,0.0424,24264,8490,792,300,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
32,24-03-2020 13:04:01,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.0988,56617,19810,1848,700,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
33,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0283,16176,5660,528,200,,,,,,,,,,,✨✨2gram. MDMA✨✨
34,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0522,29845,10443,974,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
35,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0835,47720,16697,1557,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
36,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,5,Тбилиси,3 гр,0.0266,16904,5915,552,209,,,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
37,24-03-2020 13:04:29,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.056,32353,11320,1056,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
38,24-03-2020 13:04:29,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0279,16095,5632,525,199,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
39,24-03-2020 13:04:29,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0771,44485,15565,1452,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,24-03-2020 13:04:29,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0279,16095,5632,525,199,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
41,24-03-2020 13:04:29,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0279,16095,5632,525,199,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
42,24-03-2020 13:04:29,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0279,16095,5632,525,199,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
43,24-03-2020 13:04:29,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0279,16095,5632,525,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
44,24-03-2020 13:04:29,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0279,16095,5632,525,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
45,24-03-2020 13:04:29,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0279,16095,5632,525,199,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,24-03-2020 13:04:29,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0279,17713,6198,578,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,24-03-2020 13:04:29,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0425,24264,8490,792,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
48,24-03-2020 13:04:29,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0279,16095,5632,525,199,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,24-03-2020 13:04:29,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0255,16176,5660,528,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
50,24-03-2020 13:04:29,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2992,190000,87429,6213,,,,,,,,,,,,reagent 25i nbome. 5gr
51,24-03-2020 13:04:29,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3821,242645,84900,7919,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
52,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.123,70286,24593,2294,869,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
53,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,6,Тбилиси,5 гр,0.0269,15367,5377,502,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
54,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0692,39551,13839,1291,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
55,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,2,Тбилиси,5 гр,0.048,27419,9594,895,339,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
56,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,8,Тбилиси,5 гр,0.0267,15287,5349,499,189,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
57,24-03-2020 13:04:29,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1261,72793,25470,2376,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
58,24-03-2020 13:04:29,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0981,56617,19810,1848,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,24-03-2020 13:04:29,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0448,25882,9056,845,320,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,24-03-2020 13:04:29,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0495,28309,9905,924,350,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
61,24-03-2020 13:04:29,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1121,64705,22640,2112,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,24-03-2020 13:04:29,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3117,179961,62968,5873,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2051,117197,41007,3825,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0522,29845,10443,974,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
65,24-03-2020 13:04:29,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0423,24184,8462,789,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
66,24-03-2020 13:05:08,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0846,48448,16952,1581,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
67,24-03-2020 13:05:08,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1525,97058,33960,3168,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
68,24-03-2020 13:05:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2795,161763,56600,5279,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
69,24-03-2020 13:05:08,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2823,161763,56600,5279,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
70,24-03-2020 13:05:08,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3494,202204,70750,6599,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,24-03-2020 13:05:08,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2118,121322,42450,3959,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
72,24-03-2020 13:05:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6429,372055,130180,12142,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,24-03-2020 13:05:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0483,606611,212250,19797,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,24-03-2020 13:05:08,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1881,687493,240550,22437,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,24-03-2020 13:05:08,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0254,16176,5660,528,200,,,,,,,,,,,KURYER..500RUB.+BONUS
76,24-03-2020 13:05:08,Tbilisi,8B31,Rastashop,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.0254,16176,5660,528,200,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
77,24-03-2020 13:05:08,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0191,12132,4245,396,150,,,,,,,,,,,Rabota na marki (kur'er)
78,24-03-2020 13:05:08,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.028,16176,5660,528,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,24-03-2020 13:05:08,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0349,20220,7075,660,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,24-03-2020 13:05:08,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1156,1213223,424500,39594,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
81,24-03-2020 13:06:28,Batumi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,,5,нет,Батуми,0.25 гр,0.0308,17794,6226,581,220,,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
82,24-03-2020 13:06:28,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,1,нет,Батуми,0.5 гр,0.0102,6471,2264,211,80,,,,,,,,True,,,MEPHEDRONE 0.5 gr
83,24-03-2020 13:06:28,Batumi,V4T,COCAcoLA,COCAINE 1 gr THE BEST COCO IN GEORGIA,,4,нет,Батуми,1 гр,0.0382,24264,8490,792,300,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
84,24-03-2020 13:06:28,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,17,нет,Батуми,1 гр,0.0242,15367,5377,502,190,,,,,,,,,True,,NZT-52 limited 1 g muka
85,24-03-2020 13:06:28,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,7,нет,Батуми,2 гр,0.0433,27500,9622,897,340,,,,,,,,,True,,NZT-52 limited 2g muka
86,24-03-2020 13:06:28,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 2G,,3,нет,Батуми,2 гр,0.014,8088,2830,264,100,,,,,,,,True,,,Super Critical HIGHEST QUALITY 2G
87,24-03-2020 13:06:28,Batumi,XHR,420Factory,Power Africa 2.5 g,,1,нет,Батуми,2.5 гр,0.0134,8493,2972,277,105,,,,,,,,,True,,Power Africa 2.5 g
88,24-03-2020 13:06:28,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3079,177939,62260,5807,2200,,,,,,,,,True,,[100g] SPAIN HASH
89,24-03-2020 13:06:28,Batumi,XH0NP,XX-PABLO-XX,Метадон - BATUMI - 0.30 G,,3,2,Батуми,0.3 гр,0.0353,20220,7075,660,250,,,,,,,,True,,,Metadon - BATUMI - 0.30 G
90,24-03-2020 13:06:28,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.0254,16176,5660,528,200,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
91,24-03-2020 13:06:28,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2827,161763,56600,5279,2000,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
92,24-03-2020 13:06:28,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.212,121322,42450,3959,1500,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
93,24-03-2020 13:06:28,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0127,8088,2830,264,100,,,,,,,,,True,,kur'er v Batumi
94,24-03-2020 13:06:28,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0318,20220,7075,660,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
95,24-03-2020 13:06:28,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0191,12132,4245,396,150,,,,,,,,,True,,Rabota na marki (kur'er)
96,24-03-2020 13:06:28,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0318,20220,7075,660,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
97,24-03-2020 13:06:28,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1182,1213223,424500,39594,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
98,24-03-2020 13:06:28,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.07,40441,14150,1320,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
99,24-03-2020 13:08:15,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1 гр,0.027,15772,5519,515,195,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
100,24-03-2020 13:08:15,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0215,12537,4387,409,155,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
101,24-03-2020 13:08:15,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.0519,30331,10613,990,375,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
102,24-03-2020 13:08:15,Kutaisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0201,11728,4104,383,145,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
103,24-03-2020 13:08:15,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0409,23860,8349,779,295,,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
