,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Saburtalo,$,Тбилиси,Old Tbilisi (Старый город),Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
53,15-07-2020 20:51:23,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0282,19116,7385,653,,,270,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
54,15-07-2020 20:51:23,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2551,190000,87429,6462,,,,True,,,,,,,,,reagent 25i nbome. 5gr
55,15-07-2020 20:51:23,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2852,212399,82050,7258,,,3000,,True,,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,15-07-2020 20:51:23,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,,нет,5,Тбилиси,5 гр,0.0523,35400,13675,1210,,,500,True,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
57,15-07-2020 20:51:23,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0241,16168,6232,549,200,,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
58,15-07-2020 20:51:23,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0941,63720,24615,2177,,,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,15-07-2020 20:51:23,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0575,38940,15043,1331,,,550,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
60,15-07-2020 20:51:23,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0732,49560,19145,1694,,,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,15-07-2020 20:51:23,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0439,29736,11487,1016,,,420,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,15-07-2020 20:51:23,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0837,56640,21880,1936,,,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,15-07-2020 20:51:23,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,,нет,10,Тбилиси,10 гр,0.0361,26904,10393,919,,,380,True,,,,,,,,,Northern Lights Regular [budsonly] 10gram
64,15-07-2020 20:51:23,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2327,157530,60854,5383,,,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
65,15-07-2020 20:51:23,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.053,35569,13710,1207,440,,,True,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
66,15-07-2020 20:51:23,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.047,31527,12152,1070,390,,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
67,15-07-2020 20:51:23,Tbilisi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Тбилиси,11 гр,0.0481,32255,12433,1095,399,,,True,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
68,15-07-2020 20:51:23,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0618,46020,17778,1573,,,650,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
69,15-07-2020 20:51:47,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.251,169920,65640,5807,,,2400,True,,,,,,,,,100 gr marijuana buds
70,15-07-2020 20:51:47,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2614,177000,68375,6049,,,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,15-07-2020 20:51:47,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6169,417719,161365,14274,,,5900,True,,,,,,,,,180 gr marihuana persoalno
72,15-07-2020 20:51:47,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8888,601798,232475,20565,,,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,15-07-2020 20:51:47,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14160,5470,484,,,200,True,,,,,,,,,KURYER..500RUB.+BONUS
74,15-07-2020 20:51:47,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0261,17700,6838,605,,,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,15-07-2020 20:51:47,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0209,14160,5470,484,,,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,15-07-2020 20:51:47,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0261,17700,6838,605,,,250,True,,,,,,,,,Rabota na marki (kur'er)
77,15-07-2020 20:51:47,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0523,35400,13675,1210,,,500,True,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
78,15-07-2020 20:51:47,Tbilisi,X4ZM,ZYX,Работа курьером,,нет,1,Тбилиси,10 гр,0.019,14160,5470,484,,,200,True,,,,,,,,,Rabota kur'erom
79,15-07-2020 20:51:47,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5828,1061997,410250,36291,,,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
80,15-07-2020 20:51:47,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0523,35400,13675,1210,,,500,,True,,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
81,15-07-2020 20:53:27,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,3,5,Батуми,0.3 гр,0.0317,21240,8205,726,,,300,,,,,,,True,,,METADON - 0.30 - SALE
82,15-07-2020 20:53:27,Batumi,5HQU,LIKEaBOSS,ASTRAL 1g,,4,нет,Батуми,1 гр,0.0076,5664,2188,194,,,80,,,,,,,True,,,ASTRAL 1g
83,15-07-2020 20:53:27,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,11,нет,Батуми,2 гр,0.0044,2974,1149,102,,,42,,,,,,,True,,,Melkie shishki (Indica) 2g
84,15-07-2020 20:53:27,Batumi,5HQU,LIKEaBOSS,ASTRAL 3g,,2,нет,Батуми,3 гр,0.0257,19116,7385,653,,,270,,,,,,,True,,,ASTRAL 3g
85,15-07-2020 20:53:27,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0374,25060,9660,850,310,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
86,15-07-2020 20:53:27,Batumi,BN40,Panters,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0333,24780,9573,847,,,350,,,,,,,True,,,Mefedron 3g
87,15-07-2020 20:53:27,Batumi,BN40,Panters,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0399,29736,11487,1016,,,420,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
88,15-07-2020 20:53:27,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.053,35569,13710,1207,440,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
89,15-07-2020 20:53:27,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.047,31527,12152,1070,390,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
90,15-07-2020 20:53:27,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0481,32255,12433,1095,399,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
91,15-07-2020 20:53:27,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1669,112990,51992,3843,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
92,15-07-2020 20:53:27,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2642,178900,82321,6085,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
93,15-07-2020 20:53:27,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7080,2735,242,,,100,,,,,,,True,,,kur'er v Batumi
94,15-07-2020 20:53:27,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17700,6838,605,,,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
95,15-07-2020 20:53:27,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17700,6838,605,,,250,,,,,,,True,,,Ischu kur'era v Gruzii!
96,15-07-2020 20:53:27,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14160,5470,484,,,200,,,,,,,True,,,Kur'er Batumi na marihuanu
