,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
37,37,17-02-2020 16:51:54,Tbilisi,8ddca45a78,2g AFGHANI Indica THC 18% / BTC -10% sale,True,1,нет,Тбилиси,2 гр,0.0069,4748,1843,165,75.0,,,,,,,,,2g AFGHANI Indica THC 18% / BTC -10% sale
38,38,17-02-2020 16:51:54,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0365,22791,8845,792,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
39,39,17-02-2020 16:51:54,Tbilisi,7ee4f68218,2гр ГАШИШ,True,4,нет,Тбилиси,2 гр,0.0106,6964,2703,242,110.0,,,,,,,,,2gr GAShISh
40,40,17-02-2020 16:51:54,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0349,22475,8722,781,355.0,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
41,41,17-02-2020 16:51:54,Tbilisi,3c4662c591,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.01,6331,2457,220,100.0,,True,,,,,,,KALI MIST 2G
42,42,17-02-2020 16:51:54,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0183,11396,4423,396,180.0,,,,,,,,,Ketamine 2 g
43,43,17-02-2020 16:51:54,Tbilisi,be97026d1d,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,3,нет,Тбилиси,2 гр,0.0192,12345,4791,429,195.0,True,,,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
44,44,17-02-2020 16:51:54,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,10,нет,Тбилиси,2 гр,0.0201,13928,5405,484,220.0,,,,,,,,,NZT-52 mind storm limited 2g muka
45,45,17-02-2020 16:51:54,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0084,5381,2088,187,85.0,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
46,46,17-02-2020 16:51:54,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,3,нет,Тбилиси,2 гр,0.0356,24690,9582,857,390.0,,,,,,,,,VHQ BEST Cocaine 2g.
47,47,17-02-2020 16:51:54,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0365,23994,9312,833,379.0,,,,,,,,,Kokain HQ 2g.
48,48,17-02-2020 16:51:54,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0351,22095,8575,767,349.0,,,True,,,,,,Kokain KOLUMBIA 2g
49,49,17-02-2020 16:51:54,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,2,нет,Тбилиси,3 гр,0.0111,6901,2678,240,109.0,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
50,50,17-02-2020 16:51:54,Tbilisi,89f7212915,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,3 гр,0.0114,7914,3071,275,125.0,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
51,51,17-02-2020 16:51:54,Tbilisi,8ddca45a78,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.01,6964,2703,242,110.0,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
52,52,17-02-2020 16:51:54,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0246,15511,6020,539,245.0,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
