,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
10,29-05-2020 23:00:12,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,8,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
11,29-05-2020 23:00:12,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0311,21226,8115,724,300,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,29-05-2020 23:00:12,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,,20,нет,Тбилиси,10 гр,0.0105,7075,2705,241,100,True,,,True,,,,,,,10 gr marihuana list'ja top gibrid
13,29-05-2020 23:00:12,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0457,31838,12173,1086,450,True,,,,,,,,,,Gashish Evro 10gr
14,29-05-2020 23:00:12,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,,5,нет,Тбилиси,20 гр,0.0034,2547,974,87,36,True,,,,,,,,,,GABAGAMA 20 SHTUK
15,29-05-2020 23:00:12,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0782,54974,21018,1875,777,True,,,,,,,,,,Gashish Evro 20gr
16,29-05-2020 23:00:12,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0076,5660,2164,193,80,True,,,,,,,,,,GABAGAMA 50 SHTUK
17,29-05-2020 23:00:12,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1906,141504,54100,4827,2000,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,29-05-2020 23:00:12,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0176,13089,5004,447,185,True,,,,,,,,,,GABAGAMA 150 shtuk
19,29-05-2020 23:00:12,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0222,14858,5681,507,210,True,,,,,,,,,,✨✨2gram. MDMA✨✨
20,29-05-2020 23:00:12,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,2 гр,0.0089,6014,2299,205,85,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
21,29-05-2020 23:00:12,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0391,26107,9981,891,369,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
22,29-05-2020 23:00:12,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0613,40965,15662,1398,579,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
23,29-05-2020 23:00:12,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0419,28301,10820,965,400,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,29-05-2020 23:00:12,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0147,9905,3787,338,140,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
25,29-05-2020 23:00:12,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0734,49526,18935,1690,700,True,,,,,,,,,,"""Kief"" Weed trichomes 5G"
26,29-05-2020 23:00:12,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0577,38914,14878,1328,550,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,29-05-2020 23:00:12,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0246,16627,6357,567,235,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,29-05-2020 23:00:12,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0252,16980,6492,579,240,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29-05-2020 23:00:12,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0241,16273,6222,555,230,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,29-05-2020 23:00:12,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0252,16980,6492,579,240,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
31,29-05-2020 23:00:12,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0252,16980,6492,579,240,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,29-05-2020 23:00:12,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0241,16273,6222,555,230,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,29-05-2020 23:00:12,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0209,15495,5924,529,219,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,29-05-2020 23:00:59,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16627,6357,567,235,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,29-05-2020 23:00:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2559,190000,87429,6453,,True,,,,,,,,,,reagent 25i nbome. 5gr
36,29-05-2020 23:00:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2859,212256,81150,7241,3000,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,29-05-2020 23:00:59,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1015,67851,25941,2315,959,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
38,29-05-2020 23:00:59,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0201,13443,5140,459,190,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
39,29-05-2020 23:00:59,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0518,34598,13227,1180,489,True,,,,,,,,,,💘✨5g. MDMA ✨💘
40,29-05-2020 23:00:59,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0943,63677,24345,2172,900,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,29-05-2020 23:00:59,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0419,28301,10820,965,400,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
42,29-05-2020 23:00:59,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0734,49526,18935,1690,700,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,29-05-2020 23:00:59,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.044,29716,11361,1014,420,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,29-05-2020 23:00:59,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0839,56602,21640,1931,800,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,29-05-2020 23:00:59,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2332,157423,60186,5370,2225,True,,,,,,,,,,Amfetamin [White] [Import] 10G
46,29-05-2020 23:00:59,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,2,Тбилиси,10 гр,0.1651,110302,42171,3763,1559,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,29-05-2020 23:00:59,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0391,26107,9981,891,369,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
48,29-05-2020 23:00:59,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,,нет,9,Тбилиси,20 гр,0.0418,28230,10793,963,399,True,,,,,,,,,,20 gr georgian weed. Package on magnet
49,29-05-2020 23:00:59,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5293,353760,135250,12069,5000,True,,,,,,,,,,METADON - 20 G.
50,29-05-2020 23:00:59,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0634,42380,16203,1446,599,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,29-05-2020 23:00:59,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1362,91907,35138,3135,1299,True,,,,,,,,,,50 gr georgian weed. Package on magnet
52,29-05-2020 23:00:59,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2619,176809,67598,6032,2499,True,,,,,,,,,,100 gr georgian weed. Package on magnet
53,29-05-2020 23:00:59,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2516,169805,64920,5793,2400,True,,,,,,,,,,100 gr marijuana buds
54,29-05-2020 23:00:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2096,141504,54100,4827,2000,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,29-05-2020 23:00:59,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2621,176880,67625,6034,2500,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,29-05-2020 23:00:59,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6184,417437,159595,14241,5900,True,,,,,,,,,,180 gr marihuana persoalno
57,29-05-2020 23:00:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4822,325459,124430,11103,4600,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,29-05-2020 23:00:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7862,530640,202875,18103,7500,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,29-05-2020 23:00:59,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.891,601392,229925,20516,8500,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,29-05-2020 23:00:59,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14150,5410,483,200,True,,,,,,,,,,KURYER..500RUB.+BONUS
61,29-05-2020 23:00:59,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.021,14150,5410,483,200,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,29-05-2020 23:00:59,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0262,17688,6763,603,250,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,29-05-2020 23:00:59,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5866,1061280,405750,36206,15000,True,,,,,,,,,,Vakansija optovogo kur'era na mef
64,29-05-2020 23:02:32,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0029,1981,757,68,28,,,,,,,True,,,,Batumi n-booom 2 shtuki
65,29-05-2020 23:02:32,Batumi,A3I9,Joookerrr,Марки н-боооом!!! 10 шт.,,1,нет,Батуми,10 гр,0.0105,7075,2705,241,100,,,,,,,True,,,,Marki n-boooom!!! 10 sht.
66,29-05-2020 23:02:32,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2306,155654,59510,5310,2200,,,,,,,,True,,,[100g] SPAIN HASH
67,29-05-2020 23:02:32,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0089,6014,2299,205,85,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
68,29-05-2020 23:02:32,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0431,29716,11361,1014,420,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
69,29-05-2020 23:02:32,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1674,112990,51992,3838,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,29-05-2020 23:02:32,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.265,178900,82321,6076,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,29-05-2020 23:02:32,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7075,2705,241,100,,,,,,,,True,,,kur'er v Batumi
72,29-05-2020 23:02:32,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17688,6763,603,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
73,29-05-2020 23:02:32,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17688,6763,603,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
74,29-05-2020 23:02:32,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0291,19637,7488,664,,,,,,,,,True,250,,Rabota na marki (kur'er)
75,29-05-2020 23:02:32,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5866,1061280,405750,36206,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
76,29-05-2020 23:02:32,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0524,35376,13525,1207,500,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,29-05-2020 23:03:44,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0407,27947,10685,953,395,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,29-05-2020 23:03:44,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,2,нет,Кутаиси,3 гр,0.0201,13797,5275,471,195,,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
79,29-05-2020 23:03:44,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0291,19637,7488,664,,,,,,,,,,250,True,Rabota na marki (kur'er)
