,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
49,49,22-06-2020 00:57:35,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,10,Тбилиси,4 гр,0.0123,8349,3228,285,,True,120.0,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
50,50,22-06-2020 00:57:35,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0257,17393,6725,594,,True,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
51,51,22-06-2020 00:57:35,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0565,38265,14795,1307,,True,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
52,52,22-06-2020 00:57:35,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0277,18785,7263,641,,True,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
53,53,22-06-2020 00:57:35,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0287,19480,7532,665,,True,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
54,54,22-06-2020 00:57:35,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0282,19132,7398,653,,True,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
55,55,22-06-2020 00:57:35,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16697,6456,570,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
56,56,22-06-2020 00:57:35,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0287,19480,7532,665,,True,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
57,57,22-06-2020 00:57:35,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0277,18785,7263,641,,True,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
58,58,22-06-2020 00:57:35,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15236,5891,520,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
59,59,22-06-2020 00:57:35,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,10,Тбилиси,5 гр,0.018000000000000002,12175,4708,416,,True,175.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
60,60,22-06-2020 00:57:35,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0277,18785,7263,641,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
61,61,22-06-2020 00:57:35,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.154,104359,40350,3564,,True,1500.0,,,,,,,,,Gerojn (sirets) 5 gr
62,62,22-06-2020 00:57:35,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2548,190000,87429,6501,,True,,,,,,,,,,reagent 25i nbome. 5gr
63,63,22-06-2020 00:57:35,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2799,208718,80700,7127,,,3000.0,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
64,64,22-06-2020 00:57:35,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0994,66720,25797,2278,,True,959.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
65,65,22-06-2020 00:57:35,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0197,13219,5111,451,,True,190.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
66,66,22-06-2020 00:57:35,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0507,34021,13154,1162,,True,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
67,67,22-06-2020 00:57:35,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0924,62615,24210,2138,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,68,22-06-2020 00:57:35,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0565,38265,14795,1307,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
69,69,22-06-2020 00:57:35,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0719,48701,18830,1663,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
70,70,22-06-2020 00:57:35,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0431,29220,11298,998,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
71,71,22-06-2020 00:58:56,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0823,55658,21520,1901,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,22-06-2020 00:58:56,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0339,22959,8877,784,,True,330.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
73,73,22-06-2020 00:58:56,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2288,154799,59853,5286,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
74,74,22-06-2020 00:58:56,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2262,153060,59180,5227,,True,2200.0,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
75,75,22-06-2020 00:58:56,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1619,108464,41937,3704,,True,1559.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
76,76,22-06-2020 00:58:56,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0819,54893,21224,1874,,True,789.0,,,,,,,,,💘✨10gram MDMA ✨💘
77,77,22-06-2020 00:58:56,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0383,25672,9926,877,,True,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
78,78,22-06-2020 00:58:56,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,11 гр,0.0453,30422,11759,1040,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
79,79,22-06-2020 00:58:56,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1402,104359,40350,3564,,True,1500.0,,,,,,,,,✨💘20g MDMA💘✨
80,80,22-06-2020 00:58:56,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0622,41674,16113,1423,,True,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
81,81,22-06-2020 00:58:56,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1336,90375,34943,3086,,True,1299.0,,,,,,,,,50 gr georgian weed. Package on magnet
82,82,22-06-2020 00:58:56,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.257,173862,67223,5937,,True,2499.0,,,,,,,,,100 gr georgian weed. Package on magnet
83,83,22-06-2020 00:58:56,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2468,166974,64560,5702,,True,2400.0,,,,,,,,,100 gr marijuana buds
84,84,22-06-2020 00:58:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2057,139145,53800,4751,,True,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
85,85,22-06-2020 00:58:56,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2571,173931,67250,5939,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
86,86,22-06-2020 00:58:56,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6067,410478,158710,14017,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
87,87,22-06-2020 00:58:56,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.441,295683,114325,10097,,True,4250.0,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
88,88,22-06-2020 00:58:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.473,320034,123740,10928,,True,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
89,89,22-06-2020 00:58:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7712,521794,201750,17818,,True,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
90,90,22-06-2020 00:58:56,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8741,591366,228650,20193,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
91,91,22-06-2020 00:58:56,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,13915,5380,475,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
92,92,22-06-2020 00:58:56,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0206,13915,5380,475,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
93,93,22-06-2020 00:58:56,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0257,17393,6725,594,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
94,94,22-06-2020 00:58:56,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5565,1043588,403500,35636,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
95,95,22-06-2020 01:00:43,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,12,нет,Батуми,0.25 гр,0.0134,9283,3588,317,119.0,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
96,96,22-06-2020 01:00:43,Batumi,3c4662c591,шишки марихуаны 5G,,3,нет,Батуми,5 гр,0.0308,20872,8070,713,,,300.0,,,,,,,,True,shishki marihuany 5G
97,97,22-06-2020 01:00:43,Batumi,3c4662c591,Super Critical 10G,,2,нет,Батуми,10 гр,0.0617,41744,16140,1425,,,600.0,,,,,,,,True,Super Critical 10G
98,98,22-06-2020 01:00:43,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1542,104359,40350,3564,,,1500.0,,,,,,,True,,Gerojn (sirets) 5 gr
99,99,22-06-2020 01:00:43,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0432,29220,11298,998,,,420.0,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
100,100,22-06-2020 01:00:43,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2262,153060,59180,5227,,,2200.0,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
101,101,22-06-2020 01:00:43,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.16699999999999998,112990,51992,3866,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
102,102,22-06-2020 01:00:43,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2644,178900,82321,6121,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
