,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
65,11-08-2020 09:10:14,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0466,40576,15290,1347,550,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
66,11-08-2020 09:10:14,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0593,51643,19460,1714,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
67,11-08-2020 09:10:14,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0356,30986,11676,1028,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
68,11-08-2020 09:10:14,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0678,59020,22240,1959,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,11-08-2020 09:10:14,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,нет,8,Тбилиси,10 гр,0.0012,1033,389,34,14,,,,,,,,,,,,GABAGAMA 10 shtuk
70,11-08-2020 09:10:14,Tbilisi,51K,tiabaldo66,РоСС Убой 2гр,True,нет,32,Тбилиси,2 гр,0.0063,5681,2141,189,77,,,,,,,,,,,,RoSS Uboj 2gr
71,11-08-2020 09:10:14,Tbilisi,S54D,wildindian,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2466,236080,88960,7834,3200,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,11-08-2020 09:11:26,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1886,164149,61855,5447,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
73,11-08-2020 09:11:26,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0393,33862,12753,1130,,,,,,,390,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
74,11-08-2020 09:11:26,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0501,47954,18070,1591,650,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
