,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
30,30,29-05-2020 23:12:08,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0252,16980,6492,579,240.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
31,31,29-05-2020 23:12:08,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0252,16980,6492,579,240.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,32,29-05-2020 23:12:08,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0241,16273,6222,555,230.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,33,29-05-2020 23:12:08,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0209,15495,5924,529,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,29-05-2020 23:12:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16627,6357,567,235.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,29-05-2020 23:12:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2559,190000,87429,6453,,True,,,,,,,,,,reagent 25i nbome. 5gr
36,36,29-05-2020 23:12:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2859,212256,81150,7241,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,29-05-2020 23:12:40,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1015,67851,25941,2315,959.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
38,38,29-05-2020 23:12:40,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0201,13443,5140,459,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
39,39,29-05-2020 23:12:40,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0518,34598,13227,1180,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
40,40,29-05-2020 23:12:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0943,63677,24345,2172,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,41,29-05-2020 23:12:40,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0419,28301,10820,965,400.0,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
42,42,29-05-2020 23:12:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0734,49526,18935,1690,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,43,29-05-2020 23:12:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.044000000000000004,29716,11361,1014,420.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,29-05-2020 23:12:40,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0839,56602,21640,1931,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,45,29-05-2020 23:12:40,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2332,157423,60186,5370,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
46,46,29-05-2020 23:12:40,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,2,Тбилиси,10 гр,0.1651,110302,42171,3763,1559.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,47,29-05-2020 23:12:40,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0391,26107,9981,891,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
48,48,29-05-2020 23:12:40,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,,нет,9,Тбилиси,20 гр,0.0418,28230,10793,963,399.0,True,,,,,,,,,,20 gr georgian weed. Package on magnet
49,49,29-05-2020 23:12:40,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5293,353760,135250,12069,5000.0,True,,,,,,,,,,METADON - 20 G.
50,50,29-05-2020 23:12:40,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0634,42380,16203,1446,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,51,29-05-2020 23:12:40,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1362,91907,35138,3135,1299.0,True,,,,,,,,,,50 gr georgian weed. Package on magnet
52,52,29-05-2020 23:12:40,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2619,176809,67598,6032,2499.0,True,,,,,,,,,,100 gr georgian weed. Package on magnet
53,53,29-05-2020 23:12:40,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2516,169805,64920,5793,2400.0,True,,,,,,,,,,100 gr marijuana buds
54,54,29-05-2020 23:12:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2096,141504,54100,4827,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,55,29-05-2020 23:12:40,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2621,176880,67625,6034,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,56,29-05-2020 23:12:40,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6184,417437,159595,14241,5900.0,True,,,,,,,,,,180 gr marihuana persoalno
57,57,29-05-2020 23:12:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4822,325459,124430,11103,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,58,29-05-2020 23:12:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7862,530640,202875,18103,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,29-05-2020 23:12:40,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8909999999999999,601392,229925,20516,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,29-05-2020 23:12:40,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14150,5410,483,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
61,61,29-05-2020 23:12:40,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.021,14150,5410,483,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,29-05-2020 23:12:40,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0262,17688,6763,603,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,63,29-05-2020 23:12:40,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5866,1061280,405750,36206,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
64,64,29-05-2020 23:16:12,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0029,1981,757,68,28.0,,,,,,,True,,,,Batumi n-booom 2 shtuki
65,65,29-05-2020 23:16:12,Batumi,54915c4374,Марки н-боооом!!! 10 шт.,,1,нет,Батуми,10 гр,0.0105,7075,2705,241,100.0,,,,,,,True,,,,Marki n-boooom!!! 10 sht.
66,66,29-05-2020 23:16:12,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2306,155654,59510,5310,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
67,67,29-05-2020 23:16:12,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0089,6014,2299,205,85.0,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
68,68,29-05-2020 23:16:12,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0431,29716,11361,1014,420.0,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
69,69,29-05-2020 23:16:12,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1674,112990,51992,3838,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,70,29-05-2020 23:16:12,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.265,178900,82321,6076,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,71,29-05-2020 23:16:12,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7075,2705,241,100.0,,,,,,,,True,,,kur'er v Batumi
72,72,29-05-2020 23:16:12,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17688,6763,603,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
73,73,29-05-2020 23:16:12,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17688,6763,603,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
74,74,29-05-2020 23:16:12,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0291,19637,7488,664,,,,,,,,,True,250.0,,Rabota na marki (kur'er)
75,75,29-05-2020 23:16:12,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5866,1061280,405750,36206,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
76,76,29-05-2020 23:16:12,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0524,35376,13525,1207,500.0,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,77,29-05-2020 23:17:34,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0407,27947,10685,953,395.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,29-05-2020 23:17:34,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,2,нет,Кутаиси,3 гр,0.0201,13797,5275,471,195.0,,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
79,79,29-05-2020 23:17:34,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0291,19637,7488,664,,,,,,,,,,250.0,True,Rabota na marki (kur'er)
