,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Центр,Батуми,€,desc_en
21,16-08-2020 07:44:44,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,,4,нет,Тбилиси,1 гр,0.0049,4247,1601,142,58,,True,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
22,16-08-2020 07:44:44,Tbilisi,5XD8,TYsonWeed,1G TYson Budds Скидка 5%,,1,нет,Тбилиси,1 гр,0.0032,2929,1104,98,40,True,,,,,,,,,,,1G TYson Budds Skidka 5%
23,16-08-2020 07:44:44,Tbilisi,8B31,GEOWEEDSHOP,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,3,нет,Тбилиси,1 гр,0.004,3441,1297,115,47,,,,,,,,,,,,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
24,16-08-2020 07:44:44,Tbilisi,7LHWP,GEOBUDS,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,6,нет,Тбилиси,1 гр,0.0041,3514,1325,118,48,,,,,,,,,,,,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
25,16-08-2020 07:44:44,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.0041,3588,1352,120,49,,,,,,,,,,,,1gr HYBRID o.g
26,16-08-2020 07:44:44,Tbilisi,BB6E,WEEDSH0P,1gr Stardawg Auto WEED BUDS,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,1gr Stardawg Auto WEED BUDS
27,16-08-2020 07:44:44,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,1 гр,0.0048,4173,1573,140,57,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
28,16-08-2020 07:44:44,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,10,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
29,16-08-2020 07:44:44,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0045,3954,1490,133,54,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
30,16-08-2020 07:44:44,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,1,нет,Тбилиси,1 гр,0.0049,4247,1601,142,58,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
31,16-08-2020 07:44:44,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
32,16-08-2020 07:44:44,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3661,1380,123,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
33,16-08-2020 07:44:44,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,2 гр,0.0083,7248,2732,243,99,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
34,16-08-2020 07:44:44,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0089,7761,2926,260,106,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
35,16-08-2020 07:44:44,Tbilisi,51K,tiabaldo66,Метадон VHQ 0.5гр,True,1,нет,Тбилиси,0.5 гр,0.0359,32508,12254,1091,444,,,,,,,,,,,,Metadon VHQ 0.5gr
36,16-08-2020 07:45:55,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,2 гр,0.0084,7322,2760,246,100,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
37,16-08-2020 07:45:55,Tbilisi,5XD8,TYsonWeed,2G TYson Budds Скидка 5%,True,8,нет,Тбилиси,2 гр,0.006,5711,2153,192,78,True,,,,,,,,,,,2G TYson Budds Skidka 5%
38,16-08-2020 07:45:55,Tbilisi,8B31,GEOWEEDSHOP,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,1,нет,Тбилиси,2 гр,0.0072,6297,2374,211,86,,,,,,,,,,,,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
39,16-08-2020 07:45:55,Tbilisi,7LHWP,GEOBUDS,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,4,нет,Тбилиси,2 гр,0.0073,6297,2374,211,86,,,,,,,,,,,,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
40,16-08-2020 07:45:55,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0078,6809,2567,228,93,,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
41,16-08-2020 07:45:55,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,2,нет,Тбилиси,2 гр,0.0093,8054,3036,270,110,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
