,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,45,10-06-2020 13:28:56,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,,нет,10,Тбилиси,10 гр,0.1585,107064,41703,3708,,True,1559.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,46,10-06-2020 13:28:56,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,,нет,5,Тбилиси,10 гр,0.0822,55489,21614,1922,,True,808.0,,,,,,,,,💘✨10gram MDMA ✨💘
47,47,10-06-2020 13:28:56,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,,нет,9,Тбилиси,10 гр,0.0375,25341,9871,878,,True,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
48,48,10-06-2020 13:28:56,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,4,Тбилиси,11 гр,0.0355,24036,9363,832,,True,350.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
49,49,10-06-2020 13:28:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,,нет,1,Тбилиси,20 гр,0.0513,35024,13643,1213,,True,510.0,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
50,50,10-06-2020 13:28:56,Tbilisi,f8a875c191,METADON - 20 G.,,,нет,2,Тбилиси,20 гр,0.5084,343373,133750,11893,,True,5000.0,,,,,,,,,METADON - 20 G.
51,51,10-06-2020 13:28:56,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,,нет,3,Тбилиси,20 гр,0.1373,103012,40125,3568,,True,1500.0,,,,,,,,,✨💘20g MDMA💘✨
52,52,10-06-2020 13:28:56,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,,нет,9,Тбилиси,20 гр,0.0609,41136,16023,1425,,True,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,10-06-2020 13:28:56,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,,нет,5,Тбилиси,50 гр,0.1308,89208,34748,3090,,True,1299.0,,,,,,,,,50 gr georgian weed. Package on magnet
54,54,10-06-2020 13:28:56,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,,нет,4,Тбилиси,100 гр,0.2516,171618,66848,5944,,True,2499.0,,,,,,,,,100 gr georgian weed. Package on magnet
55,55,10-06-2020 13:28:56,Tbilisi,cb721d4bca,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.2416,164819,64200,5708,,True,2400.0,,,,,,,,,100 gr marijuana buds
56,56,10-06-2020 13:28:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,,нет,1,Тбилиси,100 гр,0.2013,137349,53500,4757,,True,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,57,10-06-2020 13:28:56,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2517,171686,66875,5946,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,10-06-2020 13:28:56,Tbilisi,69672fee0d,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.594,405180,157825,14033,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
59,59,10-06-2020 13:28:56,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,,нет,4,Тбилиси,200 гр,0.4318,291867,113688,10109,,True,4250.0,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
60,60,10-06-2020 13:28:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,,нет,1,Тбилиси,250 гр,0.4631,315903,123050,10941,,True,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
61,61,10-06-2020 13:28:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,,нет,1,Тбилиси,500 гр,0.7551,515059,200625,17839,,True,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
62,62,10-06-2020 13:28:56,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.8557,583733,227375,20217,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
63,63,10-06-2020 13:28:56,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0183,13735,5350,476,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
64,64,10-06-2020 13:28:56,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,2,Тбилиси,1 гр,0.0201,13735,5350,476,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,10-06-2020 13:28:56,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.5238,1030118,401250,35678,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
66,66,10-06-2020 13:30:40,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,,нет,1,Батуми,5 гр,0.0227,15795,6153,547,,,230.0,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
67,67,10-06-2020 13:30:40,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,,нет,2,Батуми,10 гр,0.0415,28843,11235,999,,,420.0,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
68,68,10-06-2020 13:30:40,Batumi,f8a875c191,METADON - 20 G.,,,нет,2,Батуми,20 гр,0.509,343373,133750,11893,,,5000.0,,,,,,True,,,METADON - 20 G.
69,69,10-06-2020 13:30:40,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1658,112990,51992,3909,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,70,10-06-2020 13:30:40,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2626,178900,82321,6189,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,71,10-06-2020 13:30:40,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0092,6867,2675,238,,,100.0,,,,,,True,,,kur'er v Batumi
72,72,10-06-2020 13:30:40,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0229,17169,6688,595,,,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
73,73,10-06-2020 13:30:40,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0229,17169,6688,595,,,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
74,74,10-06-2020 13:30:40,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,,нет,3,Батуми,5 гр,0.0202,13735,5350,476,,,200.0,,,,,,True,,,Kur'er Batumi na marihuanu
75,75,10-06-2020 13:30:40,Batumi,54915c4374,Работа на марки (курьер),,,нет,1,Батуми,25 гр,0.0284,19337,7600,670,250.0,,,,,,,,True,,,Rabota na marki (kur'er)
76,76,10-06-2020 13:30:40,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5256,1030118,401250,35678,,,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
77,77,10-06-2020 13:30:40,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0504,34337,13375,1189,,,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
78,78,10-06-2020 13:32:07,Kutaisi,54915c4374,Работа на марки (курьер),,,нет,1,Кутаиси,25 гр,0.0284,19337,7600,670,250.0,,,,,,,,,,True,Rabota na marki (kur'er)
