,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
26,26,01-06-2020 14:55:43,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.07400000000000001,49526,18900,1687,700.0,,,,,,,,,,"""Kief"" Weed trichomes 5G"
27,27,01-06-2020 14:55:43,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0582,38914,14850,1326,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
28,28,01-06-2020 14:55:43,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0249,16627,6345,566,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
29,29,01-06-2020 14:55:43,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0254,16980,6480,578,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
30,30,01-06-2020 14:55:43,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0243,16273,6210,554,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
31,31,01-06-2020 14:55:43,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,16980,6480,578,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,32,01-06-2020 14:55:43,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0254,16980,6480,578,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,33,01-06-2020 14:55:43,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0243,16273,6210,554,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,34,01-06-2020 14:56:24,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.021,15495,5913,528,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,35,01-06-2020 14:56:24,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0267,17688,6750,603,250.0,,,,,,,,,,MARIXYANA - INDICA - 5 G.
36,36,01-06-2020 14:56:24,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0248,16627,6345,566,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
37,37,01-06-2020 14:56:24,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2578,190000,87429,6478,,,,,,,,,,,reagent 25i nbome. 5gr
38,38,01-06-2020 14:56:24,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.28800000000000003,212256,81000,7230,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
39,39,01-06-2020 14:56:24,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1023,67851,25893,2311,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
40,40,01-06-2020 14:56:24,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0203,13443,5130,458,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
41,41,01-06-2020 14:56:24,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0521,34598,13203,1178,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
42,42,01-06-2020 14:56:24,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.0197,13089,4995,446,185.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
43,43,01-06-2020 14:56:24,Tbilisi,be97026d1d,!! Гашиш !! Hash 6g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,6 гр,0.0485,33183,12663,1130,469.0,,,,,,,,,,!! Gashish !! Hash 6g !!! BTC SALE 5%!!!!
44,44,01-06-2020 14:56:24,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.095,63677,24300,2169,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,45,01-06-2020 14:56:24,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0422,28301,10800,964,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
46,46,01-06-2020 14:56:24,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0739,49526,18900,1687,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,47,01-06-2020 14:56:24,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0443,29716,11340,1012,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,48,01-06-2020 14:56:24,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0845,56602,21600,1928,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,01-06-2020 14:56:24,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2349,157423,60075,5362,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
50,50,01-06-2020 14:56:24,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.1663,110302,42093,3757,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
51,51,01-06-2020 14:56:24,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0394,26107,9963,889,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,52,01-06-2020 14:56:24,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0335,22287,8505,759,315.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
53,53,01-06-2020 14:56:24,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5332,353760,135000,12050,5000.0,,,,,,,,,,METADON - 20 G.
54,54,01-06-2020 14:56:24,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0639,42380,16173,1444,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,55,01-06-2020 14:56:24,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1372,91907,35073,3131,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
56,56,01-06-2020 14:56:24,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2639,176809,67473,6023,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
57,57,01-06-2020 14:56:24,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2534,169805,64800,5784,2400.0,,,,,,,,,,100 gr marijuana buds
58,58,01-06-2020 14:56:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2112,141504,54000,4820,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,59,01-06-2020 14:56:24,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.264,176880,67500,6025,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,60,01-06-2020 14:56:24,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6229,417437,159300,14219,5900.0,,,,,,,,,,180 gr marihuana persoalno
61,61,01-06-2020 14:56:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4857,325459,124200,11086,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,62,01-06-2020 14:56:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7919,530640,202500,18075,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
63,63,01-06-2020 14:56:24,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8975,601392,229500,20485,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,64,01-06-2020 14:56:24,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14150,5400,482,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
65,65,01-06-2020 14:56:24,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0211,14150,5400,482,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
66,66,01-06-2020 14:56:24,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0264,17688,6750,603,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,67,01-06-2020 14:56:24,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0211,14150,5400,482,200.0,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
68,68,01-06-2020 14:56:24,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5982,1061280,405000,36150,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
69,69,01-06-2020 14:58:14,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.25 гр",,2,нет,Батуми,0.25 гр,0.0053,3538,1350,121,50.0,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.25 gr"
70,70,01-06-2020 14:58:14,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,1,Батуми,0.5 гр,0.009000000000000001,6014,2295,205,85.0,,,,,,True,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
71,71,01-06-2020 14:58:14,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2328,155654,59400,5302,2200.0,,,,,,,True,,,[100g] SPAIN HASH
72,72,01-06-2020 14:58:14,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0238,16273,6210,554,230.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
73,73,01-06-2020 14:58:14,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0435,29716,11340,1012,420.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
74,74,01-06-2020 14:58:14,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5344,353760,135000,12050,5000.0,,,,,,,True,,,METADON - 20 G.
75,75,01-06-2020 14:58:14,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.16899999999999998,112990,51992,3853,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,76,01-06-2020 14:58:14,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2676,178900,82321,6100,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,77,01-06-2020 14:58:14,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7075,2700,241,100.0,,,,,,,True,,,kur'er v Batumi
78,78,01-06-2020 14:58:14,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17688,6750,603,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,79,01-06-2020 14:58:14,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17688,6750,603,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
80,80,01-06-2020 14:58:14,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0212,14150,5400,482,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
81,81,01-06-2020 14:58:14,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0294,19637,7513,669,,,,,,,,True,250.0,,Rabota na marki (kur'er)
82,82,01-06-2020 14:58:14,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6016,1061280,405000,36150,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
83,83,01-06-2020 14:58:14,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35376,13500,1205,500.0,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,84,01-06-2020 14:59:35,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,2 гр,0.032,21541,8343,745,309.0,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
85,85,01-06-2020 14:59:35,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0202,13594,5265,470,195.0,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
86,86,01-06-2020 14:59:35,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0294,19637,7513,669,,,,,,,,,250.0,True,Rabota na marki (kur'er)
