,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Авлобари,Батуми,Центр,desc_en
33,04-03-2020 09:51:50,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0274,16611,6268,559,250,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,04-03-2020 09:51:50,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0218,14551,5490,489,219,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,04-03-2020 09:52:33,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0332,19933,7521,670,300,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
36,04-03-2020 09:52:33,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0274,16611,6268,559,250,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
37,04-03-2020 09:52:33,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0199,13289,5014,447,200,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
38,04-03-2020 09:52:33,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.285,190000,87429,6396,,,,,,,,,reagent 25i nbome. 5gr
39,04-03-2020 09:52:33,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.299,199331,75210,6703,3000,,True,,,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0951,57075,21535,1919,859,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0205,12292,4638,413,185,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
42,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0541,32491,12259,1093,489,,,,,,,,💘✨5g. MDMA ✨💘
43,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,1,5,Тбилиси,5 гр,0.0364,21860,8248,735,329,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
44,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0199,11960,4513,402,180,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
45,04-03-2020 09:52:33,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0987,59799,22563,2011,900,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,04-03-2020 09:52:33,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0767,46511,17549,1564,700,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,04-03-2020 09:52:33,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0437,26511,10003,891,399,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,04-03-2020 09:52:33,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0388,23255,8775,782,350,,,,,,,,10x Extasy Duracell 223mg MDMA.
