,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
43,43,20-05-2020 03:36:03,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2759,80010,7248,217175,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,44,20-05-2020 03:36:03,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.098,25577,2317,69424,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,45,20-05-2020 03:36:03,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0194,5067,459,13754,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,46,20-05-2020 03:36:03,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.05,13042,1181,35400,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
47,47,20-05-2020 03:36:03,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.091,24003,2174,65153,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,20-05-2020 03:36:03,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0405,10668,966,28957,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,49,20-05-2020 03:36:03,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0708,18669,1691,50674,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,20-05-2020 03:36:03,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0425,11201,1015,30405,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,20-05-2020 03:36:03,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0101,2667,242,7239,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
52,52,20-05-2020 03:36:03,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0809,21336,1933,57913,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
