,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Varketili,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
42,24-05-2020 09:13:58,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0203,13657,5140,456,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,24-05-2020 09:13:58,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0522,35150,13227,1173,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
44,24-05-2020 09:13:58,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0202,13585,5112,453,189,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
45,24-05-2020 09:13:58,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0952,64692,24345,2159,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,24-05-2020 09:13:58,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0423,28752,10820,959,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
47,24-05-2020 09:13:58,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.074,50316,18935,1679,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,24-05-2020 09:13:58,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0444,30190,11361,1007,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,24-05-2020 09:13:58,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0143,9704,3652,324,135,,,,,,,,,,,10G Hybrid Marijuana Leafs
50,24-05-2020 09:13:58,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0846,57504,21640,1919,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,24-05-2020 09:13:58,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2354,159934,60186,5337,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
52,24-05-2020 09:13:58,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1666,112062,42171,3739,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
53,24-05-2020 09:13:58,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0394,26524,9981,885,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,24-05-2020 09:13:58,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0337,22642,8521,756,315,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
55,24-05-2020 09:13:58,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.056,38025,14309,1269,529,,,,,,,,,,,20 gr georgian weed. Package on magnet
56,24-05-2020 09:13:58,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5342,359402,135250,11993,5000,,,,,,,,,,,METADON - 20 G.
57,24-05-2020 09:13:58,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.064,43056,16203,1437,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,24-05-2020 09:13:58,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1374,93373,35138,3116,1299,,,,,,,,,,,50 gr georgian weed. Package on magnet
59,24-05-2020 09:13:58,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1164,79068,29755,2638,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,24-05-2020 09:13:58,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2643,179629,67598,5994,2499,,,,,,,,,,,100 gr georgian weed. Package on magnet
61,24-05-2020 09:13:58,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2539,172513,64920,5757,2400,,,,,,,,,,,100 gr marijuana buds
62,24-05-2020 09:13:58,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2116,143761,54100,4797,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,24-05-2020 09:13:58,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2645,179701,67625,5997,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,24-05-2020 09:13:58,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6241,424094,159595,14152,5900,,,,,,,,,,,180 gr marihuana persoalno
65,24-05-2020 09:13:58,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4866,330650,124430,11034,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,24-05-2020 09:13:58,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7934,539103,202875,17990,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,24-05-2020 09:13:58,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8991,610983,229925,20388,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,24-05-2020 09:13:58,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14376,5410,480,200,,,,,,,,,,,KURYER..500RUB.+BONUS
69,24-05-2020 09:14:53,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,14376,5410,480,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,24-05-2020 09:14:53,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0264,17970,6763,600,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,24-05-2020 09:14:53,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6011,1078206,405750,35979,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
72,24-05-2020 09:15:49,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,6,нет,Батуми,0.5 гр,0.0063,4313,1623,144,60,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
73,24-05-2020 09:15:49,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,6,нет,Батуми,5 гр,0.0317,21564,8115,720,300,,,,,,,,,True,,shishki marihuany 5G
74,24-05-2020 09:15:49,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0634,43128,16230,1439,600,,,,,,,,,True,,Super Critical 10G
75,24-05-2020 09:15:49,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2326,158137,59510,5277,2200,,,,,,,,True,,,[100g] SPAIN HASH
76,24-05-2020 09:15:49,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,4,Батуми,0.5 гр,0.009,6110,2299,204,85,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
77,24-05-2020 09:15:49,Batumi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0346,25886,9719,864,,,,,,330,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
78,24-05-2020 09:15:49,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,8,Батуми,2 гр,0.0038,2589,972,86,,,,,,33,,,True,,,Batumi n-booom 2 shtuki
79,24-05-2020 09:15:49,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0476,32346,12173,1079,450,,,,,,,,True,,,MDMA !! 3 gramma
80,24-05-2020 09:15:49,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1662,112990,51992,3777,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,24-05-2020 09:15:49,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2632,178900,82321,5980,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,24-05-2020 09:15:49,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7188,2705,240,100,,,,,,,,True,,,kur'er v Batumi
83,24-05-2020 09:15:49,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17970,6763,600,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
84,24-05-2020 09:15:49,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17970,6763,600,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
85,24-05-2020 09:15:49,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0115,7844,2945,262,,,,,,100,,,True,,,Rabota na marki (kur'er)
86,24-05-2020 09:15:49,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6006,1078206,405750,35979,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
87,24-05-2020 09:15:49,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35940,13525,1199,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
88,24-05-2020 09:17:00,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 0.55г бтк скидка 10% !!,,1,нет,Кутаиси,0.55 гр,0.0021,1581,595,53,22,,,,,,,,,,True,Shishki Lemon weed TGK 25% 0.55g btk skidka 10% !!
89,24-05-2020 09:17:00,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 1.1г бтк скидка 10% !!,,2,нет,Кутаиси,1.1 гр,0.0029,2156,812,72,30,,,,,,,,,,True,Shishki Lemon weed TGK 25% 1.1g btk skidka 10% !!
90,24-05-2020 09:17:00,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0508,34862,13119,1163,485,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
91,24-05-2020 09:17:00,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0387,26596,10009,887,370,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,24-05-2020 09:17:00,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0072,5391,2029,180,75,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
93,24-05-2020 09:17:00,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0111,8266,3111,276,115,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
94,24-05-2020 09:17:00,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0115,7844,2945,262,,,,,,100,,,,,True,Rabota na marki (kur'er)
