,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,desc_en
13,22-07-2020 12:45:36,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0063,4258,1683,143,60,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
14,22-07-2020 12:45:36,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,15,нет,Тбилиси,1 гр,0.0051,3477,1374,117,49,,,,,,,,,,1gr HYBRID o.g
15,22-07-2020 12:45:36,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,True,2,нет,Тбилиси,1 гр,0.0052,3903,1543,131,55,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
16,22-07-2020 12:45:36,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 2шт,True,7,нет,Тбилиси,1 гр,0.0105,7097,2805,239,100,,,,,,,,,,Maserati (ecstasy) 2sht
17,22-07-2020 12:45:36,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0104,7026,2777,236,99,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
18,22-07-2020 12:45:36,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0114,7735,3057,260,109,True,,,,,,,,,2 G Hybrid Marijuana Buds
19,22-07-2020 12:45:36,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,2,нет,Тбилиси,2 гр,0.0115,7806,3086,263,110,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
20,22-07-2020 12:45:36,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,2 гр,0.0126,8516,3366,287,120,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
21,22-07-2020 12:45:36,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,2 гр,0.0115,7806,3086,263,110,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
22,22-07-2020 12:45:36,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,2 гр,0.0105,7097,2805,239,100,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
23,22-07-2020 12:45:36,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,2,нет,Тбилиси,2 гр,0.0126,8516,3366,287,120,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
24,22-07-2020 12:45:36,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,2,нет,Тбилиси,2 гр,0.0105,7806,3086,263,110,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
25,22-07-2020 12:45:36,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 2 г. TOP BUDS Very Strong,True,2,нет,Тбилиси,2 гр,0.0104,7735,3057,260,109,,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
