,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
48,48,26-06-2020 00:27:34,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0409,27786,10724,949,,True,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
49,49,26-06-2020 00:27:34,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,10,Тбилиси,4 гр,0.0123,8336,3217,285,,True,120.0,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
50,50,26-06-2020 00:27:34,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0256,17367,6703,593,,True,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
51,51,26-06-2020 00:27:34,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0563,38206,14746,1305,,True,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
52,52,26-06-2020 00:27:34,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0276,18756,7239,641,,True,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
53,53,26-06-2020 00:27:34,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0287,19450,7507,664,,True,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
54,54,26-06-2020 00:27:34,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0282,19103,7373,652,,True,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
55,55,26-06-2020 00:27:34,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16672,6434,569,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
56,56,26-06-2020 00:27:34,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0287,19450,7507,664,,True,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
57,57,26-06-2020 00:27:34,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0276,18756,7239,641,,True,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
58,58,26-06-2020 00:27:34,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15213,5871,520,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
59,59,26-06-2020 00:27:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.0179,12157,4692,415,,True,175.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
60,60,26-06-2020 00:27:34,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0276,18756,7239,641,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
61,61,26-06-2020 00:27:34,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1536,104199,40215,3559,,True,1500.0,,,,,,,,,Gerojn (sirets) 5 gr
62,62,26-06-2020 00:27:34,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2545,190000,87429,6537,,True,,,,,,,,,,reagent 25i nbome. 5gr
63,63,26-06-2020 00:27:34,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2792,208398,80430,7118,,,3000.0,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
64,64,26-06-2020 00:27:34,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.0992,66618,25711,2275,,True,959.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
65,65,26-06-2020 00:27:34,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0196,13199,5094,451,,True,190.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
66,66,26-06-2020 00:27:34,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0506,33969,13110,1160,,True,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
67,67,26-06-2020 00:27:34,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0921,62519,24129,2135,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,68,26-06-2020 00:27:34,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0563,38206,14746,1305,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
69,69,26-06-2020 00:27:34,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0717,48626,18767,1661,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
70,70,26-06-2020 00:27:34,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.043,29176,11260,997,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
71,71,26-06-2020 00:28:36,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.08199999999999999,55573,21448,1898,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,26-06-2020 00:28:36,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0338,22924,8847,783,,True,330.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
73,73,26-06-2020 00:28:36,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.228,154562,59652,5279,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
74,74,26-06-2020 00:28:36,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,8,Тбилиси,10 гр,0.0102,6947,2681,237,,True,100.0,,,,,,,,,Marki n-boom 10 sht.
75,75,26-06-2020 00:28:36,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2255,152825,58982,5220,,True,2200.0,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
76,76,26-06-2020 00:28:36,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1614,108298,41797,3699,,True,1559.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,77,26-06-2020 00:28:36,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0817,54809,21153,1872,,True,789.0,,,,,,,,,💘✨10gram MDMA ✨💘
78,78,26-06-2020 00:28:36,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0382,25633,9893,875,,True,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,79,26-06-2020 00:28:36,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0452,30443,11759,1045,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
80,80,26-06-2020 00:28:36,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1398,104199,40215,3559,,True,1500.0,,,,,,,,,✨💘20g MDMA💘✨
81,81,26-06-2020 00:28:36,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.062,41610,16059,1421,,True,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
82,82,26-06-2020 00:28:36,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1331,90236,34826,3082,,True,1299.0,,,,,,,,,50 gr georgian weed. Package on magnet
83,83,26-06-2020 00:28:36,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2561,173596,66998,5929,,True,2499.0,,,,,,,,,100 gr georgian weed. Package on magnet
84,84,26-06-2020 00:28:36,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.24600000000000002,166718,64344,5694,,True,2400.0,,,,,,,,,100 gr marijuana buds
85,85,26-06-2020 00:28:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.205,138932,53620,4745,,True,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
86,86,26-06-2020 00:28:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2562,173665,67025,5932,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
87,87,26-06-2020 00:28:36,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6047,409849,158179,13998,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
88,88,26-06-2020 00:28:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4714,319544,123326,10914,,True,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
89,89,26-06-2020 00:28:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7686,520995,201075,17795,,True,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
90,90,26-06-2020 00:28:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8711,590461,227885,20167,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
91,91,26-06-2020 00:28:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13893,5362,475,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
92,92,26-06-2020 00:28:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0205,13893,5362,475,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
93,93,26-06-2020 00:28:36,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0256,17367,6703,593,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
94,94,26-06-2020 00:28:36,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5512,1041990,402150,35589,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
95,95,26-06-2020 00:30:46,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,2,нет,Батуми,0.25 гр,0.0134,9289,3588,319,119.0,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
96,96,26-06-2020 00:30:46,Batumi,f8a875c191,METADON - 0.25 - SALE,,1,10,Батуми,0.25 гр,0.0311,20840,8043,712,,,300.0,,,,,,,True,,METADON - 0.25 - SALE
97,97,26-06-2020 00:30:46,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1537,104199,40215,3559,,,1500.0,,,,,,,True,,Gerojn (sirets) 5 gr
98,98,26-06-2020 00:30:46,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2255,152825,58982,5220,,,2200.0,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
99,99,26-06-2020 00:30:46,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3888,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
100,100,26-06-2020 00:30:46,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2639,178900,82321,6155,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
101,101,26-06-2020 00:30:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6947,2681,237,,,100.0,,,,,,,True,,kur'er v Batumi
102,102,26-06-2020 00:30:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17367,6703,593,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
103,103,26-06-2020 00:30:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17367,6703,593,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
