,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
34,34,14-03-2020 06:40:22,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1256,57599,21162,1842,787.0,,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
35,35,14-03-2020 06:40:22,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,2,нет,Тбилиси,5 гр,0.0337,16101,5916,515,220.0,,,,,,True,,,,,,,Hybrid Gagarin. 5g.
36,36,14-03-2020 06:40:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0094,4757,1748,152,65.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
37,37,14-03-2020 06:40:22,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0701,32496,11939,1039,444.0,,,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
38,38,14-03-2020 06:40:22,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0582,26714,9815,854,365.0,True,,,,,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
39,39,14-03-2020 06:40:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0426,19541,7180,625,267.0,,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
40,40,14-03-2020 06:40:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0144,7246,2662,232,99.0,,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
41,41,14-03-2020 06:40:22,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0612,29275,10756,936,400.0,,,,,,,,,,,,,gashish evro 10g
42,42,14-03-2020 06:40:22,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1353,62064,22803,1984,848.0,,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
43,43,14-03-2020 06:40:22,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0435,19761,7260,632,270.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
44,44,14-03-2020 06:40:22,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,2,Тбилиси,0.35 гр,0.0367,16833,6185,538,230.0,,,,,,,,,,,,,Methadone HQ in city 0.35g
45,45,14-03-2020 06:40:22,Tbilisi,2dbb5960b9,Methadone HQ in city 0.75g,True,нет,2,Тбилиси,0.75 гр,0.059000000000000004,27080,9949,866,370.0,,,,,,,,,,,,,Methadone HQ in city 0.75g
46,46,14-03-2020 06:40:22,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1117,51232,18823,1638,700.0,,,,,,,,,,,,,Methadone HQ in city 1.4g
