,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
28,28,19-03-2020 11:52:46,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0473,24708,9056,781,320.0,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,29,19-03-2020 11:52:46,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0483,23164,8490,732,300.0,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
30,30,19-03-2020 11:52:46,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0532,26315,9579,832,,True,,,310.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
31,31,19-03-2020 11:52:46,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0287,13512,4953,427,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,32,19-03-2020 11:52:46,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.128,60767,22272,1921,787.0,,,True,,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
33,33,19-03-2020 11:52:46,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,1,нет,Тбилиси,5 гр,0.0343,16987,6226,537,220.0,,,,,True,,,,,,,Hybrid Gagarin. 5g.
34,34,19-03-2020 11:53:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,10,нет,Тбилиси,5 гр,0.0096,5019,1840,159,65.0,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,19-03-2020 11:53:40,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0529,25094,9198,793,325.0,,,True,,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
36,36,19-03-2020 11:53:40,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0594,28183,10330,891,365.0,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
37,37,19-03-2020 11:53:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0146,7644,2802,242,99.0,True,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,19-03-2020 11:53:40,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0624,30885,11320,977,400.0,True,,,,,,,,,,,gashish evro 10g
39,39,19-03-2020 11:53:40,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.1033,49030,17971,1550,635.0,,,True,,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
40,40,19-03-2020 11:53:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0411,19303,7075,610,250.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
41,41,19-03-2020 11:53:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,14,5,Тбилиси,0.27 гр,0.0411,19303,7075,610,250.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
42,42,19-03-2020 11:53:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.115,54049,19810,1709,700.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
43,43,19-03-2020 11:53:40,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,,нет,1,Тбилиси,1.4 гр,0.1138,54049,19810,1709,700.0,True,,,,,,,,,,,Methadone HQ in city 1.4g
44,44,19-03-2020 11:53:40,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0969,45556,16697,1440,590.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,45,19-03-2020 11:53:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0651,30885,11320,977,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,19-03-2020 11:53:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0895,42467,15565,1343,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,47,19-03-2020 11:53:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,3,Тбилиси,5 гр,0.0254,12045,4415,381,156.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
48,48,19-03-2020 11:53:40,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.0324,15365,5632,486,199.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
49,49,19-03-2020 11:53:40,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.026000000000000002,12354,4528,391,160.0,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,50,19-03-2020 11:53:40,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0324,15365,5632,486,199.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,51,19-03-2020 11:53:40,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,1,Тбилиси,5 гр,0.0324,15365,5632,486,199.0,True,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
52,52,19-03-2020 11:53:40,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0236,11196,4104,354,145.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,19-03-2020 11:53:40,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0324,16910,6198,535,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,19-03-2020 11:53:40,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0493,23164,8490,732,300.0,True,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
55,55,19-03-2020 11:53:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,9,Тбилиси,5 гр,0.0244,11582,4245,366,150.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
56,56,19-03-2020 11:53:40,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Тбилиси,5 гр,0.0296,15443,5660,488,200.0,True,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
57,57,19-03-2020 11:53:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3638,190000,87429,5999,,True,,,,,,,,,,,reagent 25i nbome. 5gr
58,58,19-03-2020 11:53:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4436,231639,84900,7324,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,59,19-03-2020 11:53:40,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,3,Тбилиси,5 гр,0.1411,66326,24310,2097,859.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
60,60,19-03-2020 11:53:40,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,3,Тбилиси,5 гр,0.0304,14284,5236,452,185.0,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
61,61,19-03-2020 11:53:40,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0803,37757,13839,1194,489.0,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
62,62,19-03-2020 11:53:40,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.054000000000000006,25403,9311,803,329.0,True,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
63,63,19-03-2020 11:53:40,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,8,Тбилиси,5 гр,0.0296,13898,5094,439,180.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
64,64,19-03-2020 11:53:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1464,69492,25470,2197,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,65,19-03-2020 11:53:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1138,54049,19810,1709,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,19-03-2020 11:54:10,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,8,Тбилиси,10 гр,0.0649,30808,11292,974,399.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,67,19-03-2020 11:54:10,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0575,27025,9905,854,350.0,True,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
68,68,19-03-2020 11:54:10,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1301,61770,22640,1953,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,69,19-03-2020 11:54:10,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3619,171799,62968,5432,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
70,70,19-03-2020 11:54:10,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.23800000000000002,111882,41007,3537,1449.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
71,71,19-03-2020 11:54:10,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0606,28492,10443,901,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
72,72,19-03-2020 11:54:10,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0491,23087,8462,730,299.0,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
73,73,19-03-2020 11:54:10,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0984,46251,16952,1462,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
74,74,19-03-2020 11:54:10,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1774,92656,33960,2930,1200.0,True,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
75,75,19-03-2020 11:54:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.3253,154426,56600,4883,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
76,76,19-03-2020 11:54:10,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.3285,154426,56600,4883,2000.0,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
77,77,19-03-2020 11:54:10,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.4066,193033,70750,6103,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,78,19-03-2020 11:54:10,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2464,115820,42450,3662,1500.0,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
79,79,19-03-2020 11:54:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.7481,355180,130180,11230,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
80,80,19-03-2020 11:54:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.2198,579098,212250,18310,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
81,81,19-03-2020 11:54:10,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.3824,656311,240550,20751,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
82,82,19-03-2020 11:54:10,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0296,15443,5660,488,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
83,83,19-03-2020 11:54:10,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0222,11582,4245,366,150.0,True,,,,,,,,,,,Rabota na marki (kur'er)
84,84,19-03-2020 11:54:10,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0325,15443,5660,488,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,85,19-03-2020 11:54:10,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0407,19303,7075,610,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,86,19-03-2020 11:54:10,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.4617,1158197,424500,36620,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
87,87,19-03-2020 11:55:14,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,27,нет,Батуми,1 гр,0.0281,14670,5377,464,190.0,,,,,,,,,True,,,NZT-52 limited 1 g muka
88,88,19-03-2020 11:55:14,Batumi,c72111ac1a,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.0503,26252,9622,830,340.0,,,,,,,,,True,,,NZT-52 limited 2g muka
89,89,19-03-2020 11:55:14,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3578,169869,62260,5371,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
90,90,19-03-2020 11:55:14,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0296,15443,5660,488,200.0,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
91,91,19-03-2020 11:55:14,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3285,154426,56600,4883,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
92,92,19-03-2020 11:55:14,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2464,115820,42450,3662,1500.0,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
93,93,19-03-2020 11:55:14,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0148,7721,2830,244,100.0,,,,,,,,,True,,,kur'er v Batumi
94,94,19-03-2020 11:55:14,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.037000000000000005,19303,7075,610,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
95,95,19-03-2020 11:55:14,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0222,11582,4245,366,150.0,,,,,,,,,True,,,Rabota na marki (kur'er)
96,96,19-03-2020 11:55:14,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.037000000000000005,19303,7075,610,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
97,97,19-03-2020 11:55:14,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.4617,1158197,424500,36620,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
98,98,19-03-2020 11:55:14,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0813,38607,14150,1221,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
99,99,19-03-2020 11:56:29,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,11,нет,Кутаиси,1 гр,0.033,15829,5802,500,205.0,,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
100,100,19-03-2020 11:56:29,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! КУТАИСИ!!!,,9,нет,Кутаиси,1.5 гр,0.0288,13821,5066,437,179.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! KUTAISI!!!
101,101,19-03-2020 11:56:29,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! КУТАИСИ!!!,,12,нет,Кутаиси,2 гр,0.0626,30036,11009,950,389.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! KUTAISI!!!
