,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,20-05-2020 18:41:26,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.01,7126,2648,238,,,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
25,20-05-2020 18:41:26,Tbilisi,A3I9,Joookerrr,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0081,5787,2152,193,80,,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
26,20-05-2020 18:41:26,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0163,11574,4304,387,160,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
27,20-05-2020 18:41:26,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0379,26693,9926,891,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
28,20-05-2020 18:41:26,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0594,41884,15575,1399,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,20-05-2020 18:41:26,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0407,28935,10760,966,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,20-05-2020 18:41:26,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0142,10127,3766,338,140,,,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
31,20-05-2020 18:41:26,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0559,39786,14795,1329,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,20-05-2020 18:41:26,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0239,16999,6322,568,235,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
33,20-05-2020 18:41:26,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0244,17361,6456,580,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
34,20-05-2020 18:42:17,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0234,16638,6187,556,230,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
35,20-05-2020 18:42:17,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0162,11502,4277,384,159,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
36,20-05-2020 18:42:17,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,17361,6456,580,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,20-05-2020 18:42:17,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0244,17361,6456,580,240,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,20-05-2020 18:42:17,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0234,16638,6187,556,230,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,20-05-2020 18:42:17,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0202,15842,5891,529,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
