,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Батуми,Центр,desc_en
19,19,09-07-2020 08:36:10,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0454,32057,12240,1098,450.0,,,,,,,,,,,Gashish Evro 10gr
20,20,09-07-2020 08:36:10,Tbilisi,54915c4374,Марки н-боом 10 шт.,,1,нет,Тбилиси,10 гр,0.0104,7124,2720,244,100.0,True,,,,,,,,,,Marki n-boom 10 sht.
21,21,09-07-2020 08:36:10,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0473,35619,13600,1220,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
22,22,09-07-2020 08:36:10,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4630,1768,159,65.0,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
23,23,09-07-2020 08:36:10,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2101,142476,54400,4880,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,24,09-07-2020 08:36:10,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,2,Тбилиси,3 гр,0.0945,64043,24453,2193,899.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,09-07-2020 08:36:10,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,4,Тбилиси,4 гр,0.0416,28495,10880,976,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,09-07-2020 08:36:10,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.026000000000000002,17809,6800,610,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
27,27,09-07-2020 08:36:10,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0573,39181,14960,1342,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
28,28,09-07-2020 08:36:10,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0281,19234,7344,659,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
29,29,09-07-2020 08:36:10,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0292,19947,7616,683,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
30,30,09-07-2020 08:36:10,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0286,19590,7480,671,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
31,31,09-07-2020 08:36:10,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.025,17097,6528,586,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,32,09-07-2020 08:36:10,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0292,19947,7616,683,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,33,09-07-2020 08:36:10,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0281,19234,7344,659,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,34,09-07-2020 08:37:07,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0281,19234,7344,659,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,09-07-2020 08:37:07,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2525,190000,87429,6517,,,,,,,,,,,,reagent 25i nbome. 5gr
36,36,09-07-2020 08:37:07,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.284,213714,81600,7320,3000.0,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,09-07-2020 08:37:07,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0937,64114,24480,2196,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,38,09-07-2020 08:37:07,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0573,39181,14960,1342,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
39,39,09-07-2020 08:37:07,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0729,49867,19040,1708,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,09-07-2020 08:37:07,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0437,29920,11424,1025,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,09-07-2020 08:37:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0833,56990,21760,1952,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,42,09-07-2020 08:37:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2317,158504,60520,5429,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
43,43,09-07-2020 08:37:07,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0463,31358,11973,1074,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
44,44,09-07-2020 08:37:07,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0615,46305,17680,1586,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
45,45,09-07-2020 08:37:07,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2499,170971,65280,5856,2400.0,,,,,,,,,,,100 gr marijuana buds
46,46,09-07-2020 08:37:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2603,178095,68000,6100,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
47,47,09-07-2020 08:37:07,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6144,420304,160480,14395,5900.0,,,,,,,,,,,180 gr marihuana persoalno
48,48,09-07-2020 08:37:07,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8852,605522,231200,20739,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
49,49,09-07-2020 08:37:07,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,14248,5440,488,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
50,50,09-07-2020 08:37:07,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.026000000000000002,17809,6800,610,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
51,51,09-07-2020 08:37:07,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0208,14248,5440,488,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
52,52,09-07-2020 08:37:07,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.026000000000000002,17809,6800,610,250.0,,,,,,,,,,,Rabota na marki (kur'er)
53,53,09-07-2020 08:37:07,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5763,1068569,408000,36599,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
54,54,09-07-2020 08:37:07,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0521,35619,13600,1220,500.0,,,,True,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
55,55,09-07-2020 08:39:25,Batumi,7c2ccfb3f3,Метамфетамин 1г,,1,нет,Батуми,1 гр,0.0142,10686,4080,366,150.0,,,,,,,,,True,,Metamfetamin 1g
56,56,09-07-2020 08:39:25,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,5,нет,Батуми,2 гр,0.0189,14248,5440,488,200.0,,,,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
57,57,09-07-2020 08:39:25,Batumi,7c2ccfb3f3,Метамфетамин 2г,,2,нет,Батуми,2 гр,0.0265,19947,7616,683,280.0,,,,,,,,,True,,Metamfetamin 2g
58,58,09-07-2020 08:39:25,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 3шт.,,1,нет,Батуми,3 гр,0.0237,17809,6800,610,250.0,,,,,,,,,True,,Tably Punisher 300 mg. 3sht.
59,59,09-07-2020 08:39:25,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0463,31358,11973,1074,,,,,,,390.0,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,60,09-07-2020 08:39:25,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0498,33771,12894,1157,,,,,,,420.0,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
61,61,09-07-2020 08:39:25,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1651,112990,51992,3876,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
62,62,09-07-2020 08:39:25,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2615,178900,82321,6136,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
63,63,09-07-2020 08:39:25,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7124,2720,244,100.0,,,,,,,,,True,,kur'er v Batumi
64,64,09-07-2020 08:39:25,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17809,6800,610,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
65,65,09-07-2020 08:39:25,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17809,6800,610,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
66,66,09-07-2020 08:39:25,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0208,14248,5440,488,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
67,67,09-07-2020 08:39:25,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5759999999999998,1068569,408000,36599,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
68,68,09-07-2020 08:39:25,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0521,35619,13600,1220,500.0,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
