,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
30,08-06-2020 15:25:01,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0405,27453,10740,952,400,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
31,08-06-2020 15:25:01,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0709,48042,18795,1667,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
32,08-06-2020 15:25:01,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0425,28825,11277,1000,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
33,08-06-2020 15:25:36,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.081,54906,21480,1905,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
34,08-06-2020 15:25:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,нет,1,Тбилиси,10 гр,0.027,18325,7169,636,267,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
35,08-06-2020 15:25:36,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2253,152706,59741,5298,2225,,,,,,,,,Amfetamin [White] [Import] 10G
36,08-06-2020 15:25:36,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1594,106997,41859,3712,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
37,08-06-2020 15:25:36,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0826,55455,21695,1924,808,,,,,,,,,💘✨10gram MDMA ✨💘
38,08-06-2020 15:25:36,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0377,25325,9908,879,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
39,08-06-2020 15:25:36,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0357,24021,9398,833,350,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
40,08-06-2020 15:25:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 20шт. вес таблетки 450mg,True,нет,1,Тбилиси,20 гр,0.0516,35002,13694,1214,510,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
41,08-06-2020 15:25:36,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5113,343160,134250,11905,5000,,,,,,,,,METADON - 20 G.
42,08-06-2020 15:25:36,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1381,102948,40275,3572,1500,,,,,,,,,✨💘20g MDMA💘✨
43,08-06-2020 15:25:36,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0613,41111,16083,1426,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
44,08-06-2020 15:25:36,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1315,89153,34878,3093,1299,,,,,,,,,50 gr georgian weed. Package on magnet
45,08-06-2020 15:25:36,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.253,171511,67098,5950,2499,,,,,,,,,100 gr georgian weed. Package on magnet
46,08-06-2020 15:25:36,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.243,164717,64440,5714,2400,,,,,,,,,100 gr marijuana buds
47,08-06-2020 15:25:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2025,137264,53700,4762,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
48,08-06-2020 15:25:36,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2531,171580,67125,5953,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
49,08-06-2020 15:25:36,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5974,404928,158415,14048,5900,,,,,,,,,180 gr marihuana persoalno
50,08-06-2020 15:25:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4657,315707,123510,10953,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
51,08-06-2020 15:25:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7593,514739,201375,17858,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
52,08-06-2020 15:25:36,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8606,583371,228225,20239,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
53,08-06-2020 15:25:36,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0184,13726,5370,476,200,,,,,,,,,KURYER..500RUB.+BONUS
54,08-06-2020 15:25:36,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0203,13726,5370,476,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
55,08-06-2020 15:25:36,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5325,1029479,402750,35715,15000,,,,,,,,,Vakansija optovogo kur'era na mef
56,08-06-2020 15:27:01,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,5,Батуми,5 гр,0.0228,15785,6176,548,230,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
57,08-06-2020 15:27:01,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0417,28825,11277,1000,420,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
58,08-06-2020 15:27:01,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5114,343160,134250,11905,5000,,,,,True,,,,METADON - 20 G.
59,08-06-2020 15:27:01,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3920,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
60,08-06-2020 15:27:01,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.264,178900,82321,6207,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
61,08-06-2020 15:27:01,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6863,2685,238,100,,,,,True,,,,kur'er v Batumi
62,08-06-2020 15:27:01,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17158,6713,595,250,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
63,08-06-2020 15:27:01,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17158,6713,595,250,,,,,True,,,,Ischu kur'era v Gruzii!
64,08-06-2020 15:27:01,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0203,13726,5370,476,200,,,,,True,,,,Kur'er Batumi na marihuanu
65,08-06-2020 15:27:01,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0288,19491,7600,676,,,,,,True,250,,,Rabota na marki (kur'er)
66,08-06-2020 15:27:01,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.533,1029479,402750,35715,15000,,,,,True,,,,Vakansija optovogo kur'era na mef
67,08-06-2020 15:27:01,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0506,34316,13425,1191,500,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
68,08-06-2020 15:28:28,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0288,19491,7600,676,,,,,,,250,,True,Rabota na marki (kur'er)
