,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Vazisubani,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
18,18,06-07-2020 04:06:14,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,3,нет,Тбилиси,2 гр,0.0528,35179,13648,1208,,True,499.0,,,,,,,,,,Cocaine Pure VHQ 2 g
19,19,06-07-2020 04:06:14,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,3,нет,Тбилиси,2 гр,0.0635,42300,16410,1453,,True,600.0,,,,,,,,,,VHQ BEST Cocaine 2g.
20,20,06-07-2020 04:06:14,Tbilisi,f374062dcd,Кокаин Перу HD 2гр,,1,нет,Тбилиси,2 гр,0.0404,29610,11487,1017,,True,420.0,,,,,,,,,,Kokain Peru HD 2gr
21,21,06-07-2020 04:06:14,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,1,нет,Тбилиси,3 гр,0.0092,6134,2379,211,,,87.0,,,,True,,,,,,3 gr georgian weed. Package on magnet
22,22,06-07-2020 04:06:14,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,16,нет,Тбилиси,3 гр,0.0059,3878,1504,133,,True,55.0,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,23,06-07-2020 04:06:14,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,14,нет,Тбилиси,5 гр,0.0074,4865,1887,167,,True,69.0,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
24,24,06-07-2020 04:06:14,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,6,нет,Тбилиси,5 гр,0.0143,10504,4075,361,,True,149.0,,,,,,,,,,5g. GEO Marihuana boshki
25,25,06-07-2020 04:06:14,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,2,нет,Тбилиси,5 гр,0.0288,21150,8205,726,,,300.0,,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
26,26,06-07-2020 04:06:14,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0253,16849,6537,579,,True,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
27,27,06-07-2020 04:06:14,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,6,нет,Тбилиси,10 гр,0.0138,9094,3528,312,,True,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
28,28,06-07-2020 04:06:14,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0461,31725,12308,1090,,True,450.0,,,,,,,,,,Gashish Evro 10gr
29,29,06-07-2020 04:06:14,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0481,35250,13675,1211,,True,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
30,30,06-07-2020 04:06:14,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0069,4583,1778,157,,True,65.0,,,,,,,,,,Silver haze leaves list'ja 15gr sale
31,31,06-07-2020 04:06:14,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.0351,25732,9983,884,,True,365.0,,,,,,,,,,25 GGAMM NEW BEASTWEED
32,32,06-07-2020 04:06:14,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2134,141000,54700,4843,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,33,06-07-2020 04:06:14,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,1,Тбилиси,2 гр,0.0533,35179,13648,1208,,True,499.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
34,34,06-07-2020 04:06:14,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,5,Тбилиси,4 гр,0.0423,28200,10940,969,,True,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,35,06-07-2020 04:07:28,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0264,17625,6838,605,,True,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
36,36,06-07-2020 04:07:28,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0582,38775,15043,1332,,True,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,06-07-2020 04:07:28,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0286,19035,7385,654,,True,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,38,06-07-2020 04:07:28,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0296,19740,7658,678,,True,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
39,39,06-07-2020 04:07:28,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0291,19387,7521,666,,True,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,40,06-07-2020 04:07:28,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0254,16920,6564,581,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,41,06-07-2020 04:07:28,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0296,19740,7658,678,,True,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,42,06-07-2020 04:07:28,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0286,19035,7385,654,,True,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,43,06-07-2020 04:07:28,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,15439,5990,530,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,44,06-07-2020 04:07:28,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0286,19035,7385,654,,True,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
45,45,06-07-2020 04:07:28,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 5G A+++,,нет,5,Тбилиси,5 гр,0.0529,35250,13675,1211,,True,500.0,,,,,,,,,,VHQ MDMA Champagne Imported 5G A+++
46,46,06-07-2020 04:07:28,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2591,190000,87429,6528,,True,,,,,,,,,,,reagent 25i nbome. 5gr
47,47,06-07-2020 04:07:28,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2884,211500,82050,7264,,,3000.0,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,06-07-2020 04:07:28,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0952,63450,24615,2179,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,49,06-07-2020 04:07:28,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0582,38775,15043,1332,,True,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
50,50,06-07-2020 04:07:28,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.07400000000000001,49350,19145,1695,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,51,06-07-2020 04:07:28,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0444,29610,11487,1017,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,52,06-07-2020 04:07:28,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0846,56400,21880,1937,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,53,06-07-2020 04:07:28,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2353,156862,60854,5388,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,06-07-2020 04:07:28,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0468,30896,11934,1065,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,55,06-07-2020 04:07:28,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2538,169200,65640,5811,,True,2400.0,,,,,,,,,,100 gr marijuana buds
56,56,06-07-2020 04:07:28,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2644,176250,68375,6054,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,06-07-2020 04:07:28,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.624,415949,161365,14286,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
58,58,06-07-2020 04:07:28,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8989,599249,232475,20582,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
59,59,06-07-2020 04:07:28,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14100,5470,484,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
60,60,06-07-2020 04:07:28,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0264,17625,6838,605,,True,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
61,61,06-07-2020 04:07:28,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0212,14100,5470,484,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,06-07-2020 04:07:28,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0264,17625,6838,605,,True,250.0,,,,,,,,,,Rabota na marki (kur'er)
63,63,06-07-2020 04:07:28,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6008,1057499,410250,36321,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
64,64,06-07-2020 04:10:14,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,7,нет,Батуми,2 гр,0.0058,3878,1504,133,,,55.0,,,,,,,,True,,Melkie shishki (Indica) 2g
65,65,06-07-2020 04:10:14,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,2,нет,Батуми,2 гр,0.012,7922,3060,273,100.0,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
66,66,06-07-2020 04:10:14,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,9,Батуми,0.25 гр,0.0267,17625,6838,605,,,250.0,,,,,,,,True,,METADON - 0.25 - SALE
67,67,06-07-2020 04:10:14,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0468,30896,11934,1065,390.0,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
68,68,06-07-2020 04:10:14,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0504,33273,12852,1147,420.0,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
69,69,06-07-2020 04:10:14,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1696,112990,51992,3882,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,70,06-07-2020 04:10:14,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2685,178900,82321,6147,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,71,06-07-2020 04:10:14,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7050,2735,242,,,100.0,,,,,,,,True,,kur'er v Batumi
72,72,06-07-2020 04:10:14,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17625,6838,605,,,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
73,73,06-07-2020 04:10:14,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17625,6838,605,,,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
74,74,06-07-2020 04:10:14,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14100,5470,484,,,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
75,75,06-07-2020 04:10:14,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6016,1057499,410250,36321,,,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
76,76,06-07-2020 04:10:14,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35250,13675,1211,,,500.0,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
