,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
21,24-07-2020 20:55:51,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,,1,нет,Тбилиси,2 гр,0.021,14319,5590,477,,True,200,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
22,24-07-2020 20:55:51,Tbilisi,9R7SU,ClownBaroN,HONEY (B) 2G Buds THC 27 % From Europe Buds,,2,нет,Тбилиси,2 гр,0.0112,7661,2991,255,,,107,,True,,,,,,HONEY (B) 2G Buds THC 27 % From Europe Buds
23,24-07-2020 20:55:51,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 2 г. TOP BUDS Very Strong,,1,нет,Тбилиси,2 гр,0.0104,7804,3047,260,,True,109,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
24,24-07-2020 20:55:51,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0136,9308,3634,310,,,130,,,,,,,,Badazz Kush 3G VHQ 25% THC
25,24-07-2020 20:55:51,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,2,нет,Тбилиси,3 гр,0.0025,1718,671,57,,,24,True,,,,,,,Marijuana Super Skunk leaves 3g plan
26,24-07-2020 20:55:51,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.011,8234,3214,274,,True,115,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
27,24-07-2020 20:55:51,Tbilisi,V76M,Endorphin,Suboxene 4mg,True,1,нет,Тбилиси,4 гр,0.0055,3938,1537,131,,,55,,,,,,,,Suboxene 4mg
28,24-07-2020 20:55:51,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0293,20047,7826,668,,True,280,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,24-07-2020 20:55:51,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0283,19331,7547,644,,True,270,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,24-07-2020 20:55:51,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0186,13962,5450,465,,True,195,,,,,,,,5g. marihuana shishki Critical
