,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
33,33,15-07-2020 15:59:00,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,34,нет,Тбилиси,3 гр,0.0058,3894,1502,133,55.0,True,,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
34,34,15-07-2020 15:59:00,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,5 гр,0.0271,18408,7098,629,260.0,True,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
35,35,15-07-2020 15:59:29,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0185,13806,5324,472,195.0,True,,,,,,,,,,,,5g. marihuana shishki Critical
36,36,15-07-2020 15:59:29,Tbilisi,f374062dcd,Гашиш Твердый 5гр,,2,нет,Тбилиси,5 гр,0.018000000000000002,13452,5187,460,190.0,True,,,,,,,,,,,,Gashish Tverdyj 5gr
37,37,15-07-2020 15:59:29,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,2,нет,Тбилиси,5 гр,0.0209,14160,5460,484,200.0,,,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
38,38,15-07-2020 15:59:29,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0456,31860,12285,1089,450.0,True,,,,,,,,,,,,Gashish Evro 10gr
39,39,15-07-2020 15:59:29,Tbilisi,8528108b62,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0313,23364,9009,798,330.0,True,,,,,,,,,,,,12g. marihuana shishki Critical
40,40,15-07-2020 15:59:29,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4602,1775,157,65.0,True,,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
41,41,15-07-2020 15:59:29,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2107,141600,54600,4839,2000.0,True,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
42,42,15-07-2020 15:59:29,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0373,25060,9641,850,,True,,,310.0,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
43,43,15-07-2020 15:59:29,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,,нет,5,Тбилиси,2 гр,0.023,15576,6006,532,220.0,True,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
44,44,15-07-2020 15:59:29,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,,нет,10,Тбилиси,3 гр,0.0142,10620,4095,363,150.0,True,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
45,45,15-07-2020 15:59:29,Tbilisi,f374062dcd,Кристаллы Синие мощные 3гр,,нет,1,Тбилиси,3 гр,0.0626,46728,18018,1597,660.0,True,,,,,,,,,,,,Kristally Sinie moschnye 3gr
46,46,15-07-2020 15:59:29,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0062,4602,1775,157,65.0,True,,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
47,47,15-07-2020 15:59:29,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0261,17700,6825,605,250.0,True,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
48,48,15-07-2020 15:59:29,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0574,38940,15015,1331,550.0,True,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
49,49,15-07-2020 15:59:29,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0282,19116,7371,653,270.0,True,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
50,50,15-07-2020 15:59:29,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0287,19470,7508,665,275.0,True,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
