,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,25-05-2020 08:51:00,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,1,нет,Тбилиси,2 гр,0.0099,6397,2407,213,89.0,,,,,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,11,25-05-2020 08:51:00,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,9,нет,Тбилиси,3 гр,0.0144,9344,3517,312,130.0,,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
12,12,25-05-2020 08:51:00,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0117,7547,2840,252,105.0,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,13,25-05-2020 08:51:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,2,нет,Тбилиси,4 гр,0.0118,7691,2894,257,107.0,,,,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
14,14,25-05-2020 08:51:00,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.0154,9991,3760,333,139.0,,,,,True,,,,,,,,,5 gr georgian weed. Package on magnet
15,15,25-05-2020 08:51:00,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,10 гр,0.022000000000000002,14304,5383,477,199.0,,,,,,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
16,16,25-05-2020 08:51:00,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0483,32346,12173,1079,450.0,,,,,,,,,,,,,,Gashish Evro 10gr
17,17,25-05-2020 08:51:00,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0825,55851,21018,1864,777.0,,,,,,,,,,,,,,Gashish Evro 20gr
18,18,25-05-2020 08:51:00,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0081,5750,2164,192,80.0,,,,,,,,,,,,,,GABAGAMA 50 SHTUK
19,19,25-05-2020 08:51:00,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2013,143761,54100,4797,2000.0,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,20,25-05-2020 08:51:00,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0186,13298,5004,444,185.0,,,,,,,,,,,,,,GABAGAMA 150 shtuk
21,21,25-05-2020 08:51:00,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0109,7060,2651,236,,,,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
22,22,25-05-2020 08:51:00,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,4,Тбилиси,1 гр,0.0177,11501,4328,384,160.0,,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
23,23,25-05-2020 08:51:00,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0362,25886,9719,864,,,,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
24,24,25-05-2020 08:51:00,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0235,15095,5681,504,210.0,,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
25,25,25-05-2020 08:51:00,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.0413,26524,9981,885,369.0,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
26,26,25-05-2020 08:51:00,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0647,41619,15662,1389,579.0,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,25-05-2020 08:51:00,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0443,28752,10820,959,400.0,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,25-05-2020 08:51:00,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0155,10063,3787,336,140.0,True,,,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
29,29,25-05-2020 08:51:00,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0609,39534,14878,1319,550.0,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,25-05-2020 08:51:00,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.026000000000000002,16892,6357,564,235.0,,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31,25-05-2020 08:51:00,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0266,17251,6492,576,240.0,,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,32,25-05-2020 08:51:00,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0255,16533,6222,552,230.0,,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,25-05-2020 08:51:00,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0176,11429,4301,381,159.0,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,25-05-2020 08:51:50,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0265,17251,6492,576,240.0,,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,35,25-05-2020 08:51:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0265,17251,6492,576,240.0,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,36,25-05-2020 08:51:50,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0254,16533,6222,552,230.0,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,37,25-05-2020 08:51:50,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.022000000000000002,15742,5924,525,219.0,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,38,25-05-2020 08:51:50,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0259,16892,6357,564,235.0,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,39,25-05-2020 08:51:50,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0276,17970,6763,600,250.0,,,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
40,40,25-05-2020 08:51:50,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.265,190000,87429,6351,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
41,41,25-05-2020 08:51:50,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3007,215641,81150,7196,3000.0,,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,42,25-05-2020 08:51:50,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1068,68933,25941,2300,959.0,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
43,43,25-05-2020 08:51:50,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0212,13657,5140,456,190.0,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,44,25-05-2020 08:51:50,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0545,35150,13227,1173,489.0,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
45,45,25-05-2020 08:51:50,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.021,13585,5112,453,189.0,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
46,46,25-05-2020 08:51:50,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0992,64692,24345,2159,900.0,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,25-05-2020 08:51:50,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0441,28752,10820,959,400.0,,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,48,25-05-2020 08:51:50,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0772,50316,18935,1679,700.0,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,49,25-05-2020 08:51:50,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0463,30190,11361,1007,420.0,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,50,25-05-2020 08:51:50,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0149,9704,3652,324,135.0,,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
51,51,25-05-2020 08:51:50,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0882,57504,21640,1919,800.0,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,25-05-2020 08:51:50,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2453,159934,60186,5337,2225.0,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
53,53,25-05-2020 08:51:50,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1736,112062,42171,3739,1559.0,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,54,25-05-2020 08:51:50,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0411,26524,9981,885,369.0,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,55,25-05-2020 08:51:50,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0351,22642,8521,756,315.0,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
56,56,25-05-2020 08:51:50,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5568,359402,135250,11993,5000.0,,,,,,,,,,,,,,METADON - 20 G.
57,57,25-05-2020 08:51:50,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0667,43056,16203,1437,599.0,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,58,25-05-2020 08:51:50,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1432,93373,35138,3116,1299.0,,,,,,,,,,,,,,50 gr georgian weed. Package on magnet
59,59,25-05-2020 08:51:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1213,79068,29755,2638,1100.0,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,60,25-05-2020 08:51:50,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2755,179629,67598,5994,2499.0,,,,,,,,,,,,,,100 gr georgian weed. Package on magnet
61,61,25-05-2020 08:51:50,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2646,172513,64920,5757,2400.0,,,,,,,,,,,,,,100 gr marijuana buds
62,62,25-05-2020 08:51:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2205,143761,54100,4797,2000.0,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,63,25-05-2020 08:51:50,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2757,179701,67625,5997,2500.0,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,25-05-2020 08:51:50,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6505,424094,159595,14152,5900.0,,,,,,,,,,,,,,180 gr marihuana persoalno
65,65,25-05-2020 08:51:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5072,330650,124430,11034,4600.0,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,25-05-2020 08:51:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8270000000000001,539103,202875,17990,7500.0,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,67,25-05-2020 08:51:50,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9372,610983,229925,20388,8500.0,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,25-05-2020 08:51:50,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.02,14376,5410,480,200.0,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,25-05-2020 08:52:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0221,14376,5410,480,200.0,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,25-05-2020 08:52:29,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0277,17970,6763,600,250.0,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,25-05-2020 08:52:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6755,1078206,405750,35979,15000.0,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
72,72,25-05-2020 08:53:48,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,4,нет,Батуми,0.5 гр,0.0066,4313,1623,144,60.0,,,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
73,73,25-05-2020 08:53:48,Batumi,3c4662c591,шишки марихуаны 5G,,4,нет,Батуми,5 гр,0.0332,21564,8115,720,300.0,,,,,,,,,,,,True,,shishki marihuany 5G
74,74,25-05-2020 08:53:48,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0664,43128,16230,1439,600.0,,,,,,,,,,,,True,,Super Critical 10G
75,75,25-05-2020 08:53:48,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2435,158137,59510,5277,2200.0,,,,,,,,,,,True,,,[100g] SPAIN HASH
76,76,25-05-2020 08:53:48,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0094,6110,2299,204,85.0,,,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
77,77,25-05-2020 08:53:48,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0362,25886,9719,864,,,,,,,,,330.0,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
78,78,25-05-2020 08:53:48,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0498,32346,12173,1079,450.0,,,,,,,,,,,True,,,MDMA !! 3 gramma
79,79,25-05-2020 08:53:48,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.174,112990,51992,3777,,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
80,80,25-05-2020 08:53:48,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2755,178900,82321,5980,,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
81,81,25-05-2020 08:53:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0101,7188,2705,240,100.0,,,,,,,,,,,True,,,kur'er v Batumi
82,82,25-05-2020 08:53:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0252,17970,6763,600,250.0,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,83,25-05-2020 08:53:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0252,17970,6763,600,250.0,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
84,84,25-05-2020 08:53:48,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0121,7844,2945,262,,,,,,,,,100.0,,,True,,,Rabota na marki (kur'er)
85,85,25-05-2020 08:53:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6755,1078206,405750,35979,15000.0,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,86,25-05-2020 08:53:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0553,35940,13525,1199,500.0,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,25-05-2020 08:54:43,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0531,34862,13119,1163,485.0,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,88,25-05-2020 08:54:43,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0282,18689,7033,624,260.0,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,89,25-05-2020 08:54:43,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0075,5391,2029,180,75.0,,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
90,90,25-05-2020 08:54:43,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0116,8266,3111,276,115.0,,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
91,91,25-05-2020 08:54:43,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0121,7844,2945,262,,,,,,,,,100.0,,,,,True,Rabota na marki (kur'er)
