,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,09-06-2020 05:33:48,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1164,78559,30878,2729,,True,1150.0,,,,,,,,Cocaine Pure VHQ 5g.
11,11,09-06-2020 05:33:48,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,3,нет,Тбилиси,5 гр,0.1148,79925,31415,2777,,True,1170.0,,,,,,,,VHQ BEST Cocaine 5g.
12,12,09-06-2020 05:33:48,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",True,2,нет,Тбилиси,8 гр,0.0151,10179,4001,354,,,149.0,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
13,13,09-06-2020 05:33:48,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0262,17693,6954,615,,True,259.0,,,,,,,,10 gr georgian weed. Package on magnet
14,14,09-06-2020 05:33:48,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,10 гр,0.0242,16327,6417,567,,,239.0,True,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
15,15,09-06-2020 05:33:48,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.046,34156,13425,1187,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,16,09-06-2020 05:33:48,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0027,1981,779,69,,True,29.0,,,,,,,,GABAGAMA 20 SHTUK
17,17,09-06-2020 05:33:48,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2042,136625,53700,4746,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,18,09-06-2020 05:33:48,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0215,14346,5639,498,,True,210.0,,,,,,,,✨✨2gram. MDMA✨✨
19,19,09-06-2020 05:33:48,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0592,39553,15546,1374,,True,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
20,20,09-06-2020 05:33:48,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0405,27325,10740,949,,True,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,21,09-06-2020 05:33:48,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0557,37572,14768,1305,,True,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
22,22,09-06-2020 05:33:48,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.0238,16053,6310,558,,True,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
23,23,09-06-2020 05:33:48,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0243,16395,6444,570,,True,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
24,24,09-06-2020 05:33:48,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0233,15712,6176,546,,True,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
25,25,09-06-2020 05:33:48,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0243,16395,6444,570,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
26,26,09-06-2020 05:33:48,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0243,16395,6444,570,,True,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
27,27,09-06-2020 05:33:48,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0233,15712,6176,546,,True,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
28,28,09-06-2020 05:33:48,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0201,14960,5880,520,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
29,29,09-06-2020 05:33:48,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0256,17078,6713,593,,True,250.0,,,,,,,,MARIXYANA - INDICA - 5 G.
30,30,09-06-2020 05:33:48,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0238,16053,6310,558,,True,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
31,31,09-06-2020 05:33:48,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2559,190000,87429,6605,,True,,,,,,,,,reagent 25i nbome. 5gr
32,32,09-06-2020 05:33:48,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.276,204937,80550,7120,,,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
33,33,09-06-2020 05:33:48,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.098,65512,25749,2276,,True,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
34,34,09-06-2020 05:34:43,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0194,12979,5102,451,,True,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
35,35,09-06-2020 05:34:43,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0499,33405,13130,1161,,True,489.0,,,,,,,,💘✨5g. MDMA ✨💘
36,36,09-06-2020 05:34:43,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0909,61481,24165,2136,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,37,09-06-2020 05:34:43,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0404,27325,10740,949,,True,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
38,38,09-06-2020 05:34:43,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0707,47819,18795,1661,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
39,39,09-06-2020 05:34:43,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0424,28691,11277,997,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
40,40,09-06-2020 05:34:43,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0808,54650,21480,1899,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
41,41,09-06-2020 05:34:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.027000000000000003,18239,7169,634,,True,267.0,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
42,42,09-06-2020 05:34:43,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2248,151995,59741,5280,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
43,43,09-06-2020 05:34:43,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1591,106499,41859,3700,,True,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
44,44,09-06-2020 05:34:43,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0824,55196,21695,1918,,True,808.0,,,,,,,,💘✨10gram MDMA ✨💘
45,45,09-06-2020 05:34:43,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0377,25207,9908,876,,True,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
46,46,09-06-2020 05:34:43,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Тбилиси,11 гр,0.0356,23909,9398,831,,True,350.0,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
47,47,09-06-2020 05:34:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0515,34839,13694,1210,,True,510.0,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
48,48,09-06-2020 05:34:43,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5102,341562,134250,11866,,True,5000.0,,,,,,,,METADON - 20 G.
49,49,09-06-2020 05:34:43,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1378,102468,40275,3560,,True,1500.0,,,,,,,,✨💘20g MDMA💘✨
50,50,09-06-2020 05:34:43,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0611,40919,16083,1422,,True,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,51,09-06-2020 05:34:43,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1312,88738,34878,3083,,True,1299.0,,,,,,,,50 gr georgian weed. Package on magnet
52,52,09-06-2020 05:34:43,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2525,170712,67098,5931,,True,2499.0,,,,,,,,100 gr georgian weed. Package on magnet
53,53,09-06-2020 05:34:43,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2425,163950,64440,5696,,True,2400.0,,,,,,,,100 gr marijuana buds
54,54,09-06-2020 05:34:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.20199999999999999,136625,53700,4746,,True,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,55,09-06-2020 05:34:43,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2526,170781,67125,5933,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,56,09-06-2020 05:34:43,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.596,403043,158415,14002,,True,5900.0,,,,,,,,180 gr marihuana persoalno
57,57,09-06-2020 05:34:43,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4332,290327,114113,10086,,True,4250.0,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
58,58,09-06-2020 05:34:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4647,314237,123510,10917,,True,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
59,59,09-06-2020 05:34:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7577,512342,201375,17799,,True,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
60,60,09-06-2020 05:34:43,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8587,580655,228225,20172,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
61,61,09-06-2020 05:34:43,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0184,13662,5370,475,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
62,62,09-06-2020 05:34:43,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0202,13662,5370,475,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
63,63,09-06-2020 05:34:43,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5291,1024685,402750,35598,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
64,64,09-06-2020 05:35:50,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0228,15712,6176,546,,,230.0,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
65,65,09-06-2020 05:35:50,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0416,28691,11277,997,,,420.0,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
66,66,09-06-2020 05:35:50,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5102,341562,134250,11866,,,5000.0,,,,,True,,,METADON - 20 G.
67,67,09-06-2020 05:35:50,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1671,112990,51992,3928,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
68,68,09-06-2020 05:35:50,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2646,178900,82321,6219,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
69,69,09-06-2020 05:35:50,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6831,2685,237,,,100.0,,,,,True,,,kur'er v Batumi
70,70,09-06-2020 05:35:50,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17078,6713,593,,,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
71,71,09-06-2020 05:35:50,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17078,6713,593,,,250.0,,,,,True,,,Ischu kur'era v Gruzii!
72,72,09-06-2020 05:35:50,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0202,13662,5370,475,,,200.0,,,,,True,,,Kur'er Batumi na marihuanu
73,73,09-06-2020 05:35:50,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0285,19297,7600,671,250.0,,,,,,,True,,,Rabota na marki (kur'er)
74,74,09-06-2020 05:35:50,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5291,1024685,402750,35598,,,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
75,75,09-06-2020 05:35:50,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0505,34156,13425,1187,,,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
76,76,09-06-2020 05:37:08,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0285,19297,7600,671,250.0,,,,,,,,,True,Rabota na marki (kur'er)
