,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vazisubani,Zahesi,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
39,05-07-2020 14:21:13,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 5G A+++,True,нет,5,Тбилиси,5 гр,0.0531,35250,13675,1211,500,,,,,,,,,,,,VHQ MDMA Champagne Imported 5G A+++
40,05-07-2020 14:21:13,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,1,Тбилиси,5 гр,0.0266,17625,6838,605,250,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
41,05-07-2020 14:21:13,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2603,190000,87429,6528,,,,,,,,,,,,,reagent 25i nbome. 5gr
42,05-07-2020 14:21:13,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2898,211500,82050,7264,3000,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,05-07-2020 14:21:13,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0956,63450,24615,2179,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,05-07-2020 14:21:13,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0584,38775,15043,1332,550,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
45,05-07-2020 14:21:13,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0744,49350,19145,1695,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,05-07-2020 14:21:13,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0446,29610,11487,1017,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,05-07-2020 14:21:13,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.085,56400,21880,1937,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,05-07-2020 14:21:13,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2364,156862,60854,5388,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
49,05-07-2020 14:21:13,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.047,30896,11934,1065,,,,,,,,,,390,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
50,05-07-2020 14:21:13,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.255,169200,65640,5811,2400,,,,,,,,,,,,100 gr marijuana buds
51,05-07-2020 14:21:13,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2656,176250,68375,6054,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
52,05-07-2020 14:21:13,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6268,415949,161365,14286,5900,,,,,,,,,,,,180 gr marihuana persoalno
53,05-07-2020 14:21:13,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9031,599249,232475,20582,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
54,05-07-2020 14:21:13,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14100,5470,484,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
55,05-07-2020 14:21:13,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0266,17625,6838,605,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
56,05-07-2020 14:21:13,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0212,14100,5470,484,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
57,05-07-2020 14:21:13,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0266,17625,6838,605,250,,,,,,,,,,,,Rabota na marki (kur'er)
58,05-07-2020 14:21:13,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6081,1057499,410250,36321,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
59,05-07-2020 14:25:05,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,15,нет,Батуми,2 гр,0.0058,3878,1504,133,55,,,,,,,,,,True,,Melkie shishki (Indica) 2g
60,05-07-2020 14:25:05,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,5,нет,Батуми,2 гр,0.0121,7922,3060,273,,,,,,,,,,100,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
