,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
30,30,17-02-2020 11:24:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,10,нет,Тбилиси,1 гр,0.019,12627,4903,438,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
31,31,17-02-2020 11:24:58,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,10,нет,Тбилиси,1 гр,0.019,12627,4903,438,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
32,32,17-02-2020 11:24:58,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0167,11104,4312,385,175.0,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
33,33,17-02-2020 11:24:58,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0186,11993,4657,416,189.0,,,,,,,,,,Kokain HQ 1g.
34,34,17-02-2020 11:24:58,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0178,11358,4411,394,179.0,,,,True,,,,,,Kokain KOLUMBIA 1g
35,35,17-02-2020 11:24:58,Tbilisi,61df6a1c90,Метадон 1гр,True,5,нет,Тбилиси,1 гр,0.0429,28554,11088,989,450.0,,,,,,,,,,Metadon 1gr
36,36,17-02-2020 11:24:58,Tbilisi,e8a987a33c,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0398,25381,9856,879,400.0,,,,,,,,,,"Metadon, 1gr"
37,37,17-02-2020 11:24:58,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,6,нет,Тбилиси,2 гр,0.0079,5013,1947,174,79.0,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
38,38,17-02-2020 11:24:58,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,2 гр,0.0077,5394,2094,187,85.0,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
39,39,17-02-2020 11:24:58,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,,9,нет,Тбилиси,2 гр,0.0078,5076,1971,176,80.0,True,,,,,,,,,2G -- AK-47 -> Sativa
40,40,17-02-2020 11:24:58,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,7,нет,Тбилиси,2 гр,0.0079,5013,1947,174,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
41,41,17-02-2020 11:24:58,Tbilisi,8ddca45a78,2g AFGHANI Indica THC 18% / BTC -10% sale,True,1,нет,Тбилиси,2 гр,0.0068,4759,1848,165,75.0,,,,,,,,,,2g AFGHANI Indica THC 18% / BTC -10% sale
42,42,17-02-2020 11:24:58,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0362,22843,8870,792,360.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
43,43,17-02-2020 11:24:58,Tbilisi,7ee4f68218,2гр ГАШИШ,True,4,нет,Тбилиси,2 гр,0.0105,6980,2710,242,110.0,,,,,,,,,,2gr GAShISh
44,44,17-02-2020 11:24:58,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0346,22526,8747,781,355.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
