,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Батуми,Центр,Кутаиси,desc_en
84,84,07-05-2020 03:35:59,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2315,164587,60186,5457,2225.0,,True,,,,,,,,,,Amfetamin [White] [Import] 10G
85,85,07-05-2020 03:35:59,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1638,115322,42171,3824,1559.0,,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
86,86,07-05-2020 03:35:59,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0388,27296,9981,905,369.0,,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
87,87,07-05-2020 03:35:59,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5254,369860,135250,12264,5000.0,,True,,,,,,,,,,METADON - 20 G.
88,88,07-05-2020 03:35:59,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0629,44309,16203,1469,599.0,,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
89,89,07-05-2020 03:35:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1144,81369,29755,2698,1100.0,,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
90,90,07-05-2020 03:35:59,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2497,177533,64920,5886,2400.0,,True,,,,,,,,,,100 gr marijuana buds
91,91,07-05-2020 03:35:59,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,1,Тбилиси,100 гр,0.3121,221916,81150,7358,3000.0,,True,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
92,92,07-05-2020 03:35:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2081,147944,54100,4905,2000.0,,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
93,93,07-05-2020 03:35:59,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2601,184930,67625,6132,2500.0,,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
94,94,07-05-2020 03:35:59,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6138,436434,159595,14471,5900.0,,True,,,,,,,,,,180 gr marihuana persoalno
95,95,07-05-2020 03:35:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4786,340271,124430,11282,4600.0,,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
96,96,07-05-2020 03:35:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7803,554789,202875,18395,7500.0,,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
97,97,07-05-2020 03:35:59,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8843,628761,229925,20848,8500.0,,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
98,98,07-05-2020 03:35:59,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,14794,5410,491,200.0,,True,,,,,,,,,,KURYER..500RUB.+BONUS
99,99,07-05-2020 03:35:59,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0208,14794,5410,491,200.0,,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
100,100,07-05-2020 03:35:59,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.026000000000000002,18493,6763,613,250.0,,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
