,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Didube,Nadzaladevi,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Gldani,Vazisubani,Tbilisis Zgva,€,Zahesi,Батуми,Центр,Кутаиси,desc_en
32,32,24-04-2020 19:34:58,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1146,64928,23767,2145,869.0,True,,,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,24-04-2020 19:34:58,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0249,14121,5169,467,189.0,True,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
34,34,24-04-2020 19:35:45,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0251,14196,5197,469,190.0,True,,,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
35,35,24-04-2020 19:35:45,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0645,36536,13374,1207,489.0,True,,,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
36,36,24-04-2020 19:35:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0249,14121,5169,467,189.0,True,,,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
37,37,24-04-2020 19:35:45,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,33,Тбилиси,10 гр,0.013999999999999999,8025,2950,266,,True,True,True,True,True,True,True,True,True,True,True,100.0,True,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
38,38,24-04-2020 19:35:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1176,67245,24615,2222,900.0,True,,,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
39,39,24-04-2020 19:35:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0915,52301,19145,1728,700.0,True,,,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,24-04-2020 19:35:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0418,23909,8752,790,320.0,True,,,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,24-04-2020 19:35:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1046,59773,21880,1975,800.0,True,,,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,42,24-04-2020 19:35:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2908,166244,60854,5493,2225.0,True,,,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
43,43,24-04-2020 19:35:45,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1913,108264,39630,3577,1449.0,True,,,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
44,44,24-04-2020 19:35:45,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0487,27570,10092,911,369.0,True,,,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,45,24-04-2020 19:35:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0395,22340,8178,738,299.0,True,,,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
46,46,24-04-2020 19:35:45,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0791,44755,16383,1479,599.0,True,,,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
47,47,24-04-2020 19:35:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1438,82188,30085,2716,1100.0,True,,,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
48,48,24-04-2020 19:35:45,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3137,179319,65640,5925,2400.0,True,,,,,,,,,,,,,,,,100 gr marijuana buds
