,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
39,39,10-08-2020 04:30:16,Tbilisi,e56bb6ca93,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,3,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
40,40,10-08-2020 04:30:16,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,1,нет,Тбилиси,2 гр,0.0085,8100,3065,269,110.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
41,41,10-08-2020 04:30:16,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,9,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
42,42,10-08-2020 04:30:16,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,5,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
43,43,10-08-2020 04:30:16,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,7,нет,Тбилиси,2 гр,0.0062,5891,2229,196,80.0,,,,,,,,,,,,TYson Budds 2G Skidka 5%
44,44,10-08-2020 04:30:16,Tbilisi,fccfd69694,Бошки OG Kush 2g.,True,3,нет,Тбилиси,2 гр,0.0069,5891,2229,196,80.0,,,,,,,,,,,,Boshki OG Kush 2g.
45,45,10-08-2020 04:30:16,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan (подезд),,2,нет,Тбилиси,3 гр,0.0021,1767,669,59,24.0,,True,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
46,46,10-08-2020 04:30:16,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.006999999999999999,6627,2507,220,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
47,47,10-08-2020 04:30:16,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,5 гр,0.0186,17673,6686,588,240.0,,,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
48,48,10-08-2020 04:30:16,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,1,2,Тбилиси,5 гр,0.0186,17673,6686,588,240.0,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
49,49,10-08-2020 04:30:16,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0213,18409,6965,612,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
50,50,10-08-2020 04:30:16,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.023,19882,7522,661,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
