,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Nadzaladevi,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
10,10,08-06-2020 11:10:00,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.046,34316,13425,1191,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
11,11,08-06-2020 11:10:00,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2044,137264,53700,4762,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
12,12,08-06-2020 11:10:00,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0215,14413,5639,500,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
13,13,08-06-2020 11:10:00,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0592,39738,15546,1379,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
14,14,08-06-2020 11:10:00,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0405,27453,10740,952,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
15,15,08-06-2020 11:10:00,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0709,48042,18795,1667,700.0,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
16,16,08-06-2020 11:10:00,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0557,37748,14768,1310,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
17,17,08-06-2020 11:10:00,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,8,Тбилиси,5 гр,0.0238,16129,6310,560,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
18,18,08-06-2020 11:10:00,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0243,16472,6444,571,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
19,19,08-06-2020 11:10:00,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0233,15785,6176,548,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
20,20,08-06-2020 11:10:00,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,16472,6444,571,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
21,21,08-06-2020 11:10:00,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0243,16472,6444,571,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
22,22,08-06-2020 11:10:00,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0233,15785,6176,548,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
23,23,08-06-2020 11:10:00,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0202,15030,5880,521,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
24,24,08-06-2020 11:10:00,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0256,17158,6713,595,250.0,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
25,25,08-06-2020 11:10:00,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0238,16129,6310,560,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
26,26,08-06-2020 11:10:00,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2548,190000,87429,6592,,,,,,,,,,,,reagent 25i nbome. 5gr
27,27,08-06-2020 11:10:00,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2762,205896,80550,7143,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
28,28,08-06-2020 11:10:00,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0981,65818,25749,2283,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
29,29,08-06-2020 11:10:00,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0194,13040,5102,452,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
30,30,08-06-2020 11:10:00,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.05,33561,13130,1164,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
31,31,08-06-2020 11:10:00,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0911,61769,24165,2143,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
32,32,08-06-2020 11:10:00,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0405,27453,10740,952,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
33,33,08-06-2020 11:10:00,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0709,48042,18795,1667,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
34,34,08-06-2020 11:10:32,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0708,48042,18795,1667,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
35,35,08-06-2020 11:10:32,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0425,28825,11277,1000,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
36,36,08-06-2020 11:10:32,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0809,54906,21480,1905,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
37,37,08-06-2020 11:10:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,нет,1,Тбилиси,10 гр,0.027000000000000003,18325,7169,636,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
38,38,08-06-2020 11:10:32,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2251,152706,59741,5298,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
39,39,08-06-2020 11:10:32,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1593,106997,41859,3712,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
40,40,08-06-2020 11:10:32,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0826,55455,21695,1924,808.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
41,41,08-06-2020 11:10:32,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0377,25325,9908,879,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
42,42,08-06-2020 11:10:32,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0357,24021,9398,833,350.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
43,43,08-06-2020 11:10:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,True,нет,1,Тбилиси,20 гр,0.0516,35002,13694,1214,510.0,,,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
44,44,08-06-2020 11:10:32,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5109,343160,134250,11905,5000.0,,,,,,,,,,,METADON - 20 G.
45,45,08-06-2020 11:10:32,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.138,102948,40275,3572,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
46,46,08-06-2020 11:10:32,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0612,41111,16083,1426,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
47,47,08-06-2020 11:10:32,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1314,89153,34878,3093,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
48,48,08-06-2020 11:10:32,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2528,171511,67098,5950,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
49,49,08-06-2020 11:10:32,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2428,164717,64440,5714,2400.0,,,,,,,,,,,100 gr marijuana buds
50,50,08-06-2020 11:10:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2023,137264,53700,4762,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
51,51,08-06-2020 11:10:32,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2529,171580,67125,5953,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
52,52,08-06-2020 11:10:32,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5969,404928,158415,14048,5900.0,,,,,,,,,,,180 gr marihuana persoalno
53,53,08-06-2020 11:10:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4654,315707,123510,10953,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
54,54,08-06-2020 11:10:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7587,514739,201375,17858,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
55,55,08-06-2020 11:10:32,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8599,583371,228225,20239,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
56,56,08-06-2020 11:10:32,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0184,13726,5370,476,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
57,57,08-06-2020 11:10:32,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0202,13726,5370,476,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
58,58,08-06-2020 11:10:32,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5313,1029479,402750,35715,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
59,59,08-06-2020 11:11:54,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,5,Батуми,5 гр,0.0228,15785,6176,548,230.0,,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
60,60,08-06-2020 11:11:54,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0417,28825,11277,1000,420.0,,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
61,61,08-06-2020 11:11:54,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5112,343160,134250,11905,5000.0,,,,,,,True,,,,METADON - 20 G.
62,62,08-06-2020 11:11:54,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3920,,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
63,63,08-06-2020 11:11:54,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2639,178900,82321,6207,,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
64,64,08-06-2020 11:11:54,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6863,2685,238,100.0,,,,,,,True,,,,kur'er v Batumi
65,65,08-06-2020 11:11:54,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17158,6713,595,250.0,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
66,66,08-06-2020 11:11:54,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17158,6713,595,250.0,,,,,,,True,,,,Ischu kur'era v Gruzii!
67,67,08-06-2020 11:11:54,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0202,13726,5370,476,200.0,,,,,,,True,,,,Kur'er Batumi na marihuanu
68,68,08-06-2020 11:11:54,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0287,19491,7600,676,,,,,,,,True,250.0,,,Rabota na marki (kur'er)
69,69,08-06-2020 11:11:54,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5322,1029479,402750,35715,15000.0,,,,,,,True,,,,Vakansija optovogo kur'era na mef
70,70,08-06-2020 11:11:54,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0506,34316,13425,1191,500.0,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
71,71,08-06-2020 11:13:28,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0287,19491,7600,676,,,,,,,,,250.0,,True,Rabota na marki (kur'er)
