,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,24,01-04-2020 19:13:26,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,1,нет,Тбилиси,10 гр,0.0349,18578,6704,618,239.0,True,,,,,,,,,10 gr marijuana buds. -indica-
25,25,01-04-2020 19:13:26,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0582,31015,11192,1032,399.0,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
26,26,01-04-2020 19:13:26,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0533,28372,10238,944,365.0,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
27,27,01-04-2020 19:13:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.039,20755,7489,690,267.0,,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
28,28,01-04-2020 19:13:26,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.055999999999999994,31093,11220,1034,400.0,,True,,,,,,,,gashish evro 10g
29,29,01-04-2020 19:13:26,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1088,60398,21795,2009,777.0,,True,,,,,,,,Gashish Evro 20gr
30,30,01-04-2020 19:13:26,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2654,155465,56100,5171,2000.0,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,31,01-04-2020 19:13:26,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0531,31093,11220,1034,400.0,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,01-04-2020 19:13:26,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0369,19433,7013,646,250.0,,True,,,,,,,,METADON - 0.25 G.
33,33,01-04-2020 19:14:34,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.053,31093,11220,1034,400.0,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,01-04-2020 19:14:34,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0368,19433,7013,646,250.0,,True,,,,,,,,METADON - 0.25 G.
35,35,01-04-2020 19:14:34,Tbilisi,54915c4374,MDMA 1 гр,,нет,5,Тбилиси,1 гр,0.0146,8574,3070,284,,,True,100.0,,,,,,,MDMA 1 gr
36,36,01-04-2020 19:14:34,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,15,Тбилиси,1.5 гр,0.1105,58299,21038,1939,750.0,,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
37,37,01-04-2020 19:14:34,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0295,15547,5610,517,200.0,,True,,,,,,,,✨✨2gram. MDMA✨✨
38,38,01-04-2020 19:14:34,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0544,28683,10350,954,369.0,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
39,39,01-04-2020 19:14:34,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0869,45862,16550,1526,590.0,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
40,40,01-04-2020 19:14:34,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0584,31093,11220,1034,400.0,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
41,41,01-04-2020 19:14:34,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0233,12437,4488,414,160.0,,True,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
42,42,01-04-2020 19:14:34,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0802,42753,15428,1422,550.0,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,43,01-04-2020 19:14:34,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0247,13137,4740,437,169.0,,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,44,01-04-2020 19:14:34,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0248,13215,4769,440,170.0,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
45,45,01-04-2020 19:14:34,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.028999999999999998,15469,5582,515,199.0,,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,46,01-04-2020 19:14:34,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.028999999999999998,15469,5582,515,199.0,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,01-04-2020 19:14:34,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.028999999999999998,15469,5582,515,199.0,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,01-04-2020 19:14:34,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.028999999999999998,17023,6143,566,219.0,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,01-04-2020 19:14:34,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0442,23320,8415,776,300.0,,True,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
50,50,01-04-2020 19:14:34,Tbilisi,f8a875c191,METADON - 5 G.,,нет,15,Тбилиси,5 гр,0.221,116599,42075,3878,1500.0,,True,,,,,,,,METADON - 5 G.
51,51,01-04-2020 19:14:34,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.028999999999999998,15469,5582,515,199.0,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,52,01-04-2020 19:14:34,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0265,15547,5610,517,200.0,,True,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
53,53,01-04-2020 19:14:34,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3242,190000,87429,6253,,,True,,,,,,,,reagent 25i nbome. 5gr
54,54,01-04-2020 19:14:34,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3979,233198,84150,7757,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,01-04-2020 19:14:34,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.128,67550,24375,2247,869.0,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,01-04-2020 19:14:34,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.027999999999999997,14769,5330,491,190.0,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,57,01-04-2020 19:14:34,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0721,38011,13716,1264,489.0,,True,,,,,,,,💘✨5g. MDMA ✨💘
58,58,01-04-2020 19:14:34,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0278,14691,5301,489,189.0,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
59,59,01-04-2020 19:14:34,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1313,69959,25245,2327,900.0,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
60,60,01-04-2020 19:14:34,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1021,54413,19635,1810,700.0,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,61,01-04-2020 19:14:34,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0467,24874,8976,827,320.0,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,62,01-04-2020 19:14:34,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1167,62186,22440,2068,800.0,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,63,01-04-2020 19:14:34,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3246,172955,62411,5753,2225.0,,True,,,,,,,,Amfetamin [White] [Import] 10G
64,64,01-04-2020 19:14:34,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,нет,9,Тбилиси,10 гр,0.0146,8574,3070,284,,,True,100.0,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
65,65,01-04-2020 19:15:16,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2135,112634,40644,3747,1449.0,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
66,66,01-04-2020 19:15:16,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0544,28683,10350,954,369.0,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
67,67,01-04-2020 19:15:16,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0441,23242,8387,773,299.0,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
68,68,01-04-2020 19:15:16,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0883,46562,16802,1549,599.0,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
69,69,01-04-2020 19:15:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1605,85506,30855,2844,1100.0,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
70,70,01-04-2020 19:15:16,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3501,186558,67320,6205,2400.0,,True,,,,,,,,100 gr marijuana buds
71,71,01-04-2020 19:15:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2918,155465,56100,5171,2000.0,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
72,72,01-04-2020 19:15:16,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2947,155465,56100,5171,2000.0,,True,,,,,,,,SUBOXIN - HQ - 100 G.
73,73,01-04-2020 19:15:16,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3647,194331,70125,6464,2500.0,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,74,01-04-2020 19:15:16,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.221,116599,42075,3878,1500.0,,True,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
75,75,01-04-2020 19:15:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6711,357570,129030,11894,4600.0,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,76,01-04-2020 19:15:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0941,582994,210375,19392,7500.0,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,77,01-04-2020 19:15:16,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.24,660726,238425,21978,8500.0,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
78,78,01-04-2020 19:15:16,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0265,15547,5610,517,200.0,,True,,,,,,,,KURYER..500RUB.+BONUS
79,79,01-04-2020 19:15:16,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0219,11660,4208,388,150.0,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
80,80,01-04-2020 19:15:16,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0292,15547,5610,517,200.0,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,81,01-04-2020 19:15:16,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0365,19433,7013,646,250.0,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
82,82,01-04-2020 19:15:16,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.2081,1165988,420750,38784,15000.0,,True,,,,,,,,Vakansija optovogo kur'era na mef
83,83,01-04-2020 19:16:56,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0106,6219,2244,207,80.0,,,,,,,True,,,MEPHEDRONE 0.5 gr
84,84,01-04-2020 19:16:56,Batumi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,2,нет,Батуми,1 гр,0.0219,11660,4208,388,150.0,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
85,85,01-04-2020 19:16:56,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,11,нет,Батуми,2 гр,0.005,2954,1066,98,38.0,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
86,86,01-04-2020 19:16:56,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3215,171012,61710,5688,2200.0,,,,,,,,True,,[100g] SPAIN HASH
87,87,01-04-2020 19:16:56,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,13,Батуми,5 гр,0.0266,15547,5610,517,200.0,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
88,88,01-04-2020 19:16:56,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2952,155465,56100,5171,2000.0,,,,,,,,True,,SUBOXIN - HQ - 100 G.
89,89,01-04-2020 19:16:56,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2214,116599,42075,3878,1500.0,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
90,90,01-04-2020 19:16:56,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0133,7773,2805,259,100.0,,,,,,,,True,,kur'er v Batumi
91,91,01-04-2020 19:16:56,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0332,19433,7013,646,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
92,92,01-04-2020 19:16:56,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0332,19433,7013,646,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
93,93,01-04-2020 19:16:56,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0399,23320,8415,776,300.0,,,,,,,,True,,Rabota na marki (kur'er)
94,94,01-04-2020 19:16:56,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.2119999999999997,1165988,420750,38784,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
95,95,01-04-2020 19:16:56,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0731,38866,14025,1293,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
96,96,01-04-2020 19:18:37,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,1 гр,0.0276,14847,5358,494,191.0,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
97,97,01-04-2020 19:18:37,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,7,нет,Кутаиси,1.5 гр,0.021,11271,4067,375,145.0,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
98,98,01-04-2020 19:18:37,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,2 гр,0.0528,28372,10238,944,365.0,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
99,99,01-04-2020 19:18:37,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,2,нет,Кутаиси,2 гр,0.005,2954,1066,98,38.0,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
100,100,01-04-2020 19:18:37,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,3,нет,Кутаиси,2 гр,0.0195,10494,3787,349,135.0,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
101,101,01-04-2020 19:18:37,Kutaisi,be97026d1d,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0398,21376,7714,711,275.0,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
