,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
82,82,26-03-2020 10:57:04,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0276,15559,5650,516,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,83,26-03-2020 10:57:04,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0345,19448,7063,645,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,84,26-03-2020 10:57:04,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0897,1166892,423750,38684,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
85,85,26-03-2020 10:58:05,Batumi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,4,нет,Батуми,0.25 гр,0.0262,14781,5368,490,190.0,,,,,,,True,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
86,86,26-03-2020 10:58:05,Batumi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,3,нет,Батуми,0.25 гр,0.0275,15559,5650,516,200.0,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
87,87,26-03-2020 10:58:05,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,2,нет,Батуми,0.7 гр,0.0163,10098,3672,335,,,120.0,,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
88,88,26-03-2020 10:58:05,Batumi,99accec7c7,COCAINE 1 gr THE BEST COCO IN GEORGIA,,3,нет,Батуми,1 гр,0.0376,23338,8475,774,300.0,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
89,89,26-03-2020 10:58:05,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,11,нет,Батуми,1 гр,0.0238,14781,5368,490,190.0,,,,,,,,True,,NZT-52 limited 1 g muka
90,90,26-03-2020 10:58:05,Batumi,c72111ac1a,NZT-52 limited 2г мука,,4,нет,Батуми,2 гр,0.0426,26450,9605,877,340.0,,,,,,,,True,,NZT-52 limited 2g muka
91,91,26-03-2020 10:58:05,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,4,нет,Батуми,6 гр,0.0119,7390,2684,245,95.0,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
92,92,26-03-2020 10:58:05,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.303,171144,62150,5674,2200.0,,,,,,,,True,,[100g] SPAIN HASH
