,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Didube,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Центр,Батуми,desc_en
42,42,08-08-2020 19:58:38,Tbilisi,67187efef3,1.2гр перемолотые шишки btc 5% sale,True,2,нет,Тбилиси,1.2 гр,0.0032,2872,1087,95,39.0,,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
43,43,08-08-2020 19:58:38,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,7,нет,Тбилиси,2 гр,0.0084,7290,2758,242,99.0,,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
44,44,08-08-2020 19:58:38,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0101,8837,3343,294,120.0,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
45,45,08-08-2020 19:58:38,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0084,7364,2786,245,100.0,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
46,46,08-08-2020 19:58:38,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0084,7290,2758,242,99.0,,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
47,47,08-08-2020 19:58:38,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,4,нет,Тбилиси,2 гр,0.0074,6480,2452,215,88.0,,,,,,,,,,,,,2gr HYBRID buds
48,48,08-08-2020 19:58:38,Tbilisi,e56bb6ca93,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,2 гр,0.0084,7290,2758,242,99.0,,True,,,,,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
49,49,08-08-2020 19:58:38,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0084,8100,3065,269,110.0,,True,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
50,50,08-08-2020 19:58:38,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,9,нет,Тбилиси,2 гр,0.0084,7290,2758,242,99.0,,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
51,51,08-08-2020 19:58:38,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,6,нет,Тбилиси,2 гр,0.0084,7290,2758,242,99.0,,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
52,52,08-08-2020 19:58:38,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,4,нет,Тбилиси,2 гр,0.0061,5891,2229,196,80.0,,,,,,,,,,,,,TYson Budds 2G Skidka 5%
53,53,08-08-2020 19:58:38,Tbilisi,fccfd69694,Бошки OG Kush 2g.,True,3,нет,Тбилиси,2 гр,0.0068,5891,2229,196,80.0,,,,,,,,,,,,,Boshki OG Kush 2g.
54,54,08-08-2020 19:58:38,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan (подезд),,5,нет,Тбилиси,3 гр,0.002,1767,669,59,24.0,,,True,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
55,55,08-08-2020 19:58:38,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0069,6627,2507,220,90.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
56,56,08-08-2020 19:58:38,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,5,нет,Тбилиси,5 гр,0.0144,12445,4708,414,169.0,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
57,57,08-08-2020 19:58:38,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,5,нет,Тбилиси,5 гр,0.0144,12445,4708,414,169.0,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
58,58,08-08-2020 19:58:38,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,5 гр,0.0184,17673,6686,588,240.0,,,,,True,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
59,59,08-08-2020 19:58:38,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0211,18409,6965,612,250.0,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
60,60,08-08-2020 19:58:38,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0228,19882,7522,661,270.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
61,61,08-08-2020 19:58:38,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0232,20250,7662,673,275.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
62,62,08-08-2020 19:58:38,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0203,17673,6686,588,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
63,63,08-08-2020 19:58:38,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20619,7801,686,280.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
64,64,08-08-2020 19:58:38,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0228,19882,7522,661,270.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
65,65,08-08-2020 19:58:38,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0168,16127,6101,536,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
66,66,08-08-2020 19:58:38,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17673,6686,588,240.0,,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
67,67,08-08-2020 19:58:38,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0228,19882,7522,661,270.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
68,68,08-08-2020 19:58:38,Tbilisi,f374062dcd,Очень мощный Сирец Иран 5гр,True,нет,3,Тбилиси,5 гр,0.0797,81001,30646,2693,1100.0,,,,,,,,,,,,,Ochen' moschnyj Sirets Iran 5gr
69,69,08-08-2020 19:58:38,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1979,190000,87429,6317,,,,,,,,,,,,,,reagent 25i nbome. 5gr
70,70,08-08-2020 19:58:38,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2302,220913,83580,7345,3000.0,,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
71,71,08-08-2020 19:59:38,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0464,40501,15323,1347,550.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
72,72,08-08-2020 19:59:38,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.059000000000000004,51546,19502,1714,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
73,73,08-08-2020 19:59:38,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0354,30928,11701,1028,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,74,08-08-2020 19:59:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0675,58910,22288,1959,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,75,08-08-2020 19:59:38,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0393,33997,12792,1130,,,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
76,76,08-08-2020 19:59:38,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0498,47864,18109,1591,650.0,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
77,77,08-08-2020 19:59:38,Tbilisi,f374062dcd,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.7666,697378,262400,23177,,,,,,,,,8000.0,,,,,Sirets moschnyj Iran 50gr
78,78,08-08-2020 19:59:38,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2025,176730,66864,5876,2400.0,,,,,,,,,,,,,100 gr marijuana buds
79,79,08-08-2020 19:59:38,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0084,7290,2758,242,99.0,,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
80,80,08-08-2020 19:59:38,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2109,184094,69650,6121,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,81,08-08-2020 19:59:38,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4977,434462,164374,14444,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
82,82,08-08-2020 19:59:38,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0206,18000,8283,598,,,,,True,,,,,,,,,GABAGAMA 250 shtuk
83,83,08-08-2020 19:59:38,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7170000000000001,625920,236810,20810,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,08-08-2020 19:59:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0153,14728,5572,490,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,08-08-2020 19:59:38,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0211,18409,6965,612,250.0,True,,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
86,86,08-08-2020 19:59:38,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0211,18409,6965,612,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
87,87,08-08-2020 19:59:38,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.046,44183,16716,1469,600.0,,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
88,88,08-08-2020 19:59:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0169,14728,5572,490,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
89,89,08-08-2020 19:59:38,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,1 гр,0.0211,18409,6965,612,250.0,,,,,,,,,,,,,Rabota na marki (kur'er)
90,90,08-08-2020 19:59:38,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0422,36819,13930,1224,500.0,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
91,91,08-08-2020 19:59:38,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0422,36819,13930,1224,500.0,,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
92,92,08-08-2020 19:59:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2768,1104564,417900,36723,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
93,93,08-08-2020 19:59:38,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0422,36819,13930,1224,500.0,,,,,,True,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
94,94,08-08-2020 20:02:09,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0338,29455,11144,979,400.0,,,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
95,95,08-08-2020 20:02:09,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0403,34782,13087,1156,,,,,,,,,399.0,,,,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
96,96,08-08-2020 20:02:09,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0394,33997,12792,1130,,,,,,,,,390.0,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
97,97,08-08-2020 20:02:09,Batumi,3c9bc6f8e9,"Только до 06:00 9августа Батуми Уникальный Предзаказ на лучший в стране Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Батуми,15 гр,0.0499,47864,18109,1591,650.0,,,,,,,,,,,,True,"Tol'ko do 06:00 9avgusta Batumi Unikal'nyj Predzakaz na luchshij v strane Hindu Kush (photoperiod, regular) 15 gr"
98,98,08-08-2020 20:02:09,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18409,6965,612,250.0,,,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
99,99,08-08-2020 20:02:09,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18409,6965,612,250.0,,,,,,,,,,,,True,Ischu kur'era v Gruzii!
