,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Авлобари,Дигоми,Gldani,Varketili,Didube,€,Кутаиси,desc_en
57,05-05-2020 23:11:04,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.063,15720,1421,42109,,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
58,05-05-2020 23:11:04,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0431,10860,982,29091,,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
59,05-05-2020 23:11:04,Tbilisi,A3I9,Joookerrr,Предзаказ н-бооом 4 штуки!!!,True,нет,6,Тбилиси,4 гр,0.0065,1629,147,4364,,60,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
60,05-05-2020 23:11:04,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0592,14933,1350,39999,,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
61,05-05-2020 23:11:04,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0253,6380,577,17091,,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
62,05-05-2020 23:11:04,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0258,6516,589,17454,,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
63,05-05-2020 23:11:04,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0248,6245,565,16727,,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
64,05-05-2020 23:11:04,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0258,6516,589,17454,,240,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
65,05-05-2020 23:11:04,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0258,6516,589,17454,,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
66,05-05-2020 23:11:04,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0258,6516,589,17454,,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
67,05-05-2020 23:11:04,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0258,6516,589,17454,,240,,,,,,,,,5gr Stardawg Auto WEED BUDS
68,05-05-2020 23:11:04,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0248,6245,565,16727,,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
69,05-05-2020 23:11:04,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0214,5946,538,15927,,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
70,05-05-2020 23:12:05,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,6380,577,17091,,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
