,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Тбилиси,Gldani,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Центр,Батуми,Кутаиси,desc_en
59,59,29-03-2020 18:17:05,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4024,233198,85500,7726,3000.0,,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
60,60,29-03-2020 18:17:05,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1295,67550,24767,2238,869.0,,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
61,61,29-03-2020 18:17:05,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0283,14769,5415,489,190.0,,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
62,62,29-03-2020 18:17:05,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0729,38011,13937,1259,489.0,,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
63,63,29-03-2020 18:17:05,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0282,14691,5387,487,189.0,,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
64,64,29-03-2020 18:17:05,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1328,69959,25650,2318,900.0,,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,65,29-03-2020 18:17:05,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1033,54413,19950,1803,700.0,,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,29-03-2020 18:17:05,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0472,24874,9120,824,320.0,,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,67,29-03-2020 18:17:31,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.11800000000000001,62186,22800,2060,800.0,,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,68,29-03-2020 18:17:31,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.32799999999999996,172955,63413,5730,2225.0,,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
69,69,29-03-2020 18:17:31,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2158,112634,41297,3732,1449.0,,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,70,29-03-2020 18:17:31,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0549,28683,10517,950,369.0,,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,71,29-03-2020 18:17:31,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0445,23242,8522,770,299.0,,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,72,29-03-2020 18:17:31,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0892,46562,17072,1543,599.0,,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,29-03-2020 18:17:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1622,85506,31350,2833,1100.0,,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
74,74,29-03-2020 18:17:31,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3538,186558,68400,6181,2400.0,,True,,,,,,,,,,,100 gr marijuana buds
75,75,29-03-2020 18:17:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2949,155465,57000,5151,2000.0,,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
76,76,29-03-2020 18:17:31,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2978,155465,57000,5151,2000.0,,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
77,77,29-03-2020 18:17:31,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3686,194331,71250,6439,2500.0,,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,78,29-03-2020 18:17:31,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2234,116599,42750,3863,1500.0,,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
79,79,29-03-2020 18:17:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6782,357570,131100,11847,4600.0,,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
80,80,29-03-2020 18:17:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.1058,582994,213750,19316,7500.0,,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
81,81,29-03-2020 18:17:31,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2532,660726,242250,21891,8500.0,,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
82,82,29-03-2020 18:17:31,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0268,15547,5700,515,200.0,,True,,,,,,,,,,,KURYER..500RUB.+BONUS
83,83,29-03-2020 18:17:31,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0295,15547,5700,515,200.0,,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
84,84,29-03-2020 18:17:31,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.037000000000000005,21435,7938,709,,,True,,,,,,,250.0,,,,Rabota na marki (kur'er)
85,85,29-03-2020 18:17:31,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0295,15547,5700,515,200.0,,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,86,29-03-2020 18:17:31,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0369,19433,7125,644,250.0,,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
87,87,29-03-2020 18:17:31,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.2317,1165988,427500,38631,15000.0,,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
88,88,29-03-2020 18:18:48,Batumi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,3,нет,Батуми,0.25 гр,0.0281,14769,5415,489,190.0,,,,,,,,,,True,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
89,89,29-03-2020 18:18:48,Batumi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,2,нет,Батуми,0.25 гр,0.0295,15547,5700,515,200.0,,,,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
90,90,29-03-2020 18:18:48,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,5,нет,Батуми,0.5 гр,0.0107,6219,2280,206,80.0,,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
91,91,29-03-2020 18:18:48,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,1,нет,Батуми,0.7 гр,0.0178,10289,3810,340,,,,,,,,,,120.0,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
92,92,29-03-2020 18:18:48,Batumi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,4,нет,Батуми,1 гр,0.0222,11660,4275,386,150.0,,,,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
93,93,29-03-2020 18:18:48,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,20,нет,Батуми,2 гр,0.006,3498,1283,116,45.0,,,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
94,94,29-03-2020 18:18:48,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 4 штуки!!!,,4,нет,Батуми,4 гр,0.0094,5441,1995,180,70.0,,,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 4 shtuki!!!
95,95,29-03-2020 18:18:48,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Батуми,6 гр,0.0128,7385,2708,245,95.0,,,,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
96,96,29-03-2020 18:18:48,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.325,171012,62700,5666,2200.0,,,,,,,,,,,True,,[100g] SPAIN HASH
97,97,29-03-2020 18:18:48,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Батуми,5 гр,0.0269,15547,5700,515,200.0,,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
98,98,29-03-2020 18:18:48,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2984,155465,57000,5151,2000.0,,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
99,99,29-03-2020 18:18:48,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2238,116599,42750,3863,1500.0,,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
100,100,29-03-2020 18:18:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0134,7773,2850,258,100.0,,,,,,,,,,,True,,kur'er v Batumi
101,101,29-03-2020 18:18:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0336,19433,7125,644,250.0,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
102,102,29-03-2020 18:18:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0336,19433,7125,644,250.0,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
