,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
69,21-03-2020 21:30:54,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0883,46749,16832,1533,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,21-03-2020 21:30:54,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1592,93653,33720,3071,1200,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
71,21-03-2020 21:30:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2919,156089,56200,5118,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
72,21-03-2020 21:30:54,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2948,156089,56200,5118,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
73,21-03-2020 21:30:54,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3648,195111,70250,6398,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,21-03-2020 21:30:54,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2211,117066,42150,3839,1500,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
75,21-03-2020 21:30:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6713,359004,129260,11772,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,21-03-2020 21:30:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0945,585332,210750,19193,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,21-03-2020 21:30:54,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.2404,663377,238850,21752,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,21-03-2020 21:30:54,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0265,15609,5620,512,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
79,21-03-2020 21:30:54,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0199,11707,4215,384,150,,,,,,,,,,,,Rabota na marki (kur'er)
80,21-03-2020 21:30:54,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0292,15609,5620,512,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,21-03-2020 21:30:54,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0365,19511,7025,640,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
82,21-03-2020 21:30:54,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.2089,1170665,421500,38387,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
83,21-03-2020 21:32:19,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,9,нет,Батуми,0.5 гр,0.0106,6244,2248,205,80,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
84,21-03-2020 21:32:19,Batumi,V4T,COCAcoLA,COCAINE 1 gr THE BEST COCO IN GEORGIA,,4,нет,Батуми,1 гр,0.0399,23413,8430,768,300,,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
85,21-03-2020 21:32:19,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,21,нет,Батуми,1 гр,0.0252,14828,5339,486,190,,,,,,,,,,True,,NZT-52 limited 1 g muka
86,21-03-2020 21:32:19,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,9,нет,Батуми,2 гр,0.0452,26535,9554,870,340,,,,,,,,,,True,,NZT-52 limited 2g muka
87,21-03-2020 21:32:19,Batumi,XHR,420Factory,Power Africa 2.5 g,,1,нет,Батуми,2.5 гр,0.014,8195,2951,269,105,,,,,,,,,,True,,Power Africa 2.5 g
88,21-03-2020 21:32:19,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3216,171697,61820,5630,2200,,,,,,,,,,True,,[100g] SPAIN HASH
89,21-03-2020 21:32:19,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0266,15609,5620,512,200,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
90,21-03-2020 21:32:19,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2953,156089,56200,5118,2000,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
91,21-03-2020 21:32:19,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2214,117066,42150,3839,1500,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
92,21-03-2020 21:32:19,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0133,7804,2810,256,100,,,,,,,,,,True,,kur'er v Batumi
93,21-03-2020 21:32:19,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0332,19511,7025,640,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
94,21-03-2020 21:32:19,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0199,11707,4215,384,150,,,,,,,,,,True,,Rabota na marki (kur'er)
95,21-03-2020 21:32:19,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0332,19511,7025,640,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
96,21-03-2020 21:32:19,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.2125,1170665,421500,38387,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
97,21-03-2020 21:32:19,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0731,39022,14050,1280,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
98,21-03-2020 21:33:43,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,9,нет,Кутаиси,1 гр,0.0297,15999,5761,525,205,,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
99,21-03-2020 21:33:43,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g BTC SALE 5%!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0259,13970,5030,458,179,,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! KUTAISI!!!
100,21-03-2020 21:33:43,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.0563,30359,10931,995,389,,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! KUTAISI!!!
101,21-03-2020 21:33:43,Kutaisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0243,13111,4721,430,168,,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! KUTAISI!!!
