,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
33,33,16-06-2020 18:08:25,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0203,15276,5891,523,,True,219.0,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,16-06-2020 18:09:26,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0203,15276,5891,523,,True,219.0,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,35,16-06-2020 18:09:26,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.024,16392,6322,561,,True,235.0,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,36,16-06-2020 18:09:26,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2524,190000,87429,6448,,True,,,,,,,,reagent 25i nbome. 5gr
37,37,16-06-2020 18:09:26,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.278,209257,80700,7160,,,3000.0,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,38,16-06-2020 18:09:26,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0987,66893,25797,2289,,True,959.0,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,39,16-06-2020 18:09:26,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0196,13253,5111,453,,True,190.0,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,40,16-06-2020 18:09:26,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0503,34109,13154,1167,,True,489.0,,,,,,,💘✨5g. MDMA ✨💘
41,41,16-06-2020 18:09:26,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0917,62777,24210,2148,,True,900.0,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,42,16-06-2020 18:09:26,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0408,27901,10760,955,,True,400.0,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
43,43,16-06-2020 18:09:26,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0714,48827,18830,1671,,True,700.0,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
44,44,16-06-2020 18:09:26,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0428,29296,11298,1002,,True,420.0,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
