,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vake,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
52,18-05-2020 05:42:32,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0898,24165,2202,65885,,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,18-05-2020 05:42:32,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0399,10740,978,29282,,400,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,18-05-2020 05:42:32,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0698,18795,1712,51244,,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,18-05-2020 05:42:32,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0419,11277,1027,30746,,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,18-05-2020 05:42:32,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.01,2685,245,7321,,100,,,,,,,,,,10G Hybrid Marijuana Leafs
57,18-05-2020 05:42:32,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0798,21480,1957,58564,,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,18-05-2020 05:42:32,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0289,7787,709,21230,,290,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
59,18-05-2020 05:42:32,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2219,59741,5443,162882,,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
60,18-05-2020 05:42:32,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.157,41859,3814,114128,,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,18-05-2020 05:42:32,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0372,9908,903,27013,,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,18-05-2020 05:42:32,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0317,8458,771,23060,,315,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
63,18-05-2020 05:42:32,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0299,8055,734,21962,,300,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
64,18-05-2020 05:42:32,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5037,134250,12231,366028,,5000,,,,,,,,,,METADON - 20 G.
65,18-05-2020 05:42:32,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0603,16083,1465,43850,,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,18-05-2020 05:42:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1097,29535,2691,80526,,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
67,18-05-2020 05:42:32,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2394,64440,5871,175693,,2400,,,,,,,,,,100 gr marijuana buds
68,18-05-2020 05:42:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1995,53700,4892,146411,,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
69,18-05-2020 05:43:12,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2493,67125,6116,183014,,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,18-05-2020 05:43:12,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5885,158415,14433,431913,,5900,,,,,,,,,,180 gr marihuana persoalno
71,18-05-2020 05:43:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4588,123510,11253,336746,,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,18-05-2020 05:43:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.748,201375,18347,549042,,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,18-05-2020 05:43:12,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8478,228225,20793,622248,,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,18-05-2020 05:43:12,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0181,5370,489,14641,,200,,,,,,,,,,KURYER..500RUB.+BONUS
75,18-05-2020 05:43:12,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0399,10740,978,29282,,400,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
76,18-05-2020 05:43:12,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0199,5370,489,14641,,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,18-05-2020 05:43:12,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0249,6713,612,18301,,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,18-05-2020 05:43:12,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5097,402750,36693,1098084,,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
79,18-05-2020 05:44:26,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2194,59070,5382,161052,,2200,,,,,,,True,,,[100g] SPAIN HASH
80,18-05-2020 05:44:26,Batumi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,,нет,8,Батуми,0.2 гр,0.0097,2610,238,7122,,,,,,90,,,True,,,Buprenorfin (analog suboteksa) 0.2 gr.
81,18-05-2020 05:44:26,Batumi,A3I9,Joookerrr,"MDMA ""цунами удовольствия) 0.5 грамм",,нет,27,Батуми,0.5 гр,0.009,2417,220,6589,,90,,,,,,,True,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
82,18-05-2020 05:44:26,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0036,957,87,2611,,,,,,33,,,True,,,Batumi n-booom 2 shtuki
83,18-05-2020 05:44:26,Batumi,A3I9,Joookerrr,"""Express Batumi"" марки н-боооом 8 шт.",,нет,10,Батуми,8 гр,0.01,2685,245,7321,,100,,,,,,,True,,,"""Express Batumi"" marki n-boooom 8 sht."
84,18-05-2020 05:44:26,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1539,51992,3774,112990,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,18-05-2020 05:44:26,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2437,82321,5976,178900,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,18-05-2020 05:44:26,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0091,2685,245,7321,,100,,,,,,,True,,,kur'er v Batumi
87,18-05-2020 05:44:26,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0227,6713,612,18301,,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,18-05-2020 05:44:26,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0227,6713,612,18301,,250,,,,,,,True,,,Ischu kur'era v Gruzii!
89,18-05-2020 05:44:26,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5097,402750,36693,1098084,,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,18-05-2020 05:44:26,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0499,13425,1223,36603,,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,18-05-2020 05:45:51,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1.5 гр,0.0205,5639,514,15373,,210,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,18-05-2020 05:45:51,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0479,13022,1186,35505,,485,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,18-05-2020 05:45:51,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0365,9935,905,27086,,370,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
94,18-05-2020 05:45:51,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0199,5370,489,14641,,200,,,,,,,,,True,Rabota na marki (kur'er)
