,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
34,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0246,16402,6456,576,240,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
35,03-06-2020 17:18:33,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0235,15719,6187,552,230,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
36,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16402,6456,576,240,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,03-06-2020 17:18:33,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0246,16402,6456,576,240,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15719,6187,552,230,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,03-06-2020 17:18:33,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,14967,5891,525,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,03-06-2020 17:18:33,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0259,17085,6725,600,250,True,,,,,,,,,MARIXYANA - INDICA - 5 G.
41,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0241,16060,6322,564,235,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,03-06-2020 17:18:33,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2588,190000,87429,6611,,True,,,,,,,,,reagent 25i nbome. 5gr
43,03-06-2020 17:18:33,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2792,205024,80700,7194,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0992,65539,25797,2300,959,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0196,12985,5111,456,190,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0506,33419,13154,1173,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
47,03-06-2020 17:18:33,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0207,13668,5380,480,200,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
48,03-06-2020 17:18:33,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0921,61507,24210,2158,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,03-06-2020 17:18:33,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.041,27337,10760,959,400,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
50,03-06-2020 17:18:33,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0717,47839,18830,1679,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.043,28703,11298,1007,420,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,03-06-2020 17:18:33,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0819,54673,21520,1918,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,03-06-2020 17:18:33,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2278,152059,59853,5336,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
54,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1612,106544,41937,3739,1559,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
55,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0836,55220,21735,1938,808,True,,,,,,,,,💘✨10gram MDMA ✨💘
56,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0382,25218,9926,885,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,03-06-2020 17:18:33,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0361,23919,9415,839,350,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
58,03-06-2020 17:18:33,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.517,341707,134500,11991,5000,True,,,,,,,,,METADON - 20 G.
59,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1396,102512,40350,3597,1500,True,,,,,,,,,✨💘20g MDMA💘✨
60,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0619,40936,16113,1436,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,03-06-2020 17:18:33,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.133,88775,34943,3115,1299,True,,,,,,,,,50 gr georgian weed. Package on magnet
62,03-06-2020 17:18:33,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2559,170785,67223,5993,2499,True,,,,,,,,,100 gr georgian weed. Package on magnet
63,03-06-2020 17:18:33,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2457,164019,64560,5755,2400,True,,,,,,,,,100 gr marijuana buds
64,03-06-2020 17:18:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2048,136683,53800,4796,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,03-06-2020 17:18:33,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.256,170853,67250,5995,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,03-06-2020 17:18:33,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6041,403214,158710,14149,5900,True,,,,,,,,,180 gr marihuana persoalno
67,03-06-2020 17:18:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.471,314370,123740,11031,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,03-06-2020 17:18:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7679,512560,201750,17986,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,03-06-2020 17:19:07,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8703,580901,228650,20384,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,03-06-2020 17:19:07,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13668,5380,480,200,True,,,,,,,,,KURYER..500RUB.+BONUS
71,03-06-2020 17:19:07,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0205,13668,5380,480,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,03-06-2020 17:19:07,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0256,17085,6725,600,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
73,03-06-2020 17:19:07,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5497,1025120,403500,35972,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
74,03-06-2020 17:20:45,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,нет,Батуми,0.5 гр,0.0087,5809,2287,204,85,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
75,03-06-2020 17:20:45,Batumi,H9FHF,OldStar,Gagarin fem. 60%sativa 40%indica 1g.,,4,нет,Батуми,1 гр,0.0051,3417,1345,120,50,,,,,,,,True,,Gagarin fem. 60%sativa 40%indica 1g.
76,03-06-2020 17:20:45,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,1,нет,Батуми,4 гр,0.0057,3827,1506,134,56,,,,,,,True,,,Marki n-BoooooooM 4 sht
77,03-06-2020 17:20:45,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2247,150351,59180,5276,2200,,,,,,,,True,,[100g] SPAIN HASH
78,03-06-2020 17:20:45,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,2,Батуми,5 гр,0.023,15719,6187,552,230,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
79,03-06-2020 17:20:45,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.042,28703,11298,1007,420,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
80,03-06-2020 17:20:45,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5157,341707,134500,11991,5000,,,,,,,,True,,METADON - 20 G.
81,03-06-2020 17:20:45,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1689,112990,51992,3931,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,03-06-2020 17:20:45,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2673,178900,82321,6225,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,03-06-2020 17:20:45,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6834,2690,240,100,,,,,,,,True,,kur'er v Batumi
84,03-06-2020 17:20:45,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17085,6725,600,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
85,03-06-2020 17:20:45,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17085,6725,600,250,,,,,,,,True,,Ischu kur'era v Gruzii!
86,03-06-2020 17:20:45,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0204,13668,5380,480,200,,,,,,,,True,,Kur'er Batumi na marihuanu
87,03-06-2020 17:20:45,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0286,19156,7538,668,,,,250,,,,,True,,Rabota na marki (kur'er)
88,03-06-2020 17:20:45,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5459,1025120,403500,35972,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
89,03-06-2020 17:20:45,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0511,34171,13450,1199,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
90,03-06-2020 17:22:28,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0291,19887,7828,698,291,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
91,03-06-2020 17:22:28,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0181,12370,4869,434,181,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
92,03-06-2020 17:22:28,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0286,19156,7538,668,,,,250,,,,,,True,Rabota na marki (kur'er)
