,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
50,08-04-2020 02:02:59,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0224,12752,4605,431,169,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
51,08-04-2020 02:02:59,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0226,12827,4633,434,170,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
52,08-04-2020 02:02:59,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0264,15016,5423,508,199,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,08-04-2020 02:02:59,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0264,15016,5423,508,199,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
54,08-04-2020 02:02:59,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0264,16525,5968,559,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
55,08-04-2020 02:02:59,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0264,15016,5423,508,199,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
56,08-04-2020 02:02:59,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0459,28704,10395,971,,,,,,350,,,,,MDMA 5 gr!!!
57,08-04-2020 02:02:59,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,12,Тбилиси,5 гр,0.0241,15091,5450,510,200,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
58,08-04-2020 02:02:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.304,190000,87429,6426,,,,,,,,,,,reagent 25i nbome. 5gr
59,08-04-2020 02:02:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3622,226365,81750,7656,3000,,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
60,08-04-2020 02:02:59,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1166,65570,23680,2218,869,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
61,08-04-2020 02:02:59,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0255,14336,5178,485,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
62,08-04-2020 02:02:59,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0656,36898,13325,1248,489,,,,,,,,,,💘✨5g. MDMA ✨💘
63,08-04-2020 02:02:59,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,1,5,Тбилиси,5 гр,0.0254,14261,5150,482,189,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
64,08-04-2020 02:02:59,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1195,67910,24525,2297,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,08-04-2020 02:02:59,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.093,52819,19075,1786,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,08-04-2020 02:03:55,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0425,24146,8720,817,320,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,08-04-2020 02:03:55,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1063,60364,21800,2042,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,08-04-2020 02:03:55,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2955,167887,60631,5678,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
69,08-04-2020 02:03:55,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.1944,109334,39485,3698,1449,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,08-04-2020 02:03:55,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0495,27843,10055,942,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,08-04-2020 02:03:55,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0401,22561,8148,763,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,08-04-2020 02:03:55,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,7,Тбилиси,20 гр,0.0538,30559,11036,1034,405,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
73,08-04-2020 02:03:55,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0804,45198,16323,1529,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
74,08-04-2020 02:03:55,Tbilisi,8B31,GEOWEEDSHOP,50gr Georgian Indica dominant buds. The Best PRICE,True,нет,13,Тбилиси,50 гр,0.1327,75380,27223,2549,999,True,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
75,08-04-2020 02:03:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1461,83001,29975,2807,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
76,08-04-2020 02:03:55,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3188,181092,65400,6125,2400,,,,,,,,,,100 gr marijuana buds
77,08-04-2020 02:03:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2656,150910,54500,5104,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
78,08-04-2020 02:03:55,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.2683,150910,54500,5104,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
79,08-04-2020 02:03:55,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.332,188638,68125,6380,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
