,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Saburtalo,Vazisubani,Zahesi,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
87,87,04-07-2020 08:14:26,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5965,1057499,410250,36321,,True,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
88,88,04-07-2020 08:17:00,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,13,нет,Батуми,2 гр,0.012,7922,3060,273,100.0,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
89,89,04-07-2020 08:17:00,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,1,нет,Батуми,5 гр,0.0303,20445,7932,702,,,290.0,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
90,90,04-07-2020 08:17:00,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0475,31725,12308,1090,,,450.0,,,,,,,,,,True,Super Critical 10G
91,91,04-07-2020 08:17:00,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,10,Батуми,0.25 гр,0.0266,17625,6838,605,,,250.0,,,,,,,,,True,,METADON - 0.25 - SALE
92,92,04-07-2020 08:17:00,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1582,105750,41025,3632,,,1500.0,,,,,,,,,True,,Gerojn (sirets) 5 gr
93,93,04-07-2020 08:17:00,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0467,30896,11934,1065,390.0,,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
94,94,04-07-2020 08:17:00,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0502,33273,12852,1147,420.0,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
95,95,04-07-2020 08:17:00,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1691,112990,51992,3882,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
96,96,04-07-2020 08:17:00,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2677,178900,82321,6147,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
97,97,04-07-2020 08:17:00,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7050,2735,242,,,100.0,,,,,,,,,True,,kur'er v Batumi
98,98,04-07-2020 08:17:00,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17625,6838,605,,,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,99,04-07-2020 08:17:00,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17625,6838,605,,,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
100,100,04-07-2020 08:17:00,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14100,5470,484,,,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
