,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
51,51,06-03-2020 03:59:46,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0417,26408,9903,892,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,52,06-03-2020 03:59:46,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.037000000000000005,23165,8687,783,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
53,53,06-03-2020 03:59:46,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0837,52948,19856,1789,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,06-03-2020 03:59:46,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2327,147263,55225,4974,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
55,55,06-03-2020 03:59:46,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1531,95903,35964,3240,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,56,06-03-2020 03:59:46,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.039,24422,9159,825,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,57,06-03-2020 03:59:46,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0316,19789,7421,668,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
58,58,06-03-2020 03:59:46,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.07400000000000001,46330,17374,1565,700.0,,,,,,,,,,,20x Extasy Duracell 223mg MDMA.
59,59,06-03-2020 03:59:46,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0633,39645,14867,1339,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,60,06-03-2020 03:59:46,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0703,46330,17374,1565,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
61,61,06-03-2020 03:59:46,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1141,79422,29784,2683,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
62,62,06-03-2020 03:59:46,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1003,66119,24795,2233,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
63,63,06-03-2020 03:59:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2092,132371,49640,4471,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,64,06-03-2020 03:59:46,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2113,132371,49640,4471,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
65,65,06-03-2020 03:59:46,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2615,165464,62050,5589,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,06-03-2020 03:59:46,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1585,99278,37230,3354,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
67,67,06-03-2020 03:59:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4812,304453,114172,10284,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,68,06-03-2020 03:59:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7845,496391,186150,16768,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,69,06-03-2020 03:59:46,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8891,562576,210970,19003,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,70,06-03-2020 04:00:35,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.019,13237,4964,447,200.0,,,,,,,,,,,Trebuetsja Kur'er
71,71,06-03-2020 04:00:35,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0143,9928,3723,335,150.0,,,,,,,,,,,Rabota na marki (kur'er)
72,72,06-03-2020 04:00:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0209,13237,4964,447,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,06-03-2020 04:00:35,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0262,16546,6205,559,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,06-03-2020 04:00:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5843,992781,372300,33536,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
75,75,06-03-2020 04:01:59,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.157,99278,37230,3354,1500.0,,,,,,,,True,,,Skunk! 50 gr.
76,76,06-03-2020 04:01:59,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0285,17870,6701,604,270.0,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
77,77,06-03-2020 04:01:59,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.019,13237,4964,447,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
78,78,06-03-2020 04:01:59,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2114,132371,49640,4471,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
79,79,06-03-2020 04:01:59,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1586,99278,37230,3354,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
80,80,06-03-2020 04:01:59,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0106,6619,2482,224,100.0,,,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
81,81,06-03-2020 04:01:59,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0048,3309,1241,112,50.0,,,,,,,,True,,,kur'er v Batumi
82,82,06-03-2020 04:01:59,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,16546,6205,559,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,83,06-03-2020 04:01:59,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0143,9928,3723,335,150.0,,,,,,,,True,,,Rabota na marki (kur'er)
84,84,06-03-2020 04:01:59,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,16546,6205,559,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
85,85,06-03-2020 04:01:59,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5843,992781,372300,33536,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,86,06-03-2020 04:01:59,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,33093,12410,1118,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,06-03-2020 04:03:19,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0114,7148,2681,241,108.0,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
88,88,06-03-2020 04:03:19,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0106,6619,2482,224,100.0,,,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
89,89,06-03-2020 04:03:19,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0143,9928,3723,335,150.0,,,,,,,,,,True,Rabota na marki (kur'er)
