,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
12,12,03-07-2020 13:18:18,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.0063,4161,1614,143,59.0,,,,,,,,,,,1 gr super lemon haze probnik
13,13,03-07-2020 13:18:18,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,8,нет,Тбилиси,1 гр,0.0063,4161,1614,143,59.0,,,True,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
14,14,03-07-2020 13:18:18,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0064,4231,1641,145,60.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
15,15,03-07-2020 13:18:18,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0063,4161,1614,143,59.0,True,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
16,16,03-07-2020 13:18:18,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,4,нет,Тбилиси,1 гр,0.0053,3526,1368,121,50.0,,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
17,17,03-07-2020 13:18:18,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,5,нет,Тбилиси,1 гр,0.0064,4231,1641,145,60.0,,,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
18,18,03-07-2020 13:18:18,Tbilisi,16a8841259,Jamaican 1г High Thc,True,3,нет,Тбилиси,1 гр,0.0062,4090,1586,140,58.0,,,,,,,,,,,Jamaican 1g High Thc
19,19,03-07-2020 13:18:18,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,,1,нет,Тбилиси,1 гр,0.0019,1269,492,44,18.0,True,,,,,,,,,,Marki n-boooom!!! 1 sht.
20,20,03-07-2020 13:18:18,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,True,1,нет,Тбилиси,2 гр,0.0403,26798,10393,920,380.0,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
21,21,03-07-2020 13:18:18,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,3 гр,0.0092,6135,2379,211,87.0,,,,,True,,,,,,3 gr georgian weed. Package on magnet
22,22,03-07-2020 13:18:18,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,1,нет,Тбилиси,3 гр,0.0059,3879,1504,133,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,23,03-07-2020 13:18:18,Tbilisi,f374062dcd,Weed Сорт Purple 3гр,True,2,нет,Тбилиси,3 гр,0.0081,5924,2297,203,84.0,,,,,,,,,,,Weed Sort Purple 3gr
24,24,03-07-2020 13:18:18,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,7,нет,Тбилиси,5 гр,0.0144,10507,4075,361,149.0,,,,,,,,,,,5g. GEO Marihuana boshki
25,25,03-07-2020 13:18:18,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,5 гр,0.0053,3879,1504,133,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
26,26,03-07-2020 13:18:18,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,10 гр,0.0254,16854,6537,579,239.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
27,27,03-07-2020 13:18:18,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,4,нет,Тбилиси,10 гр,0.0138,9097,3528,312,129.0,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
28,28,03-07-2020 13:18:18,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,3,нет,Тбилиси,10 гр,0.0463,31734,12308,1090,450.0,,,,,,,,,,,Gashish Evro 10gr
29,29,03-07-2020 13:18:18,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,10 гр,0.0082,5994,2325,206,85.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
30,30,03-07-2020 13:18:18,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,1,нет,Тбилиси,10 гр,0.0092,6699,2598,230,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
31,31,03-07-2020 13:18:18,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0483,35260,13675,1211,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
32,32,03-07-2020 13:18:18,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4584,1778,157,65.0,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
33,33,03-07-2020 13:18:18,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2143,141040,54700,4843,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,34,03-07-2020 13:19:40,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,1,Тбилиси,1 гр,0.0047,3103,1203,107,44.0,,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
35,35,03-07-2020 13:19:40,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,8,Тбилиси,2 гр,0.0096,6347,2462,218,90.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
36,36,03-07-2020 13:19:40,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0536,35189,13648,1208,499.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
37,37,03-07-2020 13:19:40,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.009000000000000001,5964,2301,205,,,,,,,75.0,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
38,38,03-07-2020 13:19:40,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,5,Тбилиси,3 гр,0.0128,8462,3282,291,120.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
39,39,03-07-2020 13:19:40,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,20,Тбилиси,3 гр,0.0806,52890,20513,1816,750.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
40,40,03-07-2020 13:19:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,5,Тбилиси,4 гр,0.0426,28208,10940,969,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
41,41,03-07-2020 13:19:40,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),True,нет,8,Тбилиси,4 гр,0.0128,8462,3282,291,120.0,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
42,42,03-07-2020 13:19:40,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0266,17630,6838,605,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,43,03-07-2020 13:19:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0585,38786,15043,1332,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
44,44,03-07-2020 13:19:40,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0287,19040,7385,654,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
45,45,03-07-2020 13:19:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0298,19746,7658,678,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
46,46,03-07-2020 13:19:40,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0293,19393,7521,666,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
47,47,03-07-2020 13:19:40,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0255,16925,6564,581,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
48,48,03-07-2020 13:19:40,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0298,19746,7658,678,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,49,03-07-2020 13:19:40,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0287,19040,7385,654,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,50,03-07-2020 13:19:40,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0212,15444,5990,530,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,51,03-07-2020 13:19:40,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,6,Тбилиси,5 гр,0.0186,12341,4786,424,175.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
52,52,03-07-2020 13:19:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0287,19040,7385,654,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,53,03-07-2020 13:19:40,Tbilisi,54915c4374,Геройн (сирец) 5 гр,True,нет,2,Тбилиси,5 гр,0.1596,105780,41025,3632,1500.0,,,,,,,,,,,Gerojn (sirets) 5 gr
54,54,03-07-2020 13:19:40,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,1,Тбилиси,5 гр,0.0266,17630,6838,605,250.0,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
55,55,03-07-2020 13:19:40,Tbilisi,54915c4374,марки н-боом 5шт.,True,нет,9,Тбилиси,5 гр,0.0069,4584,1778,157,65.0,,,,,,,,,,,marki n-boom 5sht.
56,56,03-07-2020 13:19:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2606,190000,87429,6528,,,,,,,,,,,,reagent 25i nbome. 5gr
57,57,03-07-2020 13:19:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2902,211559,82050,7264,3000.0,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,58,03-07-2020 13:19:40,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,7,Тбилиси,5 гр,0.1342,88079,34160,3024,1249.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
59,59,03-07-2020 13:19:40,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,12,Тбилиси,5 гр,0.0215,14104,5470,484,200.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,60,03-07-2020 13:19:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0958,63468,24615,2179,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
61,61,03-07-2020 13:19:40,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0585,38786,15043,1332,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
62,62,03-07-2020 13:19:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0745,49364,19145,1695,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,63,03-07-2020 13:19:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0447,29618,11487,1017,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,03-07-2020 13:19:40,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0851,56416,21880,1937,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,65,03-07-2020 13:19:40,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,9,Тбилиси,10 гр,0.0351,23272,9026,799,330.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
66,66,03-07-2020 13:19:40,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2367,156907,60854,5388,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
67,67,03-07-2020 13:19:40,Tbilisi,54915c4374,Марки н-боом 10 шт.,True,нет,7,Тбилиси,10 гр,0.0106,7052,2735,242,100.0,,,,,,,,,,,Marki n-boom 10 sht.
68,68,03-07-2020 13:20:52,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2685,176229,68348,6051,2499.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
69,69,03-07-2020 13:20:52,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,15,Тбилиси,10 гр,0.043,28208,10940,969,400.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
70,70,03-07-2020 13:20:52,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0472,31012,11965,1065,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
71,71,03-07-2020 13:20:52,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,20,Тбилиси,20 гр,0.086,56416,21880,1937,800.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
72,72,03-07-2020 13:20:52,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2553,169248,65640,5811,2400.0,,,,,,,,,,,100 gr marijuana buds
73,73,03-07-2020 13:20:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2128,141040,54700,4843,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,74,03-07-2020 13:20:52,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.266,176300,68375,6054,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,03-07-2020 13:20:52,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6277,416067,161365,14286,5900.0,,,,,,,,,,,180 gr marihuana persoalno
76,76,03-07-2020 13:20:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4894,324391,125810,11138,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,77,03-07-2020 13:20:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7979,528899,205125,18161,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
78,78,03-07-2020 13:20:52,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9043,599418,232475,20582,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
79,79,03-07-2020 13:20:52,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14104,5470,484,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
80,80,03-07-2020 13:20:52,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0266,17630,6838,605,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
81,81,03-07-2020 13:20:52,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0213,14104,5470,484,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
82,82,03-07-2020 13:20:52,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0266,17630,6838,605,250.0,,,,,,,,,,,Rabota na marki (kur'er)
83,83,03-07-2020 13:20:52,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6103,1057797,410250,36321,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
84,84,03-07-2020 13:23:32,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,14,нет,Батуми,2 гр,0.0121,7952,3068,273,,,,,,,100.0,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
85,85,03-07-2020 13:23:32,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0478,31734,12308,1090,450.0,,,,,,,,,,True,Super Critical 10G
86,86,03-07-2020 13:23:32,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,10,Батуми,0.25 гр,0.0268,17630,6838,605,250.0,,,,,,,,,True,,METADON - 0.25 - SALE
87,87,03-07-2020 13:23:32,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1593,105780,41025,3632,1500.0,,,,,,,,,True,,Gerojn (sirets) 5 gr
88,88,03-07-2020 13:23:32,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0471,31012,11965,1065,,,,,,,390.0,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
89,89,03-07-2020 13:23:32,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0507,33398,12886,1147,,,,,,,420.0,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
90,90,03-07-2020 13:23:32,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1701,112990,51992,3882,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
91,91,03-07-2020 13:23:32,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2693,178900,82321,6147,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
92,92,03-07-2020 13:23:32,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7052,2735,242,100.0,,,,,,,,,True,,kur'er v Batumi
93,93,03-07-2020 13:23:32,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17630,6838,605,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
94,94,03-07-2020 13:23:32,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17630,6838,605,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
95,95,03-07-2020 13:23:32,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14104,5470,484,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
96,96,03-07-2020 13:23:32,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.607,1057797,410250,36321,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
97,97,03-07-2020 13:23:32,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0531,35260,13675,1211,500.0,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
