,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Тбилиси,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
36,08-06-2020 20:28:31,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.0269,18239,7169,636,,267,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,08-06-2020 20:28:32,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2245,151995,59741,5298,,2225,True,,,,,,,,Amfetamin [White] [Import] 10G
38,08-06-2020 20:28:32,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1589,106499,41859,3712,,1559,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
39,08-06-2020 20:28:32,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0823,55196,21695,1924,,808,True,,,,,,,,💘✨10gram MDMA ✨💘
40,08-06-2020 20:28:32,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0376,25207,9908,879,,369,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
41,08-06-2020 20:28:32,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0356,23909,9398,833,,350,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
42,08-06-2020 20:28:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0515,34839,13694,1214,,510,True,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
43,08-06-2020 20:28:32,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5095,341562,134250,11905,,5000,True,,,,,,,,METADON - 20 G.
44,08-06-2020 20:28:32,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1376,102468,40275,3572,,1500,True,,,,,,,,✨💘20g MDMA💘✨
45,08-06-2020 20:28:32,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.061,40919,16083,1426,,599,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,08-06-2020 20:28:32,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1311,88738,34878,3093,,1299,True,,,,,,,,50 gr georgian weed. Package on magnet
47,08-06-2020 20:28:32,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2521,170712,67098,5950,,2499,True,,,,,,,,100 gr georgian weed. Package on magnet
48,08-06-2020 20:28:32,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2421,163950,64440,5714,,2400,True,,,,,,,,100 gr marijuana buds
49,08-06-2020 20:28:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2018,136625,53700,4762,,2000,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
50,08-06-2020 20:28:32,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2522,170781,67125,5953,,2500,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
51,08-06-2020 20:28:32,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5953,403043,158415,14048,,5900,True,,,,,,,,180 gr marihuana persoalno
52,08-06-2020 20:28:32,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,5,Тбилиси,200 гр,0.4327,290327,114113,10119,,4250,True,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
53,08-06-2020 20:28:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4641,314237,123510,10953,,4600,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
54,08-06-2020 20:28:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7567,512342,201375,17858,,7500,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
55,08-06-2020 20:28:32,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8576,580655,228225,20239,,8500,True,,,,,,,,10000sht marki 25i-nbome. predoplata
56,08-06-2020 20:28:32,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0183,13662,5370,476,,200,True,,,,,,,,KURYER..500RUB.+BONUS
57,08-06-2020 20:28:32,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0202,13662,5370,476,,200,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
58,08-06-2020 20:28:32,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5272,1024685,402750,35715,,15000,True,,,,,,,,Vakansija optovogo kur'era na mef
59,08-06-2020 20:30:31,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0228,15712,6176,548,,230,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
60,08-06-2020 20:30:31,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0416,28691,11277,1000,,420,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
61,08-06-2020 20:30:31,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5108,341562,134250,11905,,5000,,,,,,True,,,METADON - 20 G.
62,08-06-2020 20:30:31,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1673,112990,51992,3920,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
63,08-06-2020 20:30:31,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2649,178900,82321,6207,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
64,08-06-2020 20:30:31,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6831,2685,238,,100,,,,,,True,,,kur'er v Batumi
65,08-06-2020 20:30:31,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17078,6713,595,,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
66,08-06-2020 20:30:31,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17078,6713,595,,250,,,,,,True,,,Ischu kur'era v Gruzii!
67,08-06-2020 20:30:31,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0202,13662,5370,476,,200,,,,,,True,,,Kur'er Batumi na marihuanu
68,08-06-2020 20:30:31,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0286,19297,7600,676,250,,,,,,,True,,,Rabota na marki (kur'er)
69,08-06-2020 20:30:31,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5312,1024685,402750,35715,,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
70,08-06-2020 20:30:31,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0506,34156,13425,1191,,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
71,08-06-2020 20:31:41,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0286,19297,7600,676,250,,,,,,,,,True,Rabota na marki (kur'er)
