,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
39,39,18-07-2020 17:06:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0284,19363,7466,648,270.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,40,18-07-2020 17:06:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.021,15705,6055,525,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,41,18-07-2020 17:06:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0284,19363,7466,648,270.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,42,18-07-2020 17:06:45,Tbilisi,f374062dcd,Кристаллы Синие очень мощные на рынке 5 гр,,нет,1,Тбилиси,5 гр,0.0804,60240,23226,2016,840.0,True,,,,,,,,,Kristally Sinie ochen' moschnye na rynke 5 gr
43,43,18-07-2020 17:06:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2537,190000,87429,6356,,True,,,,,,,,,reagent 25i nbome. 5gr
44,44,18-07-2020 17:06:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2873,215142,82950,7198,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
45,45,18-07-2020 17:06:45,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,,нет,5,Тбилиси,5 гр,0.0527,35857,13825,1200,500.0,True,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
46,46,18-07-2020 17:06:45,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0242,16336,6290,546,,True,,200.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
47,47,18-07-2020 17:06:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0948,64543,24885,2159,900.0,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,18-07-2020 17:06:45,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0579,39443,15208,1320,550.0,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
