,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
72,72,12-07-2020 22:01:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 200шт. вес таблетки 450mg,,нет,1,Тбилиси,200 гр,0.3788,256427,98100,8748,,True,3600.0,,,,,,,,,,Extasy GUCCI 200sht. ves tabletki 450mg
73,73,12-07-2020 22:01:30,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8943,605453,231625,20655,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,12-07-2020 22:01:30,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14246,5450,486,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,12-07-2020 22:01:30,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,,1,нет,Тбилиси,1 гр,0.0158,10684,4088,365,,True,150.0,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
76,76,12-07-2020 22:01:30,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0263,17807,6813,608,,True,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,12-07-2020 22:01:30,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.021,14246,5450,486,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,12-07-2020 22:01:30,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0263,17807,6813,608,,True,250.0,,,,,,,,,,Rabota na marki (kur'er)
79,79,12-07-2020 22:01:30,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0526,35615,13625,1215,,True,500.0,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
80,80,12-07-2020 22:01:30,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0191,14246,5450,486,,True,200.0,,,,,,,,,,Rabota kur'erom
81,81,12-07-2020 22:01:30,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5925,1068447,408750,36450,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
82,82,12-07-2020 22:01:30,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0526,35615,13625,1215,,,500.0,,,True,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,83,12-07-2020 22:03:11,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,5,нет,Батуми,2 гр,0.0051,3419,1308,117,,,48.0,,,,,,,True,,,Melkie shishki (Indica) 2g
84,84,12-07-2020 22:03:11,Batumi,75738ec358,ASTRAL 3g,,3,нет,Батуми,3 гр,0.0258,19232,7358,656,,,270.0,,,,,,,True,,,ASTRAL 3g
85,85,12-07-2020 22:03:11,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,3,Батуми,1 гр,0.0371,24883,9517,850,310.0,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
86,86,12-07-2020 22:03:11,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0526,35318,13508,1207,440.0,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
87,87,12-07-2020 22:03:11,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0467,31305,11973,1070,390.0,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
88,88,12-07-2020 22:03:11,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Батуми,11 гр,0.0477,32027,12249,1095,399.0,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
89,89,12-07-2020 22:03:11,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1669,112990,51992,3855,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
90,90,12-07-2020 22:03:11,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2643,178900,82321,6104,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
91,91,12-07-2020 22:03:11,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2725,243,,,100.0,,,,,,,True,,,kur'er v Batumi
92,92,12-07-2020 22:03:11,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17807,6813,608,,,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
93,93,12-07-2020 22:03:11,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17807,6813,608,,,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
94,94,12-07-2020 22:03:11,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.021,14246,5450,486,,,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
95,95,12-07-2020 22:03:11,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5925,1068447,408750,36450,,,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
96,96,12-07-2020 22:03:11,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0526,35615,13625,1215,,,500.0,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
