,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Didube,Центр,Батуми,desc_en
50,50,01-08-2020 23:40:36,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0464,40384,15323,1341,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,51,01-08-2020 23:40:36,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0591,51398,19502,1706,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,01-08-2020 23:40:36,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0354,30839,11701,1024,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,01-08-2020 23:40:36,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0675,58741,22288,1950,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,01-08-2020 23:40:36,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,5,Тбилиси,10 гр,0.0354,30839,11701,1024,420.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
55,55,01-08-2020 23:40:36,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1878,163373,61989,5423,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
56,56,01-08-2020 23:40:36,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0445,38407,14524,1276,,,,,,440.0,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
57,57,01-08-2020 23:40:36,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0395,34043,12874,1131,,,,,,390.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
58,58,01-08-2020 23:40:36,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0499,47727,18109,1584,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
59,59,01-08-2020 23:40:36,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2025,176223,66864,5850,2400.0,,,,,,,,,,,100 gr marijuana buds
60,60,01-08-2020 23:40:36,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,2,Тбилиси,100 гр,0.0084,7269,2758,241,99.0,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
61,61,01-08-2020 23:40:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.21100000000000002,183565,69650,6094,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,62,01-08-2020 23:40:36,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4979,433214,164374,14381,5900.0,,,,,,,,,,,180 gr marihuana persoalno
63,63,01-08-2020 23:40:36,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0207,18000,8283,597,,,,,,,,,True,,,GABAGAMA 250 shtuk
64,64,01-08-2020 23:40:36,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0844,73426,27860,2438,1000.0,,True,True,,,,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
65,65,01-08-2020 23:40:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7173,624122,236810,20719,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,66,01-08-2020 23:40:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0153,14685,5572,488,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
67,67,01-08-2020 23:40:36,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0211,18357,6965,609,250.0,,True,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
68,68,01-08-2020 23:40:36,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0211,18357,6965,609,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,69,01-08-2020 23:41:49,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0169,14685,5572,488,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,01-08-2020 23:41:49,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0211,18357,6965,609,250.0,,,,,,,,,,,Rabota na marki (kur'er)
71,71,01-08-2020 23:41:49,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0421,36713,13930,1219,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
72,72,01-08-2020 23:41:49,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0421,36713,13930,1219,500.0,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
73,73,01-08-2020 23:41:49,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2753,1101392,417900,36563,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
74,74,01-08-2020 23:41:49,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0421,36713,13930,1219,500.0,,,True,True,,True,,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
75,75,01-08-2020 23:43:52,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,7,нет,Батуми,0.4 гр,0.023,19989,7559,664,,,,,,229.0,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
76,76,01-08-2020 23:43:52,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,7,нет,Батуми,0.5 гр,0.0035,3055,1155,101,,,,,,35.0,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
77,77,01-08-2020 23:43:52,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,5,нет,Батуми,2 гр,0.0028,2423,919,80,33.0,,,,,,,,,,True,Melkie shishki (Indica) 2g
78,78,01-08-2020 23:43:52,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0213,20559,7801,683,280.0,,,,,,,,,,True,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
79,79,01-08-2020 23:43:52,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0376,33042,12537,1097,450.0,,,,,,,,,True,,Super Critical 10G
80,80,01-08-2020 23:43:52,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0441,38407,14524,1276,,,,,,440.0,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
81,81,01-08-2020 23:43:52,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0253,22028,8358,731,300.0,,,,,,,,,,True,METADON - 0.30 - SALE
82,82,01-08-2020 23:43:52,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0311,27060,10233,899,,,,,,310.0,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
83,83,01-08-2020 23:43:52,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0391,34043,12874,1131,,,,,,390.0,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,84,01-08-2020 23:43:52,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0076,7343,2786,244,100.0,,,,,,,,,,True,kur'er v Batumi
85,85,01-08-2020 23:43:52,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.019,18357,6965,609,250.0,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
86,86,01-08-2020 23:43:52,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.019,18357,6965,609,250.0,,,,,,,,,,True,Ischu kur'era v Gruzii!
87,87,01-08-2020 23:43:52,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0167,14685,5572,488,200.0,,,,,,,,,,True,Kur'er Batumi na marihuanu
88,88,01-08-2020 23:43:52,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2655,1101392,417900,36563,15000.0,,,,,,,,,,True,Vakansija optovogo kur'era na mef
89,89,01-08-2020 23:43:52,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0418,36713,13930,1219,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
