,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
34,34,04-04-2020 19:50:10,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,,3,нет,Тбилиси,5 гр,0.0253,13603,4839,452,175.0,,True,,,,,,,,5x Extasy Duracell 223mg MDMA.
35,35,04-04-2020 19:50:10,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,,1,нет,Тбилиси,5 гр,0.0072,4275,1521,142,55.0,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
36,36,04-04-2020 19:50:10,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,True,1,нет,Тбилиси,6 гр,0.0104,6219,2212,207,80.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
37,37,04-04-2020 19:50:10,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,,1,нет,Тбилиси,10 гр,0.0522,28372,10092,943,365.0,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
38,38,04-04-2020 19:50:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,,1,нет,Тбилиси,10 гр,0.0382,20755,7383,690,267.0,,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
39,39,04-04-2020 19:50:10,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,,2,3,Тбилиси,10 гр,0.0143,8574,2986,279,,True,True,,100.0,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
40,40,04-04-2020 19:50:10,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,,1,нет,Тбилиси,10 гр,0.0111,6607,2350,220,85.0,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
41,41,04-04-2020 19:50:10,Tbilisi,c225d2f67d,гашиш евро 10г,,,2,нет,Тбилиси,10 гр,0.0549,31093,11060,1034,400.0,,True,,,,,,,,gashish evro 10g
42,42,04-04-2020 19:50:10,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,,1,нет,Тбилиси,20 гр,0.1067,60398,21484,2008,777.0,,True,,,,,,,,Gashish Evro 20gr
43,43,04-04-2020 19:50:10,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.2601,155465,55300,5169,2000.0,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
44,44,04-04-2020 19:50:10,Tbilisi,f8a875c191,METADON - 0.25 G.,,,нет,15,Тбилиси,0.25 гр,0.0319,17148,5972,559,,,True,,200.0,,,,,,METADON - 0.25 G.
45,45,04-04-2020 19:50:10,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,,нет,2,Тбилиси,2 гр,0.0289,15547,5530,517,200.0,,True,,,,,,,,✨✨2gram. MDMA✨✨
46,46,04-04-2020 19:50:10,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,,нет,3,Тбилиси,2 гр,0.0533,28683,10203,954,369.0,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
47,47,04-04-2020 19:50:10,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,3,Тбилиси,3 гр,0.0853,45862,16314,1525,590.0,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
48,48,04-04-2020 19:50:10,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,7,Тбилиси,4 гр,0.0572,31093,11060,1034,400.0,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
49,49,04-04-2020 19:50:10,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,,нет,4,Тбилиси,5 гр,0.0229,12437,4424,414,160.0,,True,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
50,50,04-04-2020 19:50:10,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0787,42753,15208,1422,550.0,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
51,51,04-04-2020 19:50:10,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,,нет,1,Тбилиси,5 гр,0.0242,13137,4673,437,169.0,,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
52,52,04-04-2020 19:50:10,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,,нет,8,Тбилиси,5 гр,0.0243,13215,4701,439,170.0,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
53,53,04-04-2020 19:50:10,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,10,Тбилиси,5 гр,0.0285,15469,5502,514,199.0,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
54,54,04-04-2020 19:50:10,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,8,Тбилиси,5 гр,0.0285,15469,5502,514,199.0,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
55,55,04-04-2020 19:50:10,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0285,17023,6055,566,219.0,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
56,56,04-04-2020 19:50:10,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,,нет,5,Тбилиси,5 гр,0.0434,23320,8295,775,300.0,,True,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
57,57,04-04-2020 19:50:10,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,7,Тбилиси,5 гр,0.0285,15469,5502,514,199.0,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
58,58,04-04-2020 19:50:10,Tbilisi,54915c4374,МДМА 5 гр!!!,,,нет,2,Тбилиси,5 гр,0.043,25722,8958,838,,,True,,300.0,,,,,,MDMA 5 gr!!!
59,59,04-04-2020 19:50:10,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,,нет,12,Тбилиси,5 гр,0.026000000000000002,15547,5530,517,200.0,,True,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
60,60,04-04-2020 19:50:10,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.3179,190000,87429,6378,,,True,,,,,,,,reagent 25i nbome. 5gr
61,61,04-04-2020 19:50:10,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.3902,233198,82950,7754,3000.0,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
62,62,04-04-2020 19:50:10,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,,нет,2,Тбилиси,5 гр,0.1256,67550,24028,2246,869.0,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
63,63,04-04-2020 19:50:10,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,,нет,5,Тбилиси,5 гр,0.0275,14769,5254,491,190.0,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
