,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
32,32,16-07-2020 23:57:03,Tbilisi,8528108b62,12g. марихуана шишки Critical,True,,1,нет,Тбилиси,12 гр,0.0316,23506,9075,793,330.0,,,,,,,,,,,12g. marihuana shishki Critical
33,33,16-07-2020 23:57:03,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,,нет,4,Тбилиси,1 гр,0.0375,25182,9719,851,,310.0,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
34,34,16-07-2020 23:58:08,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,,нет,4,Тбилиси,1 гр,0.0375,25182,9719,851,,310.0,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
35,35,16-07-2020 23:58:08,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,True,,нет,5,Тбилиси,2 гр,0.0231,15671,6050,528,220.0,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
36,36,16-07-2020 23:58:08,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,True,,нет,10,Тбилиси,4 гр,0.0062,4630,1788,156,65.0,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
37,37,16-07-2020 23:58:08,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,,нет,10,Тбилиси,5 гр,0.0263,17808,6875,600,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
38,38,16-07-2020 23:58:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,,нет,3,Тбилиси,5 гр,0.0579,39177,15125,1321,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
39,39,16-07-2020 23:58:08,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,,2,6,Тбилиси,5 гр,0.0284,19232,7425,648,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
40,40,16-07-2020 23:58:08,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,,нет,6,Тбилиси,5 гр,0.0289,19589,7563,660,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
41,41,16-07-2020 23:58:08,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,,1,4,Тбилиси,5 гр,0.0253,17095,6600,576,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,42,16-07-2020 23:58:08,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,,нет,6,Тбилиси,5 гр,0.0295,19945,7700,672,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,16-07-2020 23:58:08,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,,нет,6,Тбилиси,5 гр,0.0284,19232,7425,648,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,16-07-2020 23:58:08,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,,нет,2,Тбилиси,5 гр,0.0209,15600,6023,526,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,16-07-2020 23:58:08,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,,нет,3,Тбилиси,5 гр,0.0284,19232,7425,648,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,16-07-2020 23:58:08,Tbilisi,f374062dcd,Кристаллы Синие очень мощные на рынке 5 гр,True,,нет,2,Тбилиси,5 гр,0.0803,59834,23100,2017,840.0,,,,,,,,,,,Kristally Sinie ochen' moschnye na rynke 5 gr
47,47,16-07-2020 23:58:08,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,,нет,2,Тбилиси,5 гр,0.2551,190000,87429,6445,,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,16-07-2020 23:58:08,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2869,213693,82500,7205,3000.0,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,16-07-2020 23:58:08,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,True,,нет,5,Тбилиси,5 гр,0.0526,35616,13750,1201,500.0,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
50,50,16-07-2020 23:58:08,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,,нет,3,Тбилиси,5 гр,0.0242,16246,6270,549,,200.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
51,51,16-07-2020 23:58:08,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,,нет,1,Тбилиси,10 гр,0.0947,64108,24750,2161,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,16-07-2020 23:58:08,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,,нет,10,Тбилиси,10 гр,0.0579,39177,15125,1321,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,16-07-2020 23:58:08,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0737,49862,19250,1681,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,16-07-2020 23:58:08,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.0442,29917,11550,1009,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,16-07-2020 23:58:08,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0842,56985,22000,1921,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,16-07-2020 23:58:08,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,,нет,10,Тбилиси,10 гр,0.0363,27068,10450,913,380.0,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
57,57,16-07-2020 23:58:08,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2341,158489,61188,5344,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
58,58,16-07-2020 23:58:08,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,,нет,5,Тбилиси,10 гр,0.0533,35742,13794,1208,,440.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
59,59,16-07-2020 23:58:08,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,,нет,5,Тбилиси,11 гр,0.0472,31680,12227,1070,,390.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,60,16-07-2020 23:58:08,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,,нет,1,Тбилиси,11 гр,0.0483,32411,12509,1095,,399.0,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
61,61,16-07-2020 23:58:08,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,,нет,1,Тбилиси,15 гр,0.0622,46300,17875,1561,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
62,62,16-07-2020 23:58:08,Tbilisi,cb721d4bca,100 gr marijuana buds,True,,нет,1,Тбилиси,100 гр,0.2525,170954,66000,5764,2400.0,,,,,,,,,,,100 gr marijuana buds
63,63,16-07-2020 23:58:08,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,,1,1,Тбилиси,100 гр,0.263,178078,68750,6004,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,16-07-2020 23:58:08,Tbilisi,69672fee0d,180 gr марихуана персоално,True,,нет,1,Тбилиси,180 гр,0.6208,420263,162250,14169,5900.0,,,,,,,,,,,180 gr marihuana persoalno
65,65,16-07-2020 23:58:08,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,,нет,3,Тбилиси,10000 гр,0.8943,605464,233750,20414,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,66,16-07-2020 23:58:08,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,,2,нет,Тбилиси,1 гр,0.0191,14246,5500,480,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
67,67,16-07-2020 23:58:08,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,,1,нет,Тбилиси,1 гр,0.0263,17808,6875,600,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,68,16-07-2020 23:59:07,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,,нет,1,Тбилиси,1 гр,0.021,14246,5500,480,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,16-07-2020 23:59:07,Tbilisi,54915c4374,Работа на марки (курьер),True,,нет,3,Тбилиси,1 гр,0.0263,17808,6875,600,250.0,,,,,,,,,,,Rabota na marki (kur'er)
70,70,16-07-2020 23:59:07,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,,нет,1,Тбилиси,5 гр,0.0526,35616,13750,1201,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
71,71,16-07-2020 23:59:07,Tbilisi,ae784bef73,Работа курьером,True,,нет,1,Тбилиси,10 гр,0.021,14246,5500,480,200.0,,,,,,,,,,,Rabota kur'erom
72,72,16-07-2020 23:59:07,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,,нет,1,Тбилиси,400 гр,1.5925,1068465,412500,36024,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,16-07-2020 23:59:07,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,3,Тбилиси,1000 гр,0.0526,35616,13750,1201,500.0,,,,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
74,74,17-07-2020 00:01:22,Batumi,f8a875c191,METADON - 0.30 - SALE,,,6,5,Батуми,0.3 гр,0.0319,21369,8250,720,300.0,,,,,,,,True,,,METADON - 0.30 - SALE
75,75,17-07-2020 00:01:22,Batumi,75738ec358,ASTRAL 1g,,,3,нет,Батуми,1 гр,0.0077,5698,2200,192,80.0,,,,,,,,True,,,ASTRAL 1g
76,76,17-07-2020 00:01:22,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,,10,нет,Батуми,2 гр,0.0044,2992,1155,101,42.0,,,,,,,,True,,,Melkie shishki (Indica) 2g
77,77,17-07-2020 00:01:22,Batumi,75738ec358,ASTRAL 3g,,,2,нет,Батуми,3 гр,0.0258,19232,7425,648,270.0,,,,,,,,True,,,ASTRAL 3g
78,78,17-07-2020 00:01:22,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,,нет,2,Батуми,1 гр,0.0375,25182,9719,851,,310.0,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
79,79,17-07-2020 00:01:22,Batumi,7c2ccfb3f3,Мефедрон 3г,,,нет,3,Батуми,3 гр,0.0335,24931,9625,841,350.0,,,,,,,,True,,,Mefedron 3g
80,80,17-07-2020 00:01:22,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,,нет,5,Батуми,5 гр,0.0402,29917,11550,1009,420.0,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
81,81,17-07-2020 00:01:22,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,,нет,4,Батуми,10 гр,0.0533,35742,13794,1208,,440.0,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
82,82,17-07-2020 00:01:22,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,5,Батуми,11 гр,0.0472,31680,12227,1070,,390.0,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
83,83,17-07-2020 00:01:22,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,,нет,2,Батуми,11 гр,0.0483,32411,12509,1095,,399.0,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
84,84,17-07-2020 00:01:22,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1669,112990,51992,3833,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,85,17-07-2020 00:01:22,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2643,178900,82321,6068,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,86,17-07-2020 00:01:22,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0096,7123,2750,240,100.0,,,,,,,,True,,,kur'er v Batumi
87,87,17-07-2020 00:01:22,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0239,17808,6875,600,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,88,17-07-2020 00:01:22,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0239,17808,6875,600,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
89,89,17-07-2020 00:01:22,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,,нет,1,Батуми,1 гр,0.0211,14246,5500,480,200.0,,,,,,,,True,,,Kur'er Batumi na marihuanu
90,90,17-07-2020 00:01:22,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5931,1068465,412500,36024,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
91,91,17-07-2020 00:01:22,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0526,35616,13750,1201,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,92,17-07-2020 00:03:19,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,,1,нет,Кутаиси,230 гр,0.4441,300595,116050,10135,4220.0,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
