,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
37,13-06-2020 07:03:30,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0428,29031,11298,999,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
38,13-06-2020 07:03:30,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0815,55298,21520,1902,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
39,13-06-2020 07:03:30,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2267,153796,59853,5291,2225,,,,,,,,,Amfetamin [White] [Import] 10G
40,13-06-2020 07:03:30,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1604,107761,41937,3707,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
41,13-06-2020 07:03:30,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0812,54537,21224,1876,789,,,,,,,,,💘✨10gram MDMA ✨💘
42,13-06-2020 07:03:30,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,8,Тбилиси,10 гр,0.038,25506,9926,878,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,13-06-2020 07:03:30,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0359,24193,9415,832,350,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
44,13-06-2020 07:03:30,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1389,103683,40350,3567,1500,,,,,,,,,✨💘20g MDMA💘✨
45,13-06-2020 07:03:30,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0616,41404,16113,1424,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,13-06-2020 07:03:30,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1324,89789,34943,3089,1299,,,,,,,,,50 gr georgian weed. Package on magnet
47,13-06-2020 07:03:30,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2546,172736,67223,5943,2499,,,,,,,,,100 gr georgian weed. Package on magnet
48,13-06-2020 07:03:30,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2445,165893,64560,5707,2400,,,,,,,,,100 gr marijuana buds
49,13-06-2020 07:03:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2038,138244,53800,4756,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
50,13-06-2020 07:03:30,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2547,172805,67250,5945,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
51,13-06-2020 07:03:30,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6012,407819,158710,14031,5900,,,,,,,,,180 gr marihuana persoalno
52,13-06-2020 07:03:30,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.437,293768,114325,10107,4250,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
53,13-06-2020 07:03:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4687,317961,123740,10939,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
54,13-06-2020 07:03:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7642,518414,201750,17836,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
55,13-06-2020 07:03:30,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8661,587536,228650,20214,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
56,13-06-2020 07:03:30,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,13824,5380,476,200,,,,,,,,,KURYER..500RUB.+BONUS
57,13-06-2020 07:03:30,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0204,13824,5380,476,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
58,13-06-2020 07:03:30,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5423,1036829,403500,35672,15000,,,,,,,,,Vakansija optovogo kur'era na mef
59,13-06-2020 07:05:06,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1666,112990,51992,3855,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
60,13-06-2020 07:05:06,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2637,178900,82321,6103,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
61,13-06-2020 07:05:06,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6912,2690,238,100,,,,,,True,,,kur'er v Batumi
62,13-06-2020 07:05:06,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17280,6725,595,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
63,13-06-2020 07:05:07,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17280,6725,595,250,,,,,,True,,,Ischu kur'era v Gruzii!
64,13-06-2020 07:05:07,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0204,13824,5380,476,200,,,,,,True,,,Kur'er Batumi na marihuanu
65,13-06-2020 07:05:07,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5423,1036829,403500,35672,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
66,13-06-2020 07:05:07,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0509,34561,13450,1189,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
67,13-06-2020 07:06:21,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0025,1728,673,59,25,,,,,,,,True,Rabota na marki (kur'er)
