,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Varketili,$,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
22,11-07-2020 00:24:03,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0144,10684,4080,365,,,150,,,,,,,,3g. marihuana shishki Critical
23,11-07-2020 00:24:03,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,16,нет,Тбилиси,3 гр,0.0059,3918,1496,134,,,55,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
24,11-07-2020 00:24:03,Tbilisi,V76M,Endorphin,Suboxene 4mg,True,1,нет,Тбилиси,4 гр,0.0056,3918,1496,134,,,55,,,,,,,,Suboxene 4mg
25,11-07-2020 00:24:03,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.023,17095,6528,584,,,240,,,,,,,,5g. marihuana shishki Critical
26,11-07-2020 00:24:03,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.023,17095,6528,584,,,240,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
27,11-07-2020 00:24:03,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0264,17807,6800,608,,,250,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
28,11-07-2020 00:24:03,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0053,3918,1496,134,,,55,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,11-07-2020 00:24:03,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0461,32053,12240,1095,,,450,,,,,,,,Gashish Evro 10gr
30,11-07-2020 00:24:03,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0173,12821,4896,438,,,180,,,,,,,,11+ GRAMM BEASTWEED NEW
31,11-07-2020 00:24:03,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.048,35615,13600,1217,,,500,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
32,11-07-2020 00:24:03,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4630,1768,158,,,65,,,,,,,,Silver haze leaves list'ja 15gr sale
33,11-07-2020 00:24:03,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2131,142460,54400,4866,,,2000,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,11-07-2020 00:24:46,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,5,Тбилиси,1 гр,0.0372,24883,9517,854,310,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
35,11-07-2020 00:24:46,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gram,True,нет,10,Тбилиси,3 гр,0.0144,10684,4080,365,,,150,,,,,,,,Northern Lights Regular [budsonly] 3gram
36,11-07-2020 00:24:46,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,3,Тбилиси,4 гр,0.0422,28492,10880,973,,,400,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,11-07-2020 00:24:46,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0264,17807,6800,608,,,250,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
38,11-07-2020 00:24:46,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0581,39176,14960,1338,,,550,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
39,11-07-2020 00:24:46,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0285,19232,7344,657,,,270,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
40,11-07-2020 00:24:46,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0296,19944,7616,681,,,280,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
41,11-07-2020 00:24:46,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.029,19588,7480,669,,,275,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
42,11-07-2020 00:24:46,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,17095,6528,584,,,240,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
43,11-07-2020 00:24:46,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0296,19944,7616,681,,,280,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
44,11-07-2020 00:24:46,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0285,19232,7344,657,,,270,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
45,11-07-2020 00:24:46,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.021,15599,5957,533,,,219,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
46,11-07-2020 00:24:46,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0285,19232,7344,657,,,270,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,11-07-2020 00:24:46,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 5грам,True,нет,10,Тбилиси,5 гр,0.0077,5698,2176,195,,,80,,,,,,,,marihuana pudra vysokoe kachestvo 5gram
48,11-07-2020 00:24:46,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.256,190000,87429,6521,,,,,,,,,,,reagent 25i nbome. 5gr
49,11-07-2020 00:24:46,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2879,213689,81600,7300,,,3000,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
50,11-07-2020 00:24:46,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.024,16054,6140,551,200,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
51,11-07-2020 00:24:46,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.095,64107,24480,2190,,,900,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,11-07-2020 00:24:46,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0581,39176,14960,1338,,,550,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,11-07-2020 00:24:46,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0739,49861,19040,1703,,,700,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,11-07-2020 00:24:46,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0443,29917,11424,1022,,,420,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,11-07-2020 00:24:46,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0845,56984,21760,1947,,,800,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,11-07-2020 00:24:46,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2349,158486,60520,5414,,,2225,,,,,,,,Amfetamin [White] [Import] 10G
57,11-07-2020 00:24:46,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0528,35318,13508,1212,440,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
58,11-07-2020 00:24:46,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0468,31305,11973,1074,390,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
59,11-07-2020 00:24:46,Tbilisi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,4,Тбилиси,11 гр,0.0479,32027,12249,1099,399,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
60,11-07-2020 00:24:46,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0624,46299,17680,1582,,,650,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
61,11-07-2020 00:24:46,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2534,170952,65280,5840,,,2400,,,,,,,,100 gr marijuana buds
62,11-07-2020 00:24:46,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2639,178075,68000,6083,,,2500,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,11-07-2020 00:24:46,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6228,420256,160480,14356,,,5900,,,,,,,,180 gr marihuana persoalno
64,11-07-2020 00:24:46,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8973,605453,231200,20682,,,8500,,,,,,,,10000sht marki 25i-nbome. predoplata
65,11-07-2020 00:24:46,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14246,5440,487,,,200,,,,,,,,KURYER..500RUB.+BONUS
66,11-07-2020 00:24:46,Tbilisi,LGRP8,Walker12,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,True,1,нет,Тбилиси,1 гр,0.0158,10684,4080,365,,,150,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
67,11-07-2020 00:24:46,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0264,17807,6800,608,,,250,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,11-07-2020 00:25:37,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0528,35615,13600,1217,,,500,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
69,11-07-2020 00:25:37,Tbilisi,X4ZM,ZYX,Работа курьером,True,нет,1,Тбилиси,10 гр,0.0192,14246,5440,487,,,200,,,,,,,,Rabota kur'erom
70,11-07-2020 00:25:37,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5979,1068447,408000,36498,,,15000,,,,,,,,Vakansija optovogo kur'era na mef
71,11-07-2020 00:25:37,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0528,35615,13600,1217,,True,500,,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
72,11-07-2020 00:27:06,Batumi,5HQU,LIKEaBOSS,Golosa(GHS)+ DOS-vi-DOS 2g,,2,нет,Батуми,2 гр,0.0192,14246,5440,487,,,200,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
73,11-07-2020 00:27:06,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Батуми,1 гр,0.0372,24883,9517,854,310,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
74,11-07-2020 00:27:06,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Батуми,10 гр,0.0528,35318,13508,1212,440,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
75,11-07-2020 00:27:06,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0468,31305,11973,1074,390,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
76,11-07-2020 00:27:06,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Батуми,11 гр,0.0479,32027,12249,1099,399,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
77,11-07-2020 00:27:06,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1674,112990,51992,3878,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,11-07-2020 00:27:06,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.265,178900,82321,6140,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,11-07-2020 00:27:06,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2720,243,,,100,,,,,,True,,kur'er v Batumi
80,11-07-2020 00:27:06,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17807,6800,608,,,250,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
81,11-07-2020 00:27:06,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17807,6800,608,,,250,,,,,,True,,Ischu kur'era v Gruzii!
82,11-07-2020 00:27:06,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14246,5440,487,,,200,,,,,,True,,Kur'er Batumi na marihuanu
83,11-07-2020 00:27:06,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5971,1068447,408000,36498,,,15000,,,,,,True,,Vakansija optovogo kur'era na mef
84,11-07-2020 00:27:06,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0528,35615,13600,1217,,,500,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
