,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
44,44,05-02-2020 07:44:17,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0232,15224,6012,516,240.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
45,45,05-02-2020 07:44:17,Tbilisi,99accec7c7,Гашиш gashish 2 грамма лучшая цена 10% при покупки биткойном!,True,3,нет,Тбилиси,2 гр,0.0113,6914,2730,234,109.0,,,,,,,,,,,Gashish gashish 2 gramma luchshaja tsena 10% pri pokupki bitkojnom!
46,46,05-02-2020 07:44:17,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0386,24042,9494,814,379.0,,,,,,,,,,,Kokain HQ 2g.
47,47,05-02-2020 07:44:17,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,1,нет,Тбилиси,2 гр,0.0386,22836,9018,773,360.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
48,48,05-02-2020 07:44:17,Tbilisi,013e75d78f,C O C A i N E 2 g +0.1 g падарка.,True,5,нет,Тбилиси,2.1 гр,0.0356,21250,8392,720,335.0,,,,,,,,,,,C O C A i N E 2 g +0.1 g padarka.
49,49,05-02-2020 07:44:17,Tbilisi,16a8841259,HQ сатива 2.3г,,2,нет,Тбилиси,2.3 гр,0.0058,3489,1378,118,55.0,,,,True,,,,,,,HQ sativa 2.3g
50,50,05-02-2020 07:44:17,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,3 гр,0.0106,6280,2480,213,99.0,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
51,51,05-02-2020 07:44:17,Tbilisi,c9a56b2b4a,3x Extasy Duracell 280mg,True,3,нет,Тбилиси,3 гр,0.0113,6661,2630,226,105.0,,,,,,,,,,,3x Extasy Duracell 280mg
52,52,05-02-2020 07:44:17,Tbilisi,dd631c4acf,3г. SPEED Амфетамин стимулятор,True,1,нет,Тбилиси,3 гр,0.0106,6280,2480,213,99.0,,,,,,,,,,,3g. SPEED Amfetamin stimuljator
53,53,05-02-2020 07:44:17,Tbilisi,99accec7c7,GASHISH 3 gr лучшая цена,True,2,нет,Тбилиси,3 гр,0.0172,10467,4133,354,165.0,True,,,,,,,,,,GASHISH 3 gr luchshaja tsena
54,54,05-02-2020 07:44:17,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g,,3,нет,Тбилиси,3 гр,0.0036,2157,852,73,34.0,,,,,True,,,,,,Marijuana Super Skunk leaves 3g
55,55,05-02-2020 07:44:17,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0347,22836,9018,773,360.0,,,,,,,,,,,NZT-52 mind storm limited 3g muka
56,56,05-02-2020 07:44:17,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0106,6280,2480,213,99.0,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
57,57,05-02-2020 07:44:17,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.017,10086,3983,342,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
58,58,05-02-2020 07:44:17,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.08199999999999999,53919,21293,1826,850.0,,,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
59,59,05-02-2020 07:44:17,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0911,53919,21293,1826,850.0,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
60,60,05-02-2020 07:44:17,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,4,нет,Тбилиси,5 гр,0.0161,9515,3758,322,150.0,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
61,61,05-02-2020 07:44:17,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.017,10086,3983,342,159.0,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
62,62,05-02-2020 07:44:17,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0165,9769,3858,331,154.0,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
63,63,05-02-2020 07:44:17,Tbilisi,e501bd0ada,gorilla glue 5 g,,2,нет,Тбилиси,5 гр,0.0169,11101,4384,376,175.0,True,,,,,,,,,,gorilla glue 5 g
64,64,05-02-2020 07:44:17,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0214,13321,5261,451,210.0,,,,,,,,,,,gashish evro 5g
65,65,05-02-2020 07:44:17,Tbilisi,dd631c4acf,❄❄5g. HQ coco Best OFFER❄❄,True,1,нет,Тбилиси,5 гр,0.0977,57789,22821,1957,911.0,,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
66,66,05-02-2020 07:44:17,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0423,25310,9995,857,399.0,True,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
67,67,05-02-2020 07:44:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,11,нет,Тбилиси,10 гр,0.0283,16937,6688,574,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
68,68,05-02-2020 07:44:17,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",,1,нет,Тбилиси,10 гр,0.0241,15859,6263,537,250.0,True,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
69,69,05-02-2020 07:45:08,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0407,25374,10020,859,400.0,,,,,,,,,,,gashish evro 10g
70,70,05-02-2020 07:45:08,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,24,нет,Тбилиси,10 гр,0.0096,6343,2505,215,100.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
71,71,05-02-2020 07:45:08,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -30 %,True,3,нет,Тбилиси,11 гр,0.1244,105190,41475,3562,,,1500.0,,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -30 %
72,72,05-02-2020 07:45:08,Tbilisi,c9a56b2b4a,15x Extasy Duracell 280mg MDMA.,True,1,10,Тбилиси,15 гр,0.0478,28545,11273,967,450.0,,,,,,,,,,,15x Extasy Duracell 280mg MDMA.
73,73,05-02-2020 07:45:08,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0791,49288,19464,1669,777.0,,,,,,,,,,,Gashish Evro 20gr
74,74,05-02-2020 07:45:08,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr,True,2,нет,Тбилиси,22 гр,0.2157,182329,71890,6174,,,2600.0,,,,,,,,,* SALE *COCAINE Peru 20+2 gr
75,75,05-02-2020 07:45:08,Tbilisi,9795761a65,Exstasy blue punisher 25 шт BTC -10%,True,1,нет,Тбилиси,25 гр,0.08199999999999999,53919,21293,1826,850.0,,,,,,,,,,,Exstasy blue punisher 25 sht BTC -10%
76,76,05-02-2020 07:45:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0268,15859,6263,537,250.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
77,77,05-02-2020 07:45:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0375,22202,8768,752,350.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
78,78,05-02-2020 07:45:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0643,38061,15030,1289,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
79,79,05-02-2020 07:45:08,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0234,13956,5511,473,220.0,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
80,80,05-02-2020 07:45:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0425,25374,10020,859,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
81,81,05-02-2020 07:45:08,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0255,15224,6012,516,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
82,82,05-02-2020 07:45:08,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0265,15859,6263,537,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
83,83,05-02-2020 07:45:08,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1447,95151,37575,3222,1500.0,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
84,84,05-02-2020 07:45:08,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0265,15859,6263,537,250.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
85,85,05-02-2020 07:45:08,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0265,15859,6263,537,250.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
86,86,05-02-2020 07:45:08,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0211,12623,4985,427,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
87,87,05-02-2020 07:45:08,Tbilisi,c9a56b2b4a,5x Extasy Duracell 280mg MDMA.,True,нет,10,Тбилиси,5 гр,0.0188,11101,4384,376,175.0,,,,,,,,,,,5x Extasy Duracell 280mg MDMA.
88,88,05-02-2020 07:45:08,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0265,15859,6263,537,250.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
89,89,05-02-2020 07:45:08,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,13892,5486,470,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
90,90,05-02-2020 07:45:08,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0202,13258,5235,449,209.0,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
91,91,05-02-2020 07:45:08,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0202,13258,5235,449,209.0,,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
92,92,05-02-2020 07:45:08,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0202,13258,5235,449,209.0,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
93,93,05-02-2020 07:45:08,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0265,15859,6263,537,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
94,94,05-02-2020 07:45:08,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0193,12687,5010,430,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
95,95,05-02-2020 07:45:08,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2129,140000,64421,4739,,,,,,,,,,,,reagent 25i nbome. 5gr
96,96,05-02-2020 07:45:08,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2895,190303,75150,6444,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
97,97,05-02-2020 07:45:08,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,4,Тбилиси,5 гр,0.0203,11989,4734,406,189.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
98,98,05-02-2020 07:45:08,Tbilisi,dd631c4acf,💊💊5. ecstasy Tekashi69💊💊,True,нет,1,Тбилиси,5 гр,0.0198,11735,4634,397,185.0,,,,,,,,,,,💊💊5. ecstasy Tekashi69💊💊
99,99,05-02-2020 07:45:08,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0524,31019,12249,1050,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
100,100,05-02-2020 07:45:08,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0423,25310,9995,857,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
101,101,05-02-2020 07:45:08,Tbilisi,dd631c4acf,10 грам. Амфетамин SPEED,True,нет,5,Тбилиси,10 гр,0.0429,25374,10020,859,400.0,,,,,,,,,,,10 gram. Amfetamin SPEED
102,102,05-02-2020 07:46:06,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.193,126868,50100,4296,2000.0,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
103,103,05-02-2020 07:46:06,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0849,50747,20040,1718,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
104,104,05-02-2020 07:46:06,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0385,25310,9995,857,399.0,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
