,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
49,49,04-03-2020 20:03:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0199,11894,4489,402,180.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,50,04-03-2020 20:03:54,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0983,59471,22446,2012,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,51,04-03-2020 20:03:54,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0764,46255,17458,1565,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,04-03-2020 20:03:54,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0436,26365,9951,892,399.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,04-03-2020 20:03:54,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0386,23127,8729,782,350.0,,,,,,,,10x Extasy Duracell 223mg MDMA.
54,54,04-03-2020 20:03:54,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0874,52863,19952,1788,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,04-03-2020 20:03:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.243,147024,55492,4974,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
56,56,04-03-2020 20:03:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1598,95748,36138,3239,1449.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,57,04-03-2020 20:03:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0407,24383,9203,825,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,58,04-03-2020 20:03:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.033,19757,7457,668,299.0,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
59,59,04-03-2020 20:03:54,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0772,46255,17458,1565,700.0,,,,,,,,20x Extasy Duracell 223mg MDMA.
60,60,04-03-2020 20:03:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0661,39581,14939,1339,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,61,04-03-2020 20:03:54,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0733,46255,17458,1565,700.0,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
62,62,04-03-2020 20:03:54,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1191,79294,29928,2682,1200.0,,,,,,,,50 gr 23% THC Amnesia Haze top quality
63,63,04-03-2020 20:03:54,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1047,66012,24915,2233,999.0,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
64,64,04-03-2020 20:03:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2184,132157,49880,4471,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,04-03-2020 20:03:54,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2206,132157,49880,4471,2000.0,,,,,,,,SUBOXIN - HQ - 100 G.
66,66,04-03-2020 20:03:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.273,165196,62350,5588,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,67,04-03-2020 20:03:54,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1654,99118,37410,3353,1500.0,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
68,68,04-03-2020 20:03:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5023,303961,114724,10282,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,69,04-03-2020 20:03:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8190000000000001,495588,187050,16765,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,70,04-03-2020 20:03:54,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9282,561666,211990,19000,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,04-03-2020 20:04:26,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0199,13216,4988,447,200.0,,,,,,,,Trebuetsja Kur'er
72,72,04-03-2020 20:04:26,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,13216,4988,447,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,04-03-2020 20:04:26,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0274,16520,6235,559,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,04-03-2020 20:04:26,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6559,991176,374100,33530,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
75,75,04-03-2020 20:05:43,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1641,99118,37410,3353,1500.0,,,,,True,,,Skunk! 50 gr.
76,76,04-03-2020 20:05:43,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0298,17841,6734,604,270.0,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
77,77,04-03-2020 20:05:43,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0199,13216,4988,447,200.0,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
78,78,04-03-2020 20:05:43,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.221,132157,49880,4471,2000.0,,,,,True,,,SUBOXIN - HQ - 100 G.
79,79,04-03-2020 20:05:43,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1657,99118,37410,3353,1500.0,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
80,80,04-03-2020 20:05:43,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0111,6608,2494,224,100.0,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
81,81,04-03-2020 20:05:43,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3304,1247,112,50.0,,,,,True,,,kur'er v Batumi
82,82,04-03-2020 20:05:43,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0249,16520,6235,559,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,83,04-03-2020 20:05:43,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0249,16520,6235,559,250.0,,,,,True,,,Ischu kur'era v Gruzii!
84,84,04-03-2020 20:05:43,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6559,991176,374100,33530,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
85,85,04-03-2020 20:05:43,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0547,33039,12470,1118,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,86,04-03-2020 20:06:46,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0119,7136,2694,241,108.0,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
87,87,04-03-2020 20:06:46,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0111,6608,2494,224,100.0,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
