,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
70,07-03-2020 17:33:53,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9013,573899,213605,19037,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,07-03-2020 17:33:53,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0193,13504,5026,448,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
72,07-03-2020 17:33:53,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0193,13504,5026,448,200,,,,,,,,,,,,Trebuetsja Kur'er
73,07-03-2020 17:33:53,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0145,10128,3770,336,150,,,,,,,,,,,,Rabota na marki (kur'er)
74,07-03-2020 17:33:53,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,13504,5026,448,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,07-03-2020 17:33:53,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0265,16879,6283,560,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,07-03-2020 17:33:53,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.605,1012763,376950,33594,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,07-03-2020 17:35:17,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,26,нет,Батуми,1 гр,0.0193,13504,5026,448,200,,,,,,,,,True,,,NZT-52 limited 1 g muka
78,07-03-2020 17:35:17,Batumi,CL7K,go420times,ORANGE PUNCH [1g],,4,нет,Батуми,1 гр,0.0064,4051,1508,134,60,,,,,,,,,True,,,ORANGE PUNCH [1g]
79,07-03-2020 17:35:17,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,13,нет,Батуми,2 гр,0.0347,24306,9047,806,360,,,,,,,,,True,,,NZT-52 limited 2g muka
80,07-03-2020 17:35:17,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 2G,,5,нет,Батуми,2 гр,0.0106,6752,2513,224,100,,,,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
81,07-03-2020 17:35:17,Batumi,CL7K,go420times,ТРАВА ORANGE PUNCH [2g],,3,нет,Батуми,2 гр,0.0053,3376,1257,112,50,,,,,,,,,True,,,TRAVA ORANGE PUNCH [2g]
82,07-03-2020 17:35:17,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0265,16879,6283,560,250,,,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
83,07-03-2020 17:35:17,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1591,101276,37695,3359,1500,,,,,,,,,True,,,Skunk! 50 gr.
84,07-03-2020 17:35:17,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0289,18230,6785,605,270,,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
85,07-03-2020 17:35:17,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0193,13504,5026,448,200,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
