,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Nadzaladevi,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
41,41,28-06-2020 22:15:12,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0288,19356,7532,668,,True,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
42,42,28-06-2020 22:15:12,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0283,19010,7398,656,,True,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
43,43,28-06-2020 22:15:12,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16591,6456,572,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,44,28-06-2020 22:15:12,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0288,19356,7532,668,,True,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,45,28-06-2020 22:15:12,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0278,18665,7263,644,,True,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,46,28-06-2020 22:15:12,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15139,5891,522,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,47,28-06-2020 22:15:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.018000000000000002,12097,4708,417,,True,175.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
48,48,28-06-2020 22:15:12,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0278,18665,7263,644,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,49,28-06-2020 22:15:12,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1543,103693,40350,3576,,True,1500.0,,,,,,,,,Gerojn (sirets) 5 gr
50,50,28-06-2020 22:15:12,Tbilisi,54915c4374,марки н-боом 5шт.,,нет,9,Тбилиси,5 гр,0.0067,4493,1749,155,,True,65.0,,,,,,,,,marki n-boom 5sht.
51,51,28-06-2020 22:15:12,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2571,190000,87429,6552,,True,,,,,,,,,,reagent 25i nbome. 5gr
52,52,28-06-2020 22:15:12,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2806,207385,80700,7152,,,3000.0,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,53,28-06-2020 22:15:12,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.1288,85719,33356,2956,,True,1240.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,54,28-06-2020 22:15:12,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,15,Тбилиси,5 гр,0.0208,13826,5380,477,,True,200.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
55,55,28-06-2020 22:15:12,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0926,62216,24210,2146,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,56,28-06-2020 22:15:12,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0566,38021,14795,1311,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
57,57,28-06-2020 22:15:12,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.07200000000000001,48390,18830,1669,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
58,58,28-06-2020 22:15:12,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0432,29034,11298,1001,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
59,59,28-06-2020 22:15:12,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0823,55303,21520,1907,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,60,28-06-2020 22:15:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.034,22812,8877,787,,True,330.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
61,61,28-06-2020 22:15:12,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2289,153811,59853,5304,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
62,62,28-06-2020 22:15:12,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0103,6913,2690,238,,True,100.0,,,,,,,,,Marki n-boom 10 sht.
63,63,28-06-2020 22:15:12,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2263,152082,59180,5245,,True,2200.0,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
64,64,28-06-2020 22:15:12,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2577,171438,66712,5912,,True,2480.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
65,65,28-06-2020 22:15:12,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0416,27651,10760,954,,True,400.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,66,28-06-2020 22:15:12,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0453,30241,11759,1043,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
67,67,28-06-2020 22:15:12,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0831,55303,21520,1907,,True,800.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,68,28-06-2020 22:15:12,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2469,165908,64560,5721,,True,2400.0,,,,,,,,,100 gr marijuana buds
69,69,28-06-2020 22:15:12,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2058,138257,53800,4768,,True,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,70,28-06-2020 22:16:13,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2572,172821,67250,5960,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,28-06-2020 22:16:13,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6069,407858,158710,14065,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
72,72,28-06-2020 22:16:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4732,317991,123740,10966,,True,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,73,28-06-2020 22:16:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7715,518463,201750,17879,,True,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,74,28-06-2020 22:16:13,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8744,587591,228650,20263,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,28-06-2020 22:16:13,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,13826,5380,477,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
76,76,28-06-2020 22:16:13,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0206,13826,5380,477,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,28-06-2020 22:16:13,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0257,17282,6725,596,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
78,78,28-06-2020 22:16:13,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.557,1036926,403500,35759,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,28-06-2020 22:18:16,Batumi,f8a875c191,METADON - 0.25 - SALE,,5,10,Батуми,0.25 гр,0.026000000000000002,17282,6725,596,,,250.0,,,,,,,True,,METADON - 0.25 - SALE
80,80,28-06-2020 22:18:16,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1543,103693,40350,3576,,,1500.0,,,,,,,True,,Gerojn (sirets) 5 gr
81,81,28-06-2020 22:18:16,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2262,152082,59180,5245,,,2200.0,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
82,82,28-06-2020 22:18:16,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1681,112990,51992,3897,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
83,83,28-06-2020 22:18:16,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2661,178900,82321,6170,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
84,84,28-06-2020 22:18:16,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6913,2690,238,,,100.0,,,,,,,True,,kur'er v Batumi
85,85,28-06-2020 22:18:16,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17282,6725,596,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
86,86,28-06-2020 22:18:16,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17282,6725,596,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
87,87,28-06-2020 22:18:16,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,1 гр,0.0206,13826,5380,477,,,200.0,,,,,,,True,,Kur'er Batumi na marihuanu
88,88,28-06-2020 22:18:16,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5565,1036926,403500,35759,,,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
89,89,28-06-2020 22:18:16,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0514,34564,13450,1192,,,500.0,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
