,Unnamed: 0,time_stamp,region,sell_code,description,Авлобари,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Old Tbilisi (Старый город),Saburtalo,Nadzaladevi,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
48,48,03-05-2020 14:13:33,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,6,Тбилиси,5 гр,0.0207,14473,5413,480,199.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,49,03-05-2020 14:13:33,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0208,15927,5957,529,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,50,03-05-2020 14:13:33,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0207,14473,5413,480,199.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
51,51,03-05-2020 14:13:33,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,,,нет,2,Тбилиси,5 гр,0.0167,11636,4352,386,160.0,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
52,52,03-05-2020 14:13:33,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.2475,190000,87429,6306,,True,,,,,,,,,,,reagent 25i nbome. 5gr
53,53,03-05-2020 14:13:33,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,,нет,2,Тбилиси,5 гр,0.2842,218179,81600,7243,3000.0,,,True,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,54,03-05-2020 14:13:33,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,,нет,9,Тбилиси,5 гр,0.1009,69745,26085,2315,959.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
55,55,03-05-2020 14:13:33,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,,нет,4,Тбилиси,5 гр,0.0199,13745,5141,456,189.0,True,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
56,56,03-05-2020 14:13:33,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,,нет,5,Тбилиси,5 гр,0.02,13818,5168,459,190.0,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,57,03-05-2020 14:13:33,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,,нет,5,Тбилиси,5 гр,0.0515,35563,13301,1181,489.0,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
58,58,03-05-2020 14:13:33,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,,нет,3,Тбилиси,5 гр,0.0199,13745,5141,456,189.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
59,59,03-05-2020 14:13:33,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,,нет,9,Тбилиси,10 гр,0.0115,8000,2992,266,110.0,True,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
60,60,03-05-2020 14:13:33,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.0938,65454,24480,2173,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
61,61,03-05-2020 14:13:33,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,10 гр,0.0417,29091,10880,966,400.0,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
62,62,03-05-2020 14:13:33,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,3,Тбилиси,10 гр,0.073,50908,19040,1690,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,63,03-05-2020 14:13:33,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,5,Тбилиси,10 гр,0.0334,23272,8704,773,320.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,03-05-2020 14:13:33,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,,нет,40,Тбилиси,10 гр,0.0104,7273,2720,241,100.0,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
65,65,03-05-2020 14:13:33,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,4,Тбилиси,10 гр,0.0834,58181,21760,1931,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,66,03-05-2020 14:13:33,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,,нет,2,Тбилиси,10 гр,0.0302,21091,7888,700,290.0,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
67,67,03-05-2020 14:13:33,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.2319,161816,60520,5372,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
68,68,03-05-2020 14:13:33,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,,нет,6,Тбилиси,10 гр,0.1641,113380,42405,3764,1559.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
