,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vake,Varketili,€,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
56,56,21-02-2020 17:42:04,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,1,нет,Тбилиси,2 гр,0.022000000000000002,14146,5392,485,220.0,,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
57,57,21-02-2020 17:42:04,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,2 гр,0.0082,5273,2010,181,82.0,True,,,,,True,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
58,58,21-02-2020 17:42:04,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0067,4437,1691,152,69.0,True,,,,,,,,,,,2G -- AK-47 -> Sativa
59,59,21-02-2020 17:42:04,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.008,5080,1936,174,79.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
60,60,21-02-2020 17:42:04,Tbilisi,cb721d4bca,"2gr mexica sativa марихуана шишки ,Оплата BITCOIN -10% Скидка.",True,6,нет,Тбилиси,2 гр,0.006999999999999999,4501,1716,154,70.0,,,,,,,,,,,,"2gr mexica sativa marihuana shishki ,Oplata BITCOIN -10% Skidka."
61,61,21-02-2020 17:42:04,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0363,23148,8824,794,360.0,,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
62,62,21-02-2020 17:42:04,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0347,22827,8701,783,355.0,True,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
63,63,21-02-2020 17:42:04,Tbilisi,3c4662c591,KALI MIST 2G,,3,нет,Тбилиси,2 гр,0.01,6430,2451,220,100.0,True,,,,,,,,,,,KALI MIST 2G
64,64,21-02-2020 17:42:04,Tbilisi,8219f5e7b8,Ketamine 2 g,True,6,нет,Тбилиси,2 гр,0.0181,11574,4412,397,180.0,,,,,,,,,,,,Ketamine 2 g
65,65,21-02-2020 17:42:04,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,7,нет,Тбилиси,2 гр,0.0071,4501,1716,154,70.0,,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
66,66,21-02-2020 17:42:04,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0083,5466,2083,187,85.0,,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
67,67,21-02-2020 17:43:00,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0348,22441,8554,769,349.0,,,True,,,,,,,,,Kokain KOLUMBIA 2g
68,68,21-02-2020 17:43:00,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,4,нет,Тбилиси,2 гр,0.0105,7073,2696,243,110.0,,,,,,,,,,,,🍃 2gr GAShISh 🍃
69,69,21-02-2020 17:43:00,Tbilisi,89f7212915,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,3 гр,0.0109,7716,2941,265,120.0,,,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
70,70,21-02-2020 17:43:00,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0244,15754,6005,540,245.0,,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
71,71,21-02-2020 17:43:00,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,8,нет,Тбилиси,3 гр,0.0106,6752,2574,232,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
72,72,21-02-2020 17:43:00,Tbilisi,ae784bef73,White Widow ! 3G ! grainded,True,9,нет,Тбилиси,3 гр,0.0072,4630,1765,159,72.0,,,,,,,,,,,,White Widow ! 3G ! grainded
73,73,21-02-2020 17:43:00,Tbilisi,4be7861731,metadon sirop 4ml,True,1,нет,Тбилиси,4 гр,0.0067,4308,1642,148,67.0,,,,,,,,,,,,metadon sirop 4ml
74,74,21-02-2020 17:43:00,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.016,10224,3897,351,159.0,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
75,75,21-02-2020 17:43:00,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,5,нет,Тбилиси,5 гр,0.0156,9967,3799,342,155.0,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
76,76,21-02-2020 17:43:00,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0855,54656,20834,1874,850.0,,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
77,77,21-02-2020 17:43:00,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0176,11253,4289,386,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
78,78,21-02-2020 17:43:00,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0154,10931,4167,375,170.0,,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
79,79,21-02-2020 17:43:00,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0151,9645,3677,331,150.0,,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
80,80,21-02-2020 17:43:00,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,5,нет,Тбилиси,5 гр,0.016,10224,3897,351,159.0,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
81,81,21-02-2020 17:43:00,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,4,нет,Тбилиси,5 гр,0.0155,9902,3775,340,154.0,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
82,82,21-02-2020 17:43:00,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0201,13503,5147,463,210.0,,,,,,,,,,,,gashish evro 5g
83,83,21-02-2020 17:43:00,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,1,нет,Тбилиси,5 гр,0.0258,17361,6618,595,270.0,,,,,,,,,,,,🍃 5gr GAShISh 🍃
84,84,21-02-2020 17:43:00,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0302,19290,7353,661,300.0,,,,,,,,,,,,"LSD - 250 ug, 10 pieces"
85,85,21-02-2020 17:43:00,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.0317,22505,8579,772,350.0,,,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
86,86,21-02-2020 17:43:00,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0382,25720,9804,882,400.0,,,,,,,,,,,,gashish evro 10g
87,87,21-02-2020 17:43:00,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,7,нет,Тбилиси,10 гр,0.0086,6109,2328,209,95.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
88,88,21-02-2020 17:43:00,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size",True,3,нет,Тбилиси,20 гр,0.0669,45011,17157,1543,700.0,,,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size"
89,89,21-02-2020 17:43:00,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0201,12860,4902,441,200.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
90,90,21-02-2020 17:43:00,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,2,5,Тбилиси,0.35 гр,0.0237,15111,5760,518,235.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
91,91,21-02-2020 17:43:00,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0604,38580,14706,1323,600.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
92,92,21-02-2020 17:43:00,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,9,Тбилиси,4 гр,0.0399,25720,9804,882,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
93,93,21-02-2020 17:43:00,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0239,15432,5882,529,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
94,94,21-02-2020 17:43:00,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0249,16075,6128,551,250.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
95,95,21-02-2020 17:43:00,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1359,96451,36765,3307,1500.0,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
96,96,21-02-2020 17:43:00,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0249,16075,6128,551,250.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
97,97,21-02-2020 17:43:00,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0249,16075,6128,551,250.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
98,98,21-02-2020 17:43:00,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0198,12796,4877,439,199.0,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
99,99,21-02-2020 17:43:00,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0249,16075,6128,551,250.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
100,100,21-02-2020 17:43:00,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0198,14082,5368,483,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
101,101,21-02-2020 17:43:39,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0189,13439,5123,461,209.0,,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
102,102,21-02-2020 17:43:39,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0248,16075,6128,551,250.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
103,103,21-02-2020 17:43:39,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.018000000000000002,12860,4902,441,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
104,104,21-02-2020 17:43:39,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2665,190000,87429,6570,,,,,,,,,,,,,reagent 25i nbome. 5gr
105,105,21-02-2020 17:43:39,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2706,192902,73530,6614,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
