,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,.,$,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
28,28,28-04-2020 12:50:29,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0626,36429,13325,1204,,489.0,,,,,,,,💘✨5g. MDMA ✨💘
29,29,28-04-2020 12:50:29,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0242,14080,5150,466,,189.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
30,30,28-04-2020 12:50:29,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,4,Тбилиси,10 гр,0.0165,9691,3552,318,,,,120.0,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
31,31,28-04-2020 12:50:29,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1141,67046,24525,2217,,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
32,32,28-04-2020 12:50:29,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0887,52147,19075,1724,,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
33,33,28-04-2020 12:50:29,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0406,23839,8720,788,,320.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
34,34,28-04-2020 12:51:05,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1014,59597,21800,1970,,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
35,35,28-04-2020 12:51:05,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2821,165754,60631,5480,,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
36,36,28-04-2020 12:51:05,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1855,107945,39485,3569,,1449.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
37,37,28-04-2020 12:51:05,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0473,27489,10055,909,,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
38,38,28-04-2020 12:51:05,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0383,22274,8148,736,,299.0,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
39,39,28-04-2020 12:51:05,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.6402,372480,136250,12315,,5000.0,,,,,,,,METADON - 20 G.
40,40,28-04-2020 12:51:05,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0767,44623,16323,1475,,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
41,41,28-04-2020 12:51:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1395,81946,29975,2709,,1100.0,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
42,42,28-04-2020 12:51:05,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3043,178790,65400,5911,,2400.0,,,,,,,,100 gr marijuana buds
43,43,28-04-2020 12:51:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2536,148992,54500,4926,,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
44,44,28-04-2020 12:51:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3169,186240,68125,6158,,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
45,45,28-04-2020 12:51:05,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.748,439526,160775,14532,,5900.0,,,,,,,,180 gr marihuana persoalno
46,46,28-04-2020 12:51:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5832,342682,125350,11330,,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
47,47,28-04-2020 12:51:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9508,558720,204375,18473,,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
48,48,28-04-2020 12:51:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0776,633216,231625,20936,,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
49,49,28-04-2020 12:51:05,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0231,14899,5450,493,,200.0,,,,,,,,KURYER..500RUB.+BONUS
50,50,28-04-2020 12:51:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0254,14899,5450,493,,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
51,51,28-04-2020 12:51:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0317,18624,6813,616,,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
52,52,28-04-2020 12:51:05,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0254,14899,5450,493,,200.0,,,,,,,,Rabota na marki (kur'er)
53,53,28-04-2020 12:51:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.919,1117440,408750,36945,,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
54,54,28-04-2020 12:52:47,Batumi,54915c4374,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0125,8076,2960,265,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
55,55,28-04-2020 12:52:47,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2789,163891,59950,5419,,2200.0,,,,,True,,,[100g] SPAIN HASH
56,56,28-04-2020 12:52:47,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6402,372480,136250,12315,,5000.0,,,,,True,,,METADON - 20 G.
57,57,28-04-2020 12:52:47,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0115,7450,2725,246,,100.0,,,,,True,,,kur'er v Batumi
58,58,28-04-2020 12:52:47,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0288,18624,6813,616,,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
59,59,28-04-2020 12:52:47,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0288,18624,6813,616,,250.0,,,,,True,,,Ischu kur'era v Gruzii!
60,60,28-04-2020 12:52:47,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9188,1117440,408750,36945,,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
61,61,28-04-2020 12:52:47,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0634,37248,13625,1232,,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
62,62,28-04-2020 12:54:23,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0237,14080,5150,466,,189.0,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
63,63,28-04-2020 12:54:23,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0614,36056,13189,1192,,484.0,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
64,64,28-04-2020 12:54:23,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0422,24807,9074,820,,333.0,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
65,65,28-04-2020 12:54:23,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0254,14899,5450,493,,200.0,,,,,,,True,Rabota na marki (kur'er)
